,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.02023414522409439,90,MC,Bournemouth,Leicester,2,1,2022-10-08,18293,2022,554064,0.11564410477876663,0,2,0,0.02023414522409439,0.11564410477876663,0.11564410477876663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,90,MC,Bournemouth,Brentford,0,0,2022-10-01,18283,2022,552398,0,0,0,0,0,0.09898138046264648,0.09898138046264648,0.0,,,,0.0,10.0,1.0,,,2.1,,,67.0,,,82.0,,0.0,0.0,0.7,,5.2,,2022-10-01T14:00:00Z,,,,90.0,,,4.0,0.0,,0.0,0.0,,0.0,9.0,0.0,8649.0,,,,0.0,0.0,0.0,3.0,706.0,1539.0,833.0,49.0,True,,0.0
2,0,0,0,90,DMC,Newcastle United,Bournemouth,1,1,2022-09-17,18275,2022,550694,0.027657942846417427,0,1,0,0,0.6415873765945435,0.6139294505119324,0.0,,,,0.0,13.0,0.0,,,10.7,,,67.0,,,77.0,,1.0,0.0,2.5,,14.2,,2022-09-17T14:00:00Z,,,,90.0,,,15.0,0.0,,0.0,0.0,,0.0,8.0,0.0,7848.0,,,,1.0,1.0,0.0,2.0,487.0,808.0,321.0,49.0,False,,0.0
3,0,1,0.014149543829262257,90,DMC,Nottingham Forest,Bournemouth,2,3,2022-09-03,18254,2022,547145,0.05917156860232353,1,2,0,0.014149543829262257,0.3071540594100952,0.24798248708248138,1.0,,,,1.0,28.0,0.0,,,22.8,,,67.0,,,58.0,,2.0,0.0,6.9,,38.4,,2022-09-03T14:00:00Z,,,,90.0,,,16.0,0.0,,0.0,0.0,,0.0,6.0,0.0,5639.0,,,,3.0,2.0,8.0,6.0,16.0,531.0,515.0,49.0,False,,0.0
4,0,0,0,90,MC,Bournemouth,Wolverhampton Wanderers,0,0,2022-08-31,18248,2022,546289,0,0,0,0,0,0.11177819967269897,0.11177819967269897,0.0,,,,0.0,11.0,1.0,,,0.9,,,67.0,,,42.0,,0.0,0.0,0.9,,8.0,,2022-08-31T18:30:00Z,,,,90.0,,,20.0,0.0,,0.0,0.0,,0.0,5.0,0.0,5329.0,,,,0.0,0.0,0.0,3.0,-110.0,398.0,508.0,49.0,True,,0.0
5,0,0,0,79,DMC,Liverpool,Bournemouth,9,0,2022-08-27,18236,2022,544480,0,0,0,0,0,0,0,0.0,,,,0.0,11.0,0.0,,,0.3,,,67.0,,,36.0,,7.0,0.0,0.7,,6.4,,2022-08-27T14:00:00Z,,,,76.0,,,12.0,0.0,,0.0,0.0,,0.0,4.0,0.0,5132.0,,,,0.0,9.0,0.0,2.0,-509.0,265.0,774.0,49.0,False,,0.0
6,0,0,0,42,Sub,Bournemouth,Arsenal,0,3,2022-08-20,18227,2022,542560,0,0,0,0,0,0,0,0.0,,,,0.0,2.0,0.0,,,1.8,,,67.0,,,21.0,,1.0,0.0,1.2,,10.2,,2022-08-20T16:30:00Z,,,,45.0,,,1.0,0.0,,0.0,0.0,,0.0,3.0,0.0,5332.0,,,,3.0,0.0,0.0,1.0,-462.0,374.0,836.0,50.0,True,,0.0
7,0,0,0,68,MC,Manchester City,Bournemouth,4,0,2022-08-13,18214,2022,540577,0,0,0,0,0,0,0,0.0,,,,0.0,7.0,0.0,,,0.6,,,67.0,,,17.0,,3.0,0.0,0.4,,3.0,,2022-08-13T14:00:00Z,,,,63.0,,,13.0,0.0,,0.0,0.0,,0.0,2.0,0.0,5294.0,,,,0.0,4.0,0.0,2.0,-559.0,255.0,814.0,50.0,False,,0.0
8,0,0,0,15,Sub,Bournemouth,Aston Villa,2,0,2022-08-06,18204,2022,539407,0,0,0,0,0,0,0,0.0,,,,0.0,4.0,0.0,,,0.3,,,67.0,,,2.0,,0.0,0.0,0.8,,7.2,,2022-08-06T14:00:00Z,,,,18.0,,,2.0,0.0,,0.0,0.0,,0.0,1.0,0.0,4802.0,,,,0.0,2.0,0.0,1.0,0.0,0.0,0.0,50.0,True,,0.0
9,0,0,0,19,Sub,Bournemouth,Southampton,0,2,2020-07-19,12004,2019,409766,0,0,0,0,0,0,0,0.0,,,,0.0,-2.0,0.0,,,1.3,,,79.0,,,362.0,,1.0,0.0,0.2,,0.8,,2020-07-19T13:00:00Z,,,,21.0,,,16.0,0.0,,0.0,0.0,,0.0,46.0,0.0,3474.0,,,,2.0,0.0,0.0,0.0,26.0,97.0,71.0,50.0,True,,1.0
10,0,0,0,18,Sub,Manchester City,Bournemouth,2,1,2020-07-15,11999,2019,408682,0,0,0,0,0,0.038879796862602234,0.038879796862602234,0.0,,,,0.0,2.0,0.0,,,0.8,,,79.0,,,357.0,,0.0,0.0,0.2,,0.0,,2020-07-15T17:00:00Z,,,,20.0,,,11.0,0.0,,0.0,0.0,,0.0,45.0,0.0,3420.0,,,,1.0,2.0,2.0,1.0,3.0,77.0,74.0,50.0,False,,0.0
11,0,0,0,4,Sub,Bournemouth,Leicester,4,1,2020-07-12,11984,2019,408212,0.06460952758789062,0,1,0,0,0.06460952758789062,0,0.0,,,,0.0,4.0,0.0,,,11.3,,,79.0,,,342.0,,0.0,0.0,1.4,,2.4,,2020-07-12T18:00:00Z,,,,9.0,,,9.0,0.0,,0.0,0.0,,0.0,44.0,0.0,3407.0,,,,1.0,4.0,0.0,1.0,-4.0,97.0,101.0,50.0,True,,0.0
