,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,14,Sub,Swansea,Southampton,0,1,2018-05-08,7426,2017,238632,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,2,0.5,0,0,369,0,0,308,0,0,0,0.4,21389,1.0,0,2018-05-08T18:45:00Z,08 May 19:45,0,0,15,0,0,14,0,0,0,0,0,0,37,0,2248,1,0,0,1,0,2.0,1,-9,9,18,47,True,0,0
1,0,0,0,11,Sub,Bournemouth,Swansea,1,0,2018-05-05,7488,2017,237620,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,4,0.7,0,0,369,0,0,362,0,0,0,0.3,21390,2.0,0,2018-05-05T14:00:00Z,05 May 15:00,0,0,12,0,0,2,0,0,0,0,0,0,37,0,2248,0,1,0,0,1,0.0,1,-9,9,18,47,False,0,0
2,0,0,0,48,FWR,Swansea,Everton,1,1,2018-04-14,7456,2017,232101,0.021788090467453003,0,1,0,0,0.04029261693358421,0.01850452460348606,0,18,0,0,0,7,0,2,15,11.6,2,0,369,0,0,338,0,1,0,2.1,19398,5.8,1,2018-04-14T14:00:00Z,14 Apr 15:00,0,0,45,0,0,7,0,0,0,0,2,0,34,0,2305,0,0,0,1,1,4.0,1,-31,9,40,47,True,0,0
3,0,0,0,43,Sub,Brighton,Swansea,4,1,2018-02-24,7391,2017,219232,0.11409956216812134,0,3,0,0,0.1302194446325302,0.06341720372438431,0,10,0,0,0,8,0,0,8,35.1,3,0,369,0,0,273,0,3,0,5.2,15800,11.2,3,2018-02-24T15:00:00Z,24 Feb 15:00,0,0,45,0,1,3,0,0,0,0,1,0,28,0,2393,2,0,0,1,4,6.0,1,-63,78,141,47,False,0,0
4,0,0,0,4,Sub,Newcastle United,Swansea,1,1,2018-01-13,7345,2017,207730,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0.5,0,0,369,0,0,227,2,0,0,0.0,12734,0.0,0,2018-01-13T15:00:00Z,13 Jan 15:00,0,0,5,0,0,13,0,0,0,0,0,0,23,0,2454,0,0,0,1,1,0.0,1,-3,265,268,47,False,0,0
5,0,2,0.09206487983465195,36,Sub,Swansea,Tottenham,0,2,2018-01-02,7338,2017,206584,0,0,0,0,0.09206487983465195,0.09206487983465195,0,0,10,0,0,0,2,0,0,7,0.9,2,0,369,0,0,219,0,1,0,4.3,12083,5.2,0,2018-01-02T19:45:00Z,02 Jan 19:45,0,0,37,1,0,17,0,0,0,0,3,0,22,0,2436,3,0,0,2,0,37.0,1,580,763,183,47,True,0,0
6,1,2,0.6044782996177673,42,Sub,Watford,Swansea,1,2,2017-12-30,7327,2017,206184,0.0198469590395689,0,1,1,0.6044782996177673,0.6264557838439941,0.5389222502708435,0,13,0,0,3,29,0,0,9,14.6,2,0,369,0,0,209,0,0,1,9.7,11555,46.6,1,2017-12-30T15:00:00Z,30 Dec 15:00,0,0,45,1,1,18,0,0,0,0,2,0,21,0,1827,2,2,0,2,1,36.0,9,-37,18,55,47,False,1,0
7,0,0,0,67,FWR,Swansea,Crystal Palace,1,1,2017-12-23,7299,2017,202567,0.3727417290210724,0,1,0,0,0.3727417290210724,0,0,25,1,0,0,9,0,0,23,13.3,2,0,369,0,0,189,0,1,0,2.4,10385,4.8,1,2017-12-23T15:00:00Z,23 Dec 15:00,0,0,65,0,0,6,0,0,0,0,5,0,19,0,1872,4,0,0,1,1,6.0,2,-22,43,65,47,True,0,0
8,0,2,0.06330525130033493,90,FWR,Everton,Swansea,3,1,2017-12-18,7293,2017,203247,0,0,0,0,0.06330525130033493,0.08104318380355835,0.01773793250322342,0,30,0,0,0,9,0,1,23,3.3,1,0,369,0,0,175,0,3,0,3.0,9805,6.2,0,2017-12-18T20:00:00Z,18 Dec 20:00,0,0,90,0,0,7,0,0,0,0,6,0,18,0,1888,3,1,1,1,3,20.0,2,-16,12,28,47,False,0,0
9,0,0,0,24,Sub,Swansea,Manchester City,0,4,2017-12-13,7281,2017,205399,0.12320614606142044,0,1,0,0,0,0,0,5,0,0,0,4,0,0,3,10.4,2,0,369,0,0,165,0,1,0,1.8,9227,4.0,1,2017-12-13T19:45:00Z,13 Dec 19:45,0,0,25,0,0,11,0,0,0,0,1,0,17,0,1899,2,0,0,4,0,4.0,1,-37,16,53,47,True,0,0
