,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,7,Sub,Burnley,Liverpool,2,0,2016-08-20,473,2016,133972,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,594.0,0.0,0.0,2016-08-20T14:00:00Z,20 Aug 15:00,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,19250.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,-872.0,1113.0,1985.0,45.0,True,0.0,0.0
1,0,0,0,2,Sub,Burnley,Swansea,0,1,2016-08-13,464,2016,124934,0,0,0,0,0,0,0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,69.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,69.0,0.4,0.0,2016-08-13T14:00:00Z,13 Aug 15:00,0.0,0.0,4.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,15980.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,45.0,True,0.0,0.0
2,0,3,0.18902646005153656,72,FW,Burnley,Leicester,0,1,2015-04-25,4473,2014,24970,0.08819477260112762,0,1,0,0.18902646005153656,0.2772212326526642,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,29,Sub,Everton,Burnley,1,0,2015-04-18,4461,2014,23446,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,1,0.04825073108077049,12,Sub,Burnley,Tottenham,0,0,2015-04-05,4447,2014,23982,0.4447838366031647,0,1,0,0.04825073108077049,0.4930345416069031,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,1,0.020645979791879654,11,Sub,Southampton,Burnley,2,0,2015-03-21,4506,2014,25477,0,0,0,0,0.020645979791879654,0.04503786563873291,0.024391883984208107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,1,Sub,Liverpool,Burnley,2,0,2015-03-04,4491,2014,23830,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,1,Sub,Burnley,Swansea,0,1,2015-02-28,4549,2014,26147,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,1,Sub,Manchester United,Burnley,3,1,2015-02-11,4531,2014,27122,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,27,Sub,Sunderland,Burnley,2,0,2015-01-31,4585,2014,26845,0,0,0,0,0,0.08846571296453476,0.08846571296453476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
