,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,18,Sub,Norwich,Tottenham,0,5,2022-05-22,16755,2021,537951,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,317.0,380.0,1.0,0.0,0.0,0.0,2022-05-22T15:00:00Z,19.0,17.0,0.0,0.0,0.0,0.0,38.0,0.0,18265.0,5.0,0.0,0.0,1.0,-50.0,86.0,136.0,44.0,True,0.0
1,0,0,0,27,Sub,Wolverhampton Wanderers,Norwich,1,1,2022-05-15,16736,2021,536050,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.4,317.0,370.0,0.0,0.0,0.1,0.6,2022-05-15T13:00:00Z,28.0,20.0,0.0,0.0,0.0,0.0,37.0,0.0,18310.0,1.0,1.0,0.0,1.0,-104.0,48.0,152.0,44.0,False,0.0
2,0,0,0,60,MC,Leicester,Norwich,3,0,2022-05-11,16582,2021,534847,0,0,0,0,0,0,0,0.0,0.0,4.0,0.0,1.7,317.0,207.0,1.0,0.0,1.1,5.2,2022-05-11T18:45:00Z,57.0,9.0,0.0,0.0,0.0,0.0,36.0,0.0,18398.0,0.0,3.0,4.0,1.0,-228.0,15.0,243.0,44.0,False,0.0
3,0,0,0,41,Sub,Norwich,West Ham,0,4,2022-05-08,16726,2021,533375,0.06973490864038467,0,1,0,0,0.06973490864038467,0,0.0,0.0,5.0,0.0,11.8,317.0,360.0,1.0,0.0,2.2,10.4,2022-05-08T13:00:00Z,45.0,19.0,0.0,0.0,0.0,0.0,36.0,0.0,18398.0,4.0,0.0,0.0,1.0,-228.0,15.0,243.0,44.0,True,0.0
4,0,0,0,5,Sub,Aston Villa,Norwich,2,0,2022-04-30,16725,2021,530578,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4,317.0,341.0,1.0,0.0,0.2,0.0,2022-04-30T14:00:00Z,9.0,2.0,0.0,0.0,0.0,0.0,35.0,0.0,18624.0,0.0,2.0,2.0,1.0,-163.0,127.0,290.0,44.0,False,0.0
5,0,0,0,19,Sub,Norwich,Burnley,2,0,2022-04-10,16688,2021,525251,0,0,0,0,0,0.11261603981256485,0.11261603981256485,0.0,0.0,1.0,0.0,0.8,317.0,318.0,0.0,0.0,0.3,2.2,2022-04-10T13:00:00Z,21.0,5.0,0.0,0.0,0.0,0.0,32.0,0.0,18899.0,0.0,2.0,0.0,1.0,-179.0,13.0,192.0,44.0,True,0.0
6,0,1,0.03776926547288895,48,MC,Leeds,Norwich,2,1,2022-03-13,16662,2021,520057,0,0,0,0,0.03776926547288895,0.08188154548406601,0.04411228001117706,0.0,0.0,4.0,0.0,0.7,317.0,287.0,1.0,0.0,0.2,0.6,2022-03-13T14:00:00Z,45.0,10.0,0.0,0.0,0.0,0.0,29.0,0.0,19229.0,1.0,2.0,1.0,1.0,-203.0,65.0,268.0,44.0,False,0.0
7,0,0,0,43,Sub,Norwich,Chelsea,1,3,2022-03-10,16672,2021,518978,0,0,0,0,0,0.05338373780250549,0.05338373780250549,0.0,0.0,10.0,0.0,2.3,317.0,297.0,1.0,0.0,0.6,3.4,2022-03-10T19:30:00Z,45.0,6.0,0.0,0.0,0.0,0.0,28.0,0.0,19408.0,3.0,1.0,0.0,1.0,-265.0,63.0,328.0,44.0,True,0.0
8,0,0,0,17,Sub,Southampton,Norwich,2,0,2022-02-25,16644,2021,515597,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,1.3,317.0,269.0,1.0,0.0,0.3,1.2,2022-02-25T20:00:00Z,18.0,16.0,0.0,0.0,0.0,0.0,27.0,0.0,19614.0,0.0,2.0,0.0,1.0,-362.0,81.0,443.0,44.0,False,0.0
9,0,1,0.08132921159267426,77,MC,Norwich,Manchester United,0,1,2021-12-11,16535,2021,501855,0.20401504635810852,0,2,0,0.08132921159267426,0.33586156368255615,0.050517287105321884,0.0,0.0,12.0,0.0,23.8,317.0,160.0,1.0,0.0,5.8,13.6,2021-12-11T17:30:00Z,75.0,13.0,0.0,0.0,0.0,0.0,16.0,0.0,30503.0,1.0,0.0,21.0,2.0,-1726.0,623.0,2349.0,44.0,True,0.0
10,0,1,0.06419310718774796,90,DMC,Newcastle United,Norwich,1,1,2021-11-30,16513,2021,498659,0.11420825868844986,0,2,0,0.06419310718774796,0.24433815479278564,0.17016983032226562,0.0,0.0,18.0,0.0,28.7,317.0,138.0,1.0,0.0,5.9,10.2,2021-11-30T19:30:00Z,90.0,14.0,0.0,0.0,0.0,0.0,14.0,0.0,33213.0,1.0,1.0,20.0,2.0,-464.0,1318.0,1782.0,44.0,False,0.0
11,0,3,0.151951864361763,56,Sub,Norwich,Wolverhampton Wanderers,0,0,2021-11-27,16505,2021,497384,0.830712080001831,0,3,0,0.151951864361763,1.0582791566848755,0.5819104313850403,0.0,0.0,14.0,0.0,37.4,317.0,130.0,0.0,0.0,8.7,14.8,2021-11-27T15:00:00Z,55.0,20.0,0.0,0.0,0.0,0.0,13.0,0.0,33507.0,0.0,0.0,35.0,1.0,-233.0,2473.0,2706.0,44.0,True,0.0
12,0,0,0,3,Sub,Norwich,Southampton,2,1,2021-11-20,16492,2021,495795,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,317.0,117.0,0.0,0.0,0.5,5.0,2021-11-20T15:00:00Z,4.0,16.0,0.0,0.0,0.0,0.0,12.0,0.0,33808.0,1.0,2.0,0.0,1.0,124.0,4418.0,4294.0,44.0,True,0.0
13,0,0,0,4,Sub,Norwich,Brighton,0,0,2021-10-16,16453,2021,488166,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,0.0,317.0,78.0,0.0,0.0,0.0,0.0,2021-10-16T14:00:00Z,7.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,9735.0,0.0,0.0,0.0,1.0,-780.0,191.0,971.0,45.0,True,0.0
14,0,0,0,6,Sub,Burnley,Norwich,0,0,2021-10-02,16437,2021,486515,0,0,0,0,0,0.07264668494462967,0.07264668494462967,0.0,0.0,3.0,0.0,0.8,317.0,62.0,0.0,0.0,0.2,1.6,2021-10-02T14:00:00Z,10.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,10417.0,0.0,0.0,0.0,1.0,-810.0,444.0,1254.0,45.0,False,0.0
15,0,1,0.012744485400617123,81,MC,Arsenal,Norwich,1,0,2021-09-11,16407,2021,480285,0,0,0,0,0.012744485400617123,0.025571150705218315,0.012826664373278618,0.0,0.0,10.0,0.0,2.3,317.0,31.0,1.0,0.0,0.9,4.0,2021-09-11T14:00:00Z,79.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,10685.0,0.0,1.0,3.0,2.0,-571.0,1435.0,2006.0,45.0,False,0.0
16,0,1,0.026590067893266678,12,Sub,Norwich,Leicester,1,2,2021-08-28,16398,2021,478869,0.08615022897720337,0,1,0,0.026590067893266678,0.11274029314517975,0.08615022897720337,0.0,0.0,5.0,0.0,14.7,317.0,26.0,1.0,0.0,2.9,6.2,2021-08-28T14:00:00Z,17.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,10835.0,2.0,1.0,8.0,1.0,-481.0,909.0,1390.0,45.0,True,0.0
17,0,0,0,47,MC,Manchester City,Norwich,5,0,2021-08-21,16387,2021,476922,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,0.3,317.0,16.0,2.0,0.0,0.6,5.2,2021-08-21T14:00:00Z,45.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,10891.0,0.0,5.0,0.0,1.0,658.0,2032.0,1374.0,45.0,False,0.0
18,0,4,0.09169749170541763,90,MC,Norwich,Liverpool,0,3,2021-08-14,16383,2021,475681,0,0,0,0,0.09169749170541763,0.38703715801239014,0.33592474460601807,0.0,0.0,13.0,0.0,2.2,317.0,7.0,3.0,0.0,2.8,5.2,2021-08-14T16:30:00Z,90.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,8058.0,3.0,0.0,21.0,2.0,0.0,0.0,0.0,45.0,True,0.0
19,0,0,0,90,DMC,Manchester City,Norwich,5,0,2020-07-26,12017,2019,411370,0.3235843777656555,0,2,0,0,0.6574563980102539,0.3338720202445984,0.0,0.0,13.0,0.0,24.1,602.0,377.0,5.0,0.0,4.3,13.0,2020-07-26T15:00:00Z,90.0,11.0,0.0,0.0,0.0,0.0,47.0,0.0,837.0,0.0,5.0,6.0,2.0,11.0,50.0,39.0,44.0,False,0.0
20,0,0,0,9,Sub,Norwich,Burnley,0,2,2020-07-18,12008,2019,409675,0,0,0,0,0,0,0,0.0,0.0,4.0,0.0,0.0,602.0,366.0,1.0,0.0,0.3,3.2,2020-07-18T16:30:00Z,14.0,5.0,0.0,0.0,0.0,0.0,46.0,0.0,820.0,2.0,0.0,0.0,1.0,7.0,49.0,42.0,44.0,True,0.0
21,0,0,0,90,MC,Chelsea,Norwich,1,0,2020-07-14,11995,2019,408492,0,0,0,0,0,0.03746437653899193,0.03746437653899193,0.0,0.0,10.0,0.0,3.3,602.0,353.0,1.0,0.0,0.7,3.6,2020-07-14T19:15:00Z,88.0,6.0,0.0,0.0,0.0,0.0,45.0,0.0,789.0,0.0,1.0,0.0,2.0,-37.0,21.0,58.0,44.0,False,0.0
22,0,0,0,17,Sub,Norwich,West Ham,0,4,2020-07-11,11988,2019,407334,0,0,0,0,0,0.010953481309115887,0.010953481309115887,0.0,0.0,3.0,0.0,2.8,602.0,346.0,1.0,0.0,0.6,3.4,2020-07-11T11:30:00Z,20.0,19.0,0.0,0.0,0.0,0.0,44.0,0.0,812.0,4.0,0.0,0.0,1.0,-14.0,38.0,52.0,44.0,True,0.0
23,0,0,0,77,MC,Arsenal,Norwich,4,0,2020-07-01,11953,2019,404428,0,0,0,0,0,0.03217555209994316,0.03217555209994316,0.0,0.0,7.0,0.0,2.3,602.0,311.0,3.0,0.0,0.6,4.0,2020-07-01T17:00:00Z,74.0,1.0,0.0,0.0,0.0,0.0,41.0,0.0,814.0,0.0,4.0,0.0,1.0,16.0,57.0,41.0,44.0,False,1.0
24,0,1,0.015105057507753372,73,AMR,Norwich,Everton,0,1,2020-06-24,11948,2019,402340,0.05547778308391571,0,1,0,0.015105057507753372,0.07058283686637878,0,0.0,0.0,2.0,0.0,12.3,602.0,307.0,1.0,0.0,3.5,11.2,2020-06-24T17:00:00Z,70.0,8.0,0.0,0.0,0.0,0.0,40.0,0.0,780.0,1.0,0.0,11.0,2.0,-61.0,13.0,74.0,45.0,True,0.0
25,0,0,0,21,Sub,Norwich,Leicester,1,0,2020-02-28,11919,2019,387411,0.0782746970653534,0,1,0,0,0.0782746970653534,0,0.0,0.0,7.0,0.0,10.5,602.0,277.0,0.0,0.0,1.9,8.2,2020-02-28T20:00:00Z,22.0,9.0,0.0,0.0,0.0,0.0,28.0,0.0,725.0,0.0,1.0,0.0,1.0,59.0,139.0,80.0,45.0,True,0.0
26,0,0,0,61,AMR,Wolverhampton Wanderers,Norwich,3,0,2020-02-23,11912,2019,387338,0,0,0,0,0,0.23764961957931519,0.23764961957931519,0.0,0.0,4.0,0.0,1.5,602.0,270.0,3.0,0.0,0.4,0.8,2020-02-23T14:00:00Z,58.0,20.0,0.0,0.0,0.0,0.0,27.0,0.0,617.0,0.0,3.0,2.0,1.0,168.0,244.0,76.0,45.0,False,0.0
