,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,90,DL,Everton,Manchester United,1,2,2022-10-09,18297,2022,555250,0,0,0,0,0,0.12380222231149673,0.12380222231149673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,42,Sub,Manchester City,Manchester United,6,3,2022-10-02,18289,2022,552946,0.08892004936933517,0,1,0,0,0.13624174892902374,0.13624174892902374,0.0,,,,0.0,2.0,0.0,,,12.3,,,332.0,,,88.0,,2.0,0.0,1.9,,6.8,,2022-10-02T13:00:00Z,,,,45.0,,,13.0,0.0,,0.0,0.0,,0.0,9.0,0.0,42542.0,,,,3.0,6.0,0.0,0.0,-559.0,1131.0,1690.0,47.0,False,,0.0
2,0,0,0,50,DL,Brentford,Manchester United,4,0,2022-08-13,18218,2022,540813,0.074321448802948,0,1,0,0,0.10578494518995285,0.03146349638700485,0.0,,,,0.0,7.0,0.0,,,14.2,,,332.0,,,13.0,,4.0,0.0,2.1,,6.6,,2022-08-13T16:30:00Z,,,,45.0,,,4.0,0.0,,0.0,0.0,,0.0,2.0,0.0,90091.0,,,,0.0,4.0,0.0,-1.0,-10978.0,5529.0,16507.0,50.0,False,,0.0
3,0,1,0.056737061589956284,90,DL,Manchester United,Brighton,1,2,2022-08-07,18209,2022,539796,0.09266752004623413,0,2,0,0.056737061589956284,0.0702383816242218,0,0.0,,,,0.0,13.0,0.0,,,32.3,,,332.0,,,9.0,,2.0,0.0,6.9,,17.4,,2022-08-07T13:00:00Z,,,,89.0,,,5.0,0.0,,0.0,0.0,,0.0,1.0,0.0,84371.0,,,,2.0,1.0,19.0,0.0,0.0,0.0,0.0,50.0,True,,1.0
4,0,0,0,49,DL,Manchester United,Leicester,1,1,2022-04-02,16679,2021,523016,0.08351357281208038,0,2,0,0,0.041955217719078064,0.041955217719078064,0.0,,,,0.0,2.0,0.0,,,30.2,,,275.0,,,307.0,,0.0,0.0,3.5,,5.2,,2022-04-02T16:30:00Z,,,,45.0,,,9.0,0.0,,0.0,0.0,,0.0,31.0,0.0,1055785.0,,,,1.0,1.0,0.0,0.0,-3886.0,2682.0,6568.0,50.0,True,,1.0
5,0,0,0,15,Sub,Manchester United,Watford,0,0,2022-02-26,16643,2021,516058,0.017271697521209717,0,1,0,0,0.048133786767721176,0.03086208924651146,0.0,,,,0.0,7.0,0.0,,,23.3,,,275.0,,,268.0,,0.0,0.0,3.3,,9.4,,2022-02-26T15:00:00Z,,,,16.0,,,18.0,0.0,,0.0,0.0,,0.0,27.0,0.0,1233778.0,,,,0.0,0.0,0.0,1.0,19575.0,29852.0,10277.0,50.0,True,,0.0
6,0,0,0,90,DL,Leeds,Manchester United,2,4,2022-02-20,16630,2021,514697,0.12669090926647186,1,2,0,0,1.3807733058929443,1.30557382106781,1.0,,,,0.0,17.0,0.0,,,26.0,,,275.0,,,255.0,,2.0,0.0,6.5,,32.8,,2022-02-20T14:00:00Z,,,,90.0,,,10.0,0.0,,0.0,0.0,,0.0,26.0,0.0,1131762.0,,,,4.0,2.0,6.0,3.0,-29696.0,6302.0,35998.0,50.0,False,,1.0
7,0,1,0.01844208687543869,90,DL,Manchester United,Brighton,2,0,2022-02-15,16549,2021,513760,0,0,0,0,0.01844208687543869,0.0891268402338028,0.0706847533583641,0.0,,,,0.0,21.0,1.0,,,4.4,,,275.0,,,174.0,,0.0,0.0,2.4,,9.6,,2022-02-15T20:15:00Z,,,,90.0,,,4.0,0.0,,0.0,0.0,,0.0,25.0,0.0,1185361.0,,,,0.0,2.0,10.0,5.0,101710.0,110349.0,8639.0,50.0,True,,1.0
8,0,0,0,90,DL,Manchester United,Southampton,1,1,2022-02-12,16621,2021,512407,0.758030116558075,0,4,0,0,1.0063103437423706,0.531644344329834,0.0,,,,0.0,19.0,0.0,,,50.6,,,275.0,,,246.0,,1.0,0.0,7.6,,25.4,,2022-02-12T12:30:00Z,,,,90.0,,,16.0,0.0,,0.0,0.0,,0.0,25.0,0.0,1185361.0,,,,1.0,1.0,0.0,2.0,101710.0,110349.0,8639.0,50.0,True,,0.0
9,0,0,0,90,DL,Burnley,Manchester United,1,1,2022-02-08,16608,2021,512133,0.301617830991745,1,3,0,0,0.4384940266609192,0.2418336570262909,1.0,,,,1.0,21.0,0.0,,,39.1,,,275.0,,,233.0,,1.0,0.0,7.7,,31.4,,2022-02-08T20:00:00Z,,,,90.0,,,5.0,0.0,,0.0,0.0,,0.0,24.0,0.0,1074165.0,,,,1.0,1.0,6.0,6.0,-12789.0,16323.0,29112.0,50.0,False,,0.0
10,0,0,0,90,DL,Manchester United,Wolverhampton Wanderers,0,1,2022-01-03,16583,2021,505880,0.017145030200481415,0,1,0,0,0.06484956294298172,0.047704532742500305,0.0,,,,0.0,6.0,0.0,,,11.5,,,275.0,,,208.0,,1.0,0.0,2.4,,12.2,,2022-01-03T17:30:00Z,,,,90.0,,,20.0,0.0,,0.0,0.0,,0.0,21.0,0.0,1169415.0,,,,1.0,0.0,0.0,1.0,19273.0,34582.0,15309.0,50.0,True,,1.0
11,0,2,0.07292183488607407,90,DL,Manchester United,Burnley,3,1,2021-12-30,16574,2021,505398,0.4594117999076843,0,3,0,0.07292183488607407,0.7223247289657593,0.24960586428642273,0.0,,,,0.0,16.0,0.0,,,37.8,,,275.0,,,198.0,,1.0,0.0,5.8,,16.4,,2021-12-30T20:15:00Z,,,,90.0,,,5.0,0.0,,0.0,0.0,,0.0,20.0,0.0,1136005.0,,,,1.0,3.0,4.0,2.0,-8819.0,3796.0,12615.0,50.0,True,,0.0
12,0,0,0,88,DL,Watford,Manchester United,4,1,2021-11-20,16494,2021,495664,0,0,0,0,0,1.3464542627334595,1.3464542627334595,0.0,,,,0.0,11.0,0.0,,,1.9,,,275.0,,,119.0,,2.0,0.0,0.9,,7.4,,2021-11-20T15:00:00Z,,,,84.0,,,18.0,0.0,,0.0,0.0,,0.0,12.0,0.0,1570687.0,,,,1.0,4.0,0.0,1.0,-172959.0,8159.0,181118.0,52.0,False,,0.0
13,0,0,0,74,DML,Manchester United,Manchester City,0,2,2021-11-06,16483,2021,493698,0.1944882571697235,0,2,0,0,0.09302757680416107,0.013034790754318237,0.0,,,,0.0,6.0,0.0,,,29.9,,,275.0,,,108.0,,2.0,0.0,3.9,,9.2,,2021-11-06T12:30:00Z,,,,72.0,,,12.0,0.0,,0.0,0.0,,0.0,11.0,0.0,1741767.0,,,,2.0,0.0,0.0,1.0,-76441.0,14346.0,90787.0,52.0,True,,0.0
14,0,0,0,90,ML,Tottenham,Manchester United,0,3,2021-10-30,16473,2021,492553,0.027618879452347755,0,1,0,0,0.164066344499588,0.164066344499588,0.0,,,,0.0,22.0,1.0,,,17.1,,,275.0,,,98.0,,0.0,0.0,3.7,,17.6,,2021-10-30T16:30:00Z,,,,90.0,,,17.0,0.0,,0.0,0.0,,0.0,10.0,0.0,1807155.0,,,,3.0,0.0,2.0,5.0,-224871.0,13679.0,238550.0,53.0,False,,1.0
15,0,1,0.01091197319328785,90,DL,Manchester United,Liverpool,0,5,2021-10-24,16463,2021,490841,0.05828621983528137,0,2,0,0.01091197319328785,0.051876991987228394,0.040965016931295395,0.0,,,,0.0,9.0,0.0,,,29.0,,,275.0,,,88.0,,5.0,0.0,3.9,,8.8,,2021-10-24T15:30:00Z,,,,90.0,,,11.0,0.0,,0.0,0.0,,0.0,9.0,0.0,2022980.0,,,,5.0,0.0,1.0,-1.0,-206413.0,13610.0,220023.0,53.0,True,,1.0
16,0,0,0,90,DL,Leicester,Manchester United,4,2,2021-10-16,16450,2021,488117,0,0,0,0,0,0.17959292232990265,0.17959292232990265,0.0,,,,0.0,14.0,0.0,,,4.9,,,275.0,,,75.0,,4.0,0.0,2.0,,12.8,,2021-10-16T14:00:00Z,,,,90.0,,,9.0,0.0,,0.0,0.0,,0.0,8.0,0.0,2230148.0,,,,2.0,4.0,2.0,0.0,-191465.0,42870.0,234335.0,54.0,False,,0.0
