,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,13,Sub,Brentford,Manchester City,0,1,2021-12-29,16567,2021,505380,0,0,0,0,0,0,0,0,0,2,0,0.3,97,192,0,0,0.0,0.0,2021-12-29T20:15:00Z,15,12,0,0,0,0,20,0,6004,1,0,0.0,1,-66,43,109,44,True,0
1,0,0,0,3,Sub,West Ham,Brentford,1,2,2021-10-03,16444,2021,487069,0,0,0,0,0,0,0,0,0,3,0,0.0,97,69,0,0,0.0,0.0,2021-10-03T13:00:00Z,8,19,0,0,0,0,7,0,6495,2,1,0.0,1,-232,238,470,45,False,0
2,0,0,0,1,Sub,Crystal Palace,Brentford,0,0,2021-08-21,16389,2021,476981,0,0,0,0,0,0,0,0,0,2,0,0.1,97,13,0,0,0.3,2.4,2021-08-21T14:00:00Z,3,7,0,0,0,0,2,0,7269,0,0,0.0,1,519,1490,971,45,False,0
3,0,0,0,9,Sub,Brentford,Arsenal,2,0,2021-08-13,16376,2021,475183,0,0,0,0,0,0,0,0,0,4,0,0.3,97,1,0,0,0.5,4.2,2021-08-13T19:00:00Z,10,1,0,0,0,0,1,0,4979,0,2,0.0,1,0,0,0,45,True,0
4,,,,,,,,,,2021-08-28,,,,,,,,,,,0,0,0,0,0.0,97,21,0,0,0.0,0.0,2021-08-28T14:00:00Z,0,2,0,0,0,0,3,0,7106,1,1,0.0,0,-366,604,970,45,False,0
5,,,,,,,,,,2021-09-11,,,,,,,,,,,0,0,0,0,0.0,97,32,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,4,0,0,0,0,4,0,7049,1,0,0.0,0,-391,961,1352,45,True,0
6,,,,,,,,,,2021-09-18,,,,,,,,,,,0,0,0,0,0.0,97,50,0,0,0.0,0.0,2021-09-18T11:30:00Z,0,20,0,0,0,0,5,0,6903,2,0,0.0,0,-294,592,886,45,False,0
7,,,,,,,,,,2021-09-25,,,,,,,,,,,0,0,0,0,0.0,97,52,0,0,0.0,0.0,2021-09-25T16:30:00Z,0,11,0,0,0,0,6,0,6658,3,3,0.0,0,-368,373,741,45,True,0
8,,,,,,,,,,2021-10-16,,,,,,,,,,,0,0,0,0,0.0,97,73,0,0,0.0,0.0,2021-10-16T16:30:00Z,0,6,0,0,0,0,8,0,6514,1,0,0.0,0,-84,333,417,45,True,0
9,,,,,,,,,,2021-10-24,,,,,,,,,,,0,0,0,0,0.0,97,82,0,0,0.0,0.0,2021-10-24T13:00:00Z,0,9,0,0,0,0,9,0,6466,2,1,0.0,0,-103,262,365,45,True,0
10,,,,,,,,,,2021-10-30,,,,,,,,,,,0,0,0,0,0.0,97,92,0,0,0.0,0.0,2021-10-30T14:00:00Z,0,5,0,0,0,0,10,0,6473,1,3,0.0,0,-93,421,514,45,False,0
11,,,,,,,,,,2021-11-06,,,,,,,,,,,0,0,0,0,0.0,97,102,0,0,0.0,0.0,2021-11-06T15:00:00Z,0,15,0,0,0,0,11,0,6230,2,1,0.0,0,-297,115,412,45,True,0
12,,,,,,,,,,2021-11-20,,,,,,,,,,,0,0,0,0,0.0,97,116,0,0,0.0,0.0,2021-11-20T15:00:00Z,0,14,0,0,0,0,12,0,6147,3,3,0.0,0,-150,173,323,44,False,0
13,,,,,,,,,,2021-11-28,,,,,,,,,,,0,0,0,0,0.0,97,122,0,0,0.0,0.0,2021-11-28T14:00:00Z,0,8,0,0,0,0,13,0,6284,0,1,0.0,0,30,341,311,44,True,0
14,,,,,,,,,,2021-12-02,,,,,,,,,,,0,0,0,0,0.0,97,140,0,0,0.0,0.0,2021-12-02T19:30:00Z,0,17,0,0,0,0,14,0,6380,0,2,0.0,0,71,236,165,44,False,0
15,,,,,,,,,,2021-12-05,,,,,,,,,,,0,0,0,0,0.0,97,143,0,0,0.0,0.0,2021-12-05T14:00:00Z,0,10,0,0,0,0,15,0,6381,2,2,0.0,0,-44,245,289,44,False,0
16,,,,,,,,,,2021-12-10,,,,,,,,,,,0,0,0,0,0.0,97,152,0,0,0.0,0.0,2021-12-10T20:00:00Z,0,18,0,0,0,0,16,0,6445,1,2,0.0,0,-19,284,303,44,True,0
17,,,,,,,,,,2021-12-26,,,,,,,,,,,0,0,0,0,0.0,97,182,0,0,0.0,0.0,2021-12-26T20:00:00Z,0,4,0,0,0,0,19,0,6163,0,2,0.0,0,-145,95,240,44,False,0
18,,,,,,,,,,2022-01-02,,,,,,,,,,,0,0,0,0,0.0,97,202,0,0,0.0,0.0,2022-01-02T14:00:00Z,0,2,0,0,0,0,21,0,6076,1,2,0.0,0,-22,172,194,44,True,0
19,,,,,,,,,,2022-01-11,,,,,,,,,,,0,0,0,0,0.0,97,176,0,0,0.0,0.0,2022-01-11T19:45:00Z,0,16,0,0,0,0,21,0,6076,1,4,0.0,0,-22,172,194,44,False,0
20,,,,,,,,,,2022-01-16,,,,,,,,,,,0,0,0,0,0.0,97,214,0,0,0.0,0.0,2022-01-16T14:00:00Z,0,11,0,0,0,0,22,0,6209,0,3,0.0,0,-108,185,293,44,False,0
21,,,,,,,,,,2022-01-19,,,,,,,,,,,0,0,0,0,0.0,97,162,0,0,0.0,0.0,2022-01-19T20:00:00Z,0,13,0,0,0,0,22,0,6209,3,1,0.0,0,-108,185,293,44,True,0
22,,,,,,,,,,2022-01-22,,,,,,,,,,,0,0,0,0,0.0,97,222,0,0,0.0,0.0,2022-01-22T15:00:00Z,0,20,0,0,0,0,23,0,5857,2,1,0.0,0,-56,120,176,44,True,0
