,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,59,DC,Angers,Montpellier,2,1,2022-09-11,19710,2022,549662,0,0,0,0,0,0.38238129019737244,0.38238129019737244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,80,DC,Montpellier,Lille,1,3,2022-09-04,19702,2022,547699,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,83,Sub,Montpellier,Ajaccio,2,0,2022-08-31,19691,2022,546171,0,0,0,0,0,0.4097635746002197,0.4097635746002197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,0.0396060086786747,86,DC,Montpellier,Auxerre,1,2,2022-08-21,19672,2022,542978,0,0,0,1,0.0396060086786747,0.17771877348423004,0.17771877348423004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,8,Sub,Paris Saint Germain,Montpellier,5,2,2022-08-13,19660,2022,541064,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,1,0.5029835104942322,83,DC,Montpellier,Troyes,3,2,2022-08-07,19653,2022,539881,0,0,0,0,0.5029835104942322,0.18168921768665314,0.18168921768665314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,90,DC,Angers,Montpellier,2,0,2022-05-21,18201,2021,537395,0,0,0,0,0,0.10825809091329575,0.10825809091329575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,90,DC,Clermont Foot,Montpellier,2,1,2022-05-08,18178,2021,533409,0,0,0,0,0,0.03478251025080681,0.03478251025080681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,90,DC,Montpellier,Metz,2,2,2022-05-01,18166,2021,531133,0,0,0,0,0,0.22751294076442719,0.22751294076442719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,90,DC,Lyon,Montpellier,5,2,2022-04-23,18154,2021,528740,0,0,0,0,0,0.3399071991443634,0.3399071991443634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,0,0,90,DC,Lens,Montpellier,2,0,2022-04-20,18145,2021,528019,0,0,0,0,0,0.015628403052687645,0.015628403052687645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
