,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,50,MR,Bologna,Sampdoria,1,1,2022-10-08,18662,2022,554420,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0.05218514800071716,78,MR,Sampdoria,Monza,0,3,2022-10-02,18660,2022,553076,0,0,0,0,0.05218514800071716,0.05218514800071716,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,1,0.04714393615722656,18,Sub,Spezia,Sampdoria,2,1,2022-09-17,18649,2022,550825,0.35572728514671326,0,1,0,0.04714393615722656,0.4028712213039398,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,4,0.2157915234565735,28,Sub,Sampdoria,AC Milan,1,2,2022-09-10,18640,2022,549318,0,0,0,0,0.2157915234565735,0.2157915234565735,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,2,0.08920550346374512,27,Sub,Verona,Sampdoria,2,1,2022-09-04,18627,2022,548179,0,0,0,0,0.08920550346374512,0.38152754306793213,0.292322039604187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,2,0.4116884171962738,14,Sub,Sampdoria,Lazio,1,1,2022-08-31,18616,2022,546047,0,0,0,1,0.4116884171962738,0.4116884171962738,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,25,Sub,Salernitana,Sampdoria,4,0,2022-08-28,18608,2022,545509,0.12265682220458984,0,1,0,0,0.17011350393295288,0.047456685453653336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,1,0.10325745493173599,35,FW,Sampdoria,Sassuolo,4,0,2022-02-06,16993,2021,511676,0,0,0,0,0.10325745493173599,0.10325745493173599,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,3,0.11340341717004776,90,FW,Spezia,Sampdoria,1,0,2022-01-23,16984,2021,510255,0,0,0,0,0.11340341717004776,0.06438951194286346,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,4,0.20371651649475098,90,AMC,Sampdoria,Torino,1,2,2022-01-15,16973,2021,507910,0.36746925115585327,1,1,0,0.20371651649475098,0.49426254630088806,0.10694117844104767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,2,0.056921880692243576,90,FW,Napoli,Sampdoria,1,0,2022-01-09,16961,2021,507340,0.042517613619565964,0,1,0,0.056921880692243576,0.056921880692243576,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,2,0.6055557131767273,72,FW,Sampdoria,Cagliari,1,2,2022-01-06,16953,2021,506317,0,0,0,1,0.6055557131767273,0.07886458188295364,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,3,0.24538567662239075,90,FW,Roma,Sampdoria,1,1,2021-12-22,16942,2021,504591,0.07925193756818771,0,2,1,0.24538567662239075,0.17616215348243713,0.029378607869148254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
