,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,id_y,key_passes_y,kickoff_time_formatted,loaned_in,loaned_out,offside,open_play_crosses,penalties_conceded,recoveries,tackled,tackles,target_missed,winning_goals
0,0,0,0,90,DC,Crystal Palace,Leeds,2,1,2022-10-09,18296,2022,554711,0,0,0,0,0,0.048906996846199036,0.048906996846199036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,90,DC,Crystal Palace,Chelsea,1,2,2022-10-01,18284,2022,552273,0,0,0,0,0,0.09509910643100739,0.09509910643100739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,1,0.0794106051325798,90,DC,Newcastle United,Crystal Palace,0,0,2022-09-03,18253,2022,547293,0,0,0,0,0.0794106051325798,0.06950969994068146,0.06950969994068146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,90,DC,Crystal Palace,Brentford,1,1,2022-08-30,18243,2022,545855,0,0,0,0,0,0.020442644134163857,0.020442644134163857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,90,DC,Manchester City,Crystal Palace,4,2,2022-08-27,18237,2022,544447,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,1,0.0451158732175827,90,DC,Crystal Palace,Aston Villa,3,1,2022-08-20,18223,2022,542428,0.30491939187049866,0,1,0,0.0451158732175827,0.5851811170578003,0.28026169538497925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,90,DC,Liverpool,Crystal Palace,1,1,2022-08-15,18221,2022,541891,0.06947236508131027,0,1,0,0,0.06947236508131027,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,90,DC,Crystal Palace,Arsenal,0,2,2022-08-05,18202,2022,539125,0,0,0,0,0,0.15128928422927856,0.15128928422927856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,90,DC,Everton,Crystal Palace,3,2,2022-05-19,16704,2021,536791,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,2,0.12085532397031784,90,DC,Aston Villa,Crystal Palace,1,1,2022-05-15,16745,2021,536126,0.9207292795181274,1,2,0,0.12085532397031784,0.03932435065507889,0.01963767781853676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,2,0.35763493180274963,77,DC,Crystal Palace,Watford,1,0,2022-05-07,16730,2021,532530,0,0,0,0,0.35763493180274963,0.18014457821846008,0.18014457821846008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,0,0,90,DC,Southampton,Crystal Palace,1,2,2022-04-30,16720,2021,530542,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,1,0.10142771154642105,90,DC,Crystal Palace,Leeds,0,0,2022-04-25,16710,2021,529868,0.060530949383974075,0,1,0,0.10142771154642105,0.27326491475105286,0.27326491475105286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,2,0.03960992768406868,90,DC,Newcastle United,Crystal Palace,1,0,2022-04-20,16671,2021,527902,0,0,0,0,0.03960992768406868,0.08205977827310562,0.08205977827310562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,0,0,90,DC,Leicester,Crystal Palace,2,1,2022-04-10,16691,2021,525197,0,0,0,0,0,0.15628717839717865,0.15628717839717865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,0,0,90,DC,Crystal Palace,Arsenal,3,0,2022-04-04,16682,2021,523947,0,0,0,0,0,0.010493513196706772,0.010493513196706772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,0,0,90,DC,Crystal Palace,Manchester City,0,0,2022-03-14,16660,2021,520642,0.08900666236877441,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,0,0,90,DC,Wolverhampton Wanderers,Crystal Palace,0,2,2022-03-05,16655,2021,517621,0,0,0,0,0,0.08383423835039139,0.08383423835039139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,0,0,90,DC,Crystal Palace,Burnley,1,1,2022-02-26,16640,2021,516023,0,0,0,0,0,0.15512175858020782,0.15512175858020782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,0,0,90,DC,Watford,Crystal Palace,1,4,2022-02-23,16553,2021,515385,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,1,0.06994074583053589,90,DC,Crystal Palace,Chelsea,0,1,2022-02-19,16629,2021,514207,0.011870256625115871,0,1,0,0.06994074583053589,0.011870256625115871,0.011870256625115871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,0,0,90,DC,Brentford,Crystal Palace,0,0,2022-02-12,16616,2021,512661,0,0,0,0,0,0.029052885249257088,0.029052885249257088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,0,0,90,DC,Norwich,Crystal Palace,1,1,2022-02-09,16609,2021,512160,0,0,0,0,0,0.09609738737344742,0.09609738737344742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,0,0,90,DC,Crystal Palace,Liverpool,1,3,2022-01-23,16599,2021,510177,0,0,0,0,0,0.6416987180709839,0.6416987180709839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,0,0,90,DC,Brighton,Crystal Palace,1,1,2022-01-14,16587,2021,507834,0,0,0,0,0,0.49110525846481323,0.49110525846481323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,0,0,90,DC,Crystal Palace,West Ham,2,3,2022-01-01,16579,2021,505510,0,0,0,0,0,1.443178415298462,1.443178415298462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,1,0.05568796768784523,90,DC,Crystal Palace,Norwich,3,0,2021-12-28,16570,2021,505260,0,0,0,0,0.05568796768784523,0.0481099933385849,0.0481099933385849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,0,0,90,DC,Crystal Palace,Southampton,2,2,2021-12-15,16542,2021,503248,0,0,0,0,0,0.33243677020072937,0.33243677020072937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,1,0.025072548538446426,90,DC,Crystal Palace,Everton,3,1,2021-12-12,16531,2021,502609,0,0,0,0,0.025072548538446426,0.14437302947044373,0.14437302947044373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,0,0,90,DC,Manchester United,Crystal Palace,1,0,2021-12-05,16519,2021,500523,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,0,0,90,DC,Leeds,Crystal Palace,1,0,2021-11-30,16508,2021,498746,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1,2,0.5714353322982788,90,DC,Crystal Palace,Aston Villa,1,2,2021-11-27,16501,2021,497432,0,0,0,1,0.5714353322982788,0.06296833604574203,0.06296833604574203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1,2,0.235651433467865,90,DC,Burnley,Crystal Palace,3,3,2021-11-20,16487,2021,495719,0,0,0,1,0.235651433467865,0.5479567646980286,0.5479567646980286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,0,0,90,DC,Crystal Palace,Wolverhampton Wanderers,2,0,2021-11-06,16480,2021,494024,0,0,0,0,0,0.08448797464370728,0.08448797464370728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,1,0.06200161203742027,90,DC,Manchester City,Crystal Palace,0,2,2021-10-30,16470,2021,492255,0,0,0,0,0.06200161203742027,0.19635701179504395,0.19635701179504395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,1,0.028945036232471466,90,DC,Crystal Palace,Newcastle United,1,1,2021-10-23,16460,2021,489940,0,0,0,0,0.028945036232471466,0.9573728442192078,0.9284278154373169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,1,0.011217375285923481,90,DC,Arsenal,Crystal Palace,2,2,2021-10-18,16446,2021,489376,0,0,0,0,0.011217375285923481,0.11785953491926193,0.11785953491926193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0,0,0,90,DC,Crystal Palace,Leicester,2,2,2021-10-03,16439,2021,486994,0,0,0,0,0,0.21626828610897064,0.21626828610897064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0,0,0,90,DC,Crystal Palace,Brighton,1,1,2021-09-27,16435,2021,485980,0,0,0,0,0,0.05851135030388832,0.05851135030388832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0,0,0,90,DC,Liverpool,Crystal Palace,3,0,2021-09-18,16420,2021,482103,0,0,0,0,0,0.025769198313355446,0.025769198313355446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0,0,0,90,DC,Crystal Palace,Tottenham,3,0,2021-09-11,16406,2021,480023,0,0,0,0,0,0.6680716276168823,0.6680716276168823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0,2,0.8123229742050171,90,DC,West Ham,Crystal Palace,2,2,2021-08-28,16401,2021,478902,0,0,0,0,0.8123229742050171,0.5741896033287048,0.5741896033287048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
