,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,90,MC,Alaves,Girona,2,1,2019-05-18,10327,2018,333750,0,0,0,0,0,0.45685604214668274,0.45685604214668274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0.07553611695766449,90,DL,Girona,Levante,1,2,2019-05-12,10322,2018,332707,0.07300751656293869,0,1,0,0.07553611695766449,0.17191100120544434,0.09890349209308624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,1,0.07143125683069229,90,DL,Girona,Sevilla,1,0,2019-04-28,10303,2018,328689,0.04755651578307152,0,2,0,0.07143125683069229,0.11898777633905411,0.07143125683069229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,78,DC,Real Valladolid,Girona,1,0,2019-04-23,10288,2018,327294,0,0,0,0,0,0.024570370092988014,0.024570370092988014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,90,DL,Girona,Espanyol,1,2,2019-04-06,10259,2018,322383,0,0,0,0,0,0.1251046359539032,0.1251046359539032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,1,0.11086170375347137,90,DL,Atletico Madrid,Girona,2,0,2019-04-02,10255,2018,321537,0.05663852393627167,0,1,0,0.11086170375347137,0.2378000169992447,0.18116149306297302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,64,DMC,Girona,Athletic Club,1,2,2019-03-29,10243,2018,317508,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,1,0.008646016009151936,90,DL,Leganes,Girona,0,2,2019-03-16,10229,2018,316742,0,0,0,0,0.008646016009151936,0.44148749113082886,0.44148749113082886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,16,Sub,Real Betis,Girona,3,2,2019-01-20,10153,2018,309760,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,1,0.01989058218896389,57,Sub,Espanyol,Girona,1,3,2018-11-25,10083,2018,286823,0,0,0,0,0.01989058218896389,0.01989058218896389,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
