,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,79,FWL,Bournemouth,Swansea,1,0,2018-05-05,7488,2017,237605,0.0138123519718647,0,1,0,0,0.0138123519718647,0,0.0,25.0,0.0,0.0,0.0,5.0,1.0,3.0,18.0,14.4,1.0,0.0,40.0,0.0,0.0,362.0,1.0,0.0,0.0,2.5,20866.0,8.4,1.0,2018-05-05T14:00:00Z,05 May 15:00,0.0,0.0,77.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,4.0,0.0,37.0,0.0,4397.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,-10.0,14.0,24.0,47.0,True,0.0,0.0
1,0,2,0.08923642337322235,63,ML,Bournemouth,Crystal Palace,2,2,2018-04-07,7440,2017,230275,0,0,0,0,0.08923642337322235,0.2487788051366806,0.15954239666461945,0.0,28.0,0.0,0.0,0.0,6.0,0.0,1.0,24.0,14.0,2.0,0.0,40.0,0.0,0.0,322.0,0.0,1.0,0.0,3.4,18272.0,6.2,1.0,2018-04-07T14:00:00Z,07 Apr 15:00,0.0,0.0,61.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,33.0,0.0,4382.0,3.0,0.0,1.0,2.0,2.0,14.0,2.0,1.0,19.0,18.0,47.0,True,0.0,0.0
2,0,0,0,43,Sub,Watford,Bournemouth,2,2,2018-03-31,7437,2017,226943,0,0,0,0,0,0.15713681280612946,0.15713681280612946,0.0,20.0,0.0,0.0,0.0,6.0,0.0,2.0,14.0,6.1,0.0,0.0,40.0,0.0,0.0,318.0,0.0,1.0,0.0,1.7,17635.0,7.0,0.0,2018-03-31T14:00:00Z,31 Mar 15:00,0.0,0.0,42.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,32.0,0.0,4369.0,1.0,1.0,0.0,2.0,2.0,4.0,1.0,-1.0,20.0,21.0,47.0,False,0.0,0.0
3,0,0,0,1,Sub,Bournemouth,Stoke,2,1,2018-02-03,7370,2017,214818,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.3,0.0,0.0,40.0,0.0,0.0,252.0,0.0,0.0,0.0,0.1,14219.0,0.2,0.0,2018-02-03T15:00:00Z,03 Feb 15:00,0.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,4357.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,-28.0,31.0,59.0,47.0,True,0.0,0.0
4,0,0,0,6,Sub,Chelsea,Bournemouth,0,3,2018-01-31,7362,2017,215431,0,0,0,0,0,0,0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,0.3,0.0,0.0,40.0,0.0,0.0,244.0,0.0,0.0,0.0,0.2,13606.0,2.0,0.0,2018-01-31T19:45:00Z,31 Jan 19:45,0.0,0.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,25.0,0.0,4381.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,-30.0,72.0,102.0,47.0,False,0.0,0.0
5,0,0,0,3,Sub,Bournemouth,Arsenal,2,1,2018-01-14,7339,2017,208135,0,0,0,0,0,0,0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.3,0.0,0.0,40.0,0.0,0.0,221.0,0.0,0.0,0.0,0.3,12405.0,2.4,0.0,2018-01-14T13:30:00Z,14 Jan 13:30,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,4436.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,-102.0,53.0,155.0,47.0,True,0.0,0.0
6,0,3,0.1301642209291458,61,ML,Brighton,Bournemouth,2,2,2018-01-01,7331,2017,206402,0,0,0,0,0.1301642209291458,0.3909343183040619,0.26077011227607727,0.0,28.0,0.0,0.0,0.0,-2.0,0.0,0.0,22.0,7.5,0.0,0.0,40.0,0.0,1.0,212.0,1.0,2.0,0.0,4.2,11753.0,1.2,0.0,2018-01-01T12:30:00Z,01 Jan 12:30,0.0,0.0,59.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,22.0,0.0,4518.0,3.0,0.0,1.0,2.0,2.0,33.0,1.0,-94.0,35.0,129.0,47.0,False,0.0,0.0
7,0,0,0,1,Sub,Bournemouth,West Ham,3,3,2017-12-26,7309,2017,205592,0,0,0,0,0,0,0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.3,0.0,0.0,40.0,0.0,0.0,191.0,0.0,1.0,0.0,0.3,10641.0,0.4,0.0,2017-12-26T15:00:00Z,26 Dec 15:00,0.0,0.0,4.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,4511.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,-9.0,98.0,107.0,47.0,True,0.0,0.0
8,0,0,0,79,Sub,Manchester City,Bournemouth,4,0,2017-12-23,7308,2017,203112,0.10924210399389267,0,2,0,0,0.04133763536810875,0,0.0,23.0,0.0,0.0,0.0,11.0,0.0,3.0,21.0,22.1,3.0,0.0,40.0,0.0,0.0,186.0,1.0,4.0,0.0,3.5,10056.0,10.4,2.0,2017-12-23T15:00:00Z,23 Dec 15:00,0.0,0.0,78.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,4.0,0.0,19.0,0.0,4439.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,-114.0,34.0,148.0,48.0,False,0.0,0.0
9,0,0,0,48,ML,Bournemouth,Liverpool,0,4,2017-12-17,7290,2017,203177,0,0,0,0,0,0,0,0.0,19.0,0.0,0.0,0.0,2.0,0.0,0.0,16.0,2.3,1.0,0.0,40.0,0.0,0.0,172.0,1.0,3.0,0.0,0.4,9476.0,0.0,0.0,2017-12-17T16:30:00Z,17 Dec 16:30,0.0,0.0,45.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,4537.0,1.0,0.0,0.0,4.0,0.0,2.0,1.0,-105.0,38.0,143.0,48.0,True,0.0,0.0
