,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,80,AMC,Manchester City,Norwich,5,0,2020-07-26,12017,2019,411373,0,0,0,0,0,0,0,0,0,4,0,0.9,285,377,2,0,1.3,11.8,2020-07-26T15:00:00Z,76,11,0,0,0,0,47,0,4983,0,5,0.0,2,-12,20,32,50,False,0
1,0,0,0,8,Sub,Chelsea,Norwich,1,0,2020-07-14,11995,2019,408498,0,0,0,0,0,0,0,0,0,3,0,2.5,285,353,0,0,0.3,0.2,2020-07-14T19:15:00Z,11,6,0,0,0,0,45,0,4992,0,1,0.0,1,-10,23,33,50,False,0
2,0,1,0.13771815598011017,72,AMC,Norwich,West Ham,0,4,2020-07-11,11988,2019,407331,0.11944374442100525,0,2,0,0.13771815598011017,0.33576709032058716,0.17261460423469543,0,0,5,0,23.2,285,346,3,0,5.2,8.8,2020-07-11T11:30:00Z,68,19,0,0,0,0,44,0,4989,4,0,20.0,1,9,33,24,50,True,1
3,0,0,0,78,AMC,Watford,Norwich,2,1,2020-07-07,11981,2019,406234,0,0,0,0,0,0.14950545132160187,0.14950545132160187,0,0,7,0,5.8,285,339,2,0,1.3,7.2,2020-07-07T17:00:00Z,75,18,0,0,0,0,43,0,4958,1,2,0.0,2,-11,17,28,50,False,0
4,0,0,0,13,Sub,Arsenal,Norwich,4,0,2020-07-01,11953,2019,404434,0,0,0,0,0,0,0,0,0,-1,0,0.0,285,311,1,0,0.0,0.0,2020-07-01T17:00:00Z,15,1,0,0,0,0,41,0,4968,0,4,2.0,0,-33,10,43,50,False,1
5,0,0,0,2,Sub,Norwich,Leicester,1,0,2020-02-28,11919,2019,387412,0,0,0,0,0,0.0782746970653534,0.0782746970653534,0,0,3,0,0.1,285,277,0,0,0.0,0.2,2020-02-28T20:00:00Z,3,9,0,0,0,0,28,0,4900,0,1,0.0,1,-14,26,40,51,True,0
6,0,0,0,4,Sub,Wolverhampton Wanderers,Norwich,3,0,2020-02-23,11912,2019,387343,0,0,0,0,0,0.02112419530749321,0.02112419530749321,0,0,0,0,1.2,285,270,0,0,0.2,0.4,2020-02-23T14:00:00Z,6,20,0,0,0,0,27,0,4886,0,3,0.0,1,-25,21,46,51,False,0
7,0,0,0,1,Sub,Tottenham,Norwich,2,1,2020-01-22,11880,2019,386498,0,0,0,0,0,0,0,0,0,2,0,0.0,285,240,0,0,0.0,0.0,2020-01-22T19:30:00Z,1,17,0,0,0,0,24,0,4945,1,2,0.0,1,-52,27,79,51,False,0
8,0,0,0,6,Sub,Norwich,Crystal Palace,1,1,2020-01-01,11850,2019,385642,0,0,0,0,0,0,0,0,0,-2,0,0.0,285,207,1,0,0.3,3.0,2020-01-01T17:30:00Z,7,7,0,0,0,0,21,0,5086,1,1,0.0,0,-47,53,100,51,True,1
9,0,1,0.0814853385090828,72,AMC,Norwich,Tottenham,2,2,2019-12-28,11839,2019,372788,0,0,0,0,0.0814853385090828,0.14636102318763733,0.06487569212913513,0,0,3,0,4.1,285,197,1,0,3.2,8.4,2019-12-28T17:30:00Z,69,17,0,0,0,0,20,0,5107,2,2,19.0,2,-66,22,88,51,True,0
10,0,1,0.0673447772860527,12,Sub,Aston Villa,Norwich,1,0,2019-12-26,11823,2019,372559,0,0,0,0,0.0673447772860527,0.1766081601381302,0.10926338285207748,0,0,3,0,0.3,285,181,0,0,1.9,0.2,2019-12-26T15:00:00Z,15,2,0,0,0,0,19,0,5152,0,1,18.0,1,-75,33,108,51,False,0
11,0,1,0.05935836210846901,1,Sub,Leicester,Norwich,1,1,2019-12-14,11807,2019,369820,0,0,0,0,0.05935836210846901,0.07279357314109802,0.07279357314109802,0,0,3,0,0.7,285,165,0,0,1.5,5.4,2019-12-14T15:00:00Z,4,9,0,0,0,0,17,0,5241,1,1,9.0,1,-138,22,160,52,False,0
12,0,1,0.029093312099575996,43,Sub,Southampton,Norwich,2,1,2019-12-04,11790,2019,367717,0.04642157629132271,0,1,0,0.029093312099575996,0.12988239526748657,0.054367512464523315,0,0,-1,0,14.8,285,150,0,0,1.7,0.8,2019-12-04T19:30:00Z,45,16,0,0,0,0,15,0,5461,1,2,1.0,1,-142,21,163,52,False,0
13,0,0,0,65,AMC,Norwich,Watford,0,2,2019-11-08,11757,2019,362811,0.016651442274451256,0,1,0,0,0.1072961837053299,0.09064473956823349,0,0,9,0,13.3,285,117,2,0,2.8,11.0,2019-11-08T20:00:00Z,61,18,0,0,0,0,12,0,6049,2,0,4.0,2,-129,148,277,53,True,0
14,0,1,0.04516752436757088,79,AMC,Brighton,Norwich,2,0,2019-11-02,11746,2019,361518,0.14942395687103271,0,2,0,0.04516752436757088,0.2593778073787689,0.19386011362075806,0,0,6,0,24.8,285,104,1,0,3.0,4.0,2019-11-02T15:00:00Z,74,4,0,0,0,0,11,0,6123,0,2,1.0,1,-373,81,454,53,False,1
15,0,0,0,41,Sub,Norwich,Manchester United,1,3,2019-10-27,11739,2019,360343,0.04928210377693176,0,1,0,0,0.04928210377693176,0,0,0,1,0,13.9,285,97,1,0,2.2,4.4,2019-10-27T16:30:00Z,45,12,0,0,0,0,10,0,6449,3,1,4.0,1,-421,48,469,53,True,0
16,0,4,0.4516019821166992,78,AMC,Norwich,Aston Villa,1,5,2019-10-05,11717,2019,356282,0.06801394373178482,0,1,0,0.4516019821166992,0.5196159482002258,0,0,0,10,0,11.6,285,77,4,0,11.2,11.0,2019-10-05T14:00:00Z,75,2,0,0,0,0,8,0,7262,5,1,89.0,2,-281,364,645,54,True,0
17,0,2,0.08173039555549622,69,AMC,Crystal Palace,Norwich,2,0,2019-09-28,11709,2019,354742,0.04929335042834282,0,1,0,0.08173039555549622,0.5638307332992554,0.43280699849128723,0,0,5,0,12.1,285,64,1,0,3.8,2.8,2019-09-28T14:00:00Z,65,7,0,0,0,0,7,0,7434,0,2,23.0,1,-386,461,847,54,False,1
18,0,0,0,77,AMC,Burnley,Norwich,2,0,2019-09-21,11696,2019,352263,0.03747951611876488,0,1,0,0,0.0887133926153183,0.05123387277126312,0,0,8,0,17.9,285,52,2,0,3.2,9.6,2019-09-21T14:00:00Z,74,5,0,0,0,0,6,0,7722,0,2,4.0,2,94,842,748,54,False,0
19,0,0,0,90,AMC,Norwich,Manchester City,3,2,2019-09-14,11689,2019,349268,0.26448145508766174,0,1,0,0,0.9648900032043457,0.7004085183143616,0,0,8,0,14.6,285,46,2,0,2.8,7.6,2019-09-14T16:30:00Z,88,11,0,0,0,0,5,0,7395,2,3,6.0,2,-902,308,1210,55,True,0
