,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,id_y,key_passes_y,kickoff_time_formatted,loaned_in,loaned_out,offside,open_play_crosses,penalties_conceded,recoveries,tackled,tackles,target_missed,winning_goals
0,0,0,0,90,GK,Cardiff,Fulham,4,2,2018-10-20,9282,2018,276409,0,0,0,0,0,0.01944003999233246,0.01944003999233246,0.0,0.0,12.0,0.0,0.0,178.0,83.0,4.0,0.0,1.6,16.0,2018-10-20T14:00:00Z,90.0,5.0,0.0,0.0,0.0,0.0,9.0,1.0,37422.0,2.0,4.0,0.0,0.0,1444.0,3666.0,2222.0,44.0,False,0.0,33.0,0.0,0.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,4454.0,0.0,20 Oct 15:00,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
1,0,0,0,90,GK,Fulham,Arsenal,1,5,2018-10-07,9274,2018,276176,0,0,0,0,0,0.017519820481538773,0.017519820481538773,0.0,0.0,13.0,0.0,0.0,178.0,74.0,5.0,0.0,2.1,21.0,2018-10-07T11:00:00Z,90.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,35530.0,5.0,1.0,0.0,0.0,1062.0,2850.0,1788.0,44.0,True,0.0,28.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,3912.0,0.0,07 Oct 12:00,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
2,0,0,0,90,GK,Everton,Fulham,3,0,2018-09-29,9262,2018,260441,0,0,0,0,0,0,0,0.0,0.0,14.0,0.0,0.0,178.0,65.0,3.0,0.0,2.0,20.4,2018-09-29T14:00:00Z,90.0,8.0,0.0,0.0,0.0,0.0,7.0,3.0,34456.0,0.0,3.0,0.0,2.0,3847.0,5803.0,1956.0,44.0,False,0.0,23.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,3373.0,0.0,29 Sep 15:00,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
3,0,0,0,90,GK,Fulham,Watford,1,1,2018-09-22,9247,2018,260180,0,0,0,0,0,0.04747706651687622,0.04747706651687622,0.0,0.0,19.0,0.0,0.0,178.0,56.0,1.0,0.0,3.9,39.4,2018-09-22T11:30:00Z,90.0,18.0,0.0,0.0,0.0,0.0,6.0,5.0,29818.0,1.0,1.0,0.0,3.0,7303.0,9964.0,2661.0,44.0,True,0.0,29.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,2835.0,0.0,22 Sep 12:30,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
4,0,0,0,90,GK,Manchester City,Fulham,3,0,2018-09-15,9239,2018,259892,0,0,0,0,0,0,0,0.0,0.0,19.0,0.0,0.0,178.0,45.0,3.0,0.0,4.7,47.2,2018-09-15T14:00:00Z,90.0,13.0,0.0,0.0,0.0,0.0,5.0,6.0,21240.0,0.0,3.0,0.0,3.0,6599.0,10594.0,3995.0,44.0,False,0.0,33.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,2298.0,0.0,15 Sep 15:00,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
5,0,0,0,90,GK,Brighton,Fulham,2,2,2018-09-01,9233,2018,259503,0,0,0,0,0,0.08028783649206161,0.08028783649206161,0.0,0.0,29.0,0.0,0.0,178.0,31.0,2.0,0.0,4.7,46.8,2018-09-01T14:00:00Z,90.0,3.0,0.0,0.0,1.0,0.0,4.0,3.0,11601.0,2.0,2.0,0.0,7.0,-534.0,471.0,1005.0,44.0,False,0.0,26.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,1761.0,0.0,01 Sep 15:00,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
6,0,0,0,90,GK,Fulham,Burnley,4,2,2018-08-25,9220,2018,259268,0,0,0,0,0,0.22423216700553894,0.22423216700553894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,2021-09-19,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,606.0,48.0,0.0,0.0,0.0,0.0,2021-09-19T15:30:00Z,0.0,17.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,2021-09-25,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,606.0,53.0,0.0,0.0,0.0,0.0,2021-09-25T11:30:00Z,0.0,12.0,0.0,0.0,0.0,0.0,6.0,0.0,638.0,1.0,0.0,0.0,0.0,414.0,529.0,115.0,40.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,2021-10-02,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,606.0,63.0,0.0,0.0,0.0,0.0,2021-10-02T14:00:00Z,0.0,16.0,0.0,0.0,0.0,0.0,7.0,0.0,924.0,1.0,3.0,0.0,0.0,106.0,333.0,227.0,40.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
