,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.06728562712669373,90,AML,Everton,Manchester United,1,2,2022-10-09,18297,2022,555255,0.3451049327850342,0,1,0,0.06728562712669373,0.6008014678955078,0.1884109079837799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,61,FW,Manchester City,Manchester United,6,3,2022-10-02,18289,2022,552941,0,0,0,0,0,0.03653750941157341,0.03653750941157341,0.0,,,,0.0,4.0,0.0,,,0.8,,,335.0,,,88.0,,4.0,0.0,0.3,,0.4,,2022-10-02T13:00:00Z,,,,58.0,,,13.0,0.0,,0.0,0.0,,0.0,9.0,0.0,1458264.0,,,,3.0,6.0,2.0,1.0,-198805.0,124030.0,322835.0,66.0,False,,0.0
2,2,2,0.8288836479187012,83,FW,Manchester United,Arsenal,3,1,2022-09-04,18261,2022,548099,0.30769482254981995,1,2,2,0.8288836479187012,1.1916073560714722,0.05502888187766075,1.0,,,,3.0,57.0,0.0,,,21.6,,,335.0,,,56.0,,1.0,2.0,13.3,,85.0,,2022-09-04T15:30:00Z,,,,79.0,,,1.0,0.0,,0.0,0.0,,0.0,6.0,0.0,791377.0,,,,1.0,3.0,26.0,18.0,164424.0,237780.0,73356.0,64.0,True,,0.0
3,0,2,0.1479310840368271,88,FW,Leicester,Manchester United,0,1,2022-09-01,18251,2022,546693,0.7237370014190674,1,2,0,0.1479310840368271,0.9174385070800781,0.04577045887708664,1.0,,,,0.0,16.0,1.0,,,30.7,,,335.0,,,46.0,,0.0,0.0,7.6,,19.0,,2022-09-01T19:00:00Z,,,,86.0,,,10.0,0.0,,0.0,0.0,,0.0,5.0,0.0,603348.0,,,,1.0,0.0,26.0,6.0,8964.0,94697.0,85733.0,63.0,False,,0.0
4,0,1,0.06696353852748871,90,FW,Southampton,Manchester United,0,1,2022-08-27,18232,2022,544178,0,0,0,0,0.06696353852748871,0.258329302072525,0.19136576354503632,0.0,,,,0.0,4.0,1.0,,,3.8,,,335.0,,,39.0,,0.0,0.0,2.6,,4.4,,2022-08-27T11:30:00Z,,,,90.0,,,17.0,0.0,,0.0,0.0,,0.0,4.0,0.0,580997.0,,,,1.0,0.0,18.0,3.0,95534.0,172188.0,76654.0,63.0,False,,0.0
5,1,5,0.8437929749488831,87,FW,Manchester United,Liverpool,2,1,2022-08-22,18231,2022,543826,0,0,0,1,0.8437929749488831,1.0852415561676025,0.2857723534107208,0.0,,,,3.0,28.0,0.0,,,0.8,,,335.0,,,27.0,,1.0,1.0,11.3,,36.0,,2022-08-22T19:00:00Z,,,,85.0,,,12.0,0.0,,0.0,0.0,,0.0,3.0,0.0,442943.0,,,,1.0,2.0,76.0,10.0,-457103.0,15447.0,472550.0,63.0,True,,0.0
6,0,2,0.09087786078453064,90,AML,Brentford,Manchester United,4,0,2022-08-13,18218,2022,540818,0.13341987133026123,0,2,0,0.09087786078453064,0.30511900782585144,0.08082129061222076,0.0,,,,0.0,8.0,0.0,,,27.6,,,335.0,,,13.0,,4.0,0.0,7.7,,19.4,,2022-08-13T16:30:00Z,,,,90.0,,,4.0,0.0,,0.0,0.0,,0.0,2.0,0.0,892599.0,,,,0.0,4.0,30.0,1.0,-127126.0,42301.0,169427.0,65.0,False,,1.0
7,0,3,0.3988193869590759,90,FWL,Manchester United,Brighton,1,2,2022-08-07,18209,2022,539802,0.018669476732611656,0,1,0,0.3988193869590759,0.541305422782898,0.14248602092266083,0.0,,,,0.0,-1.0,0.0,,,13.0,,,335.0,,,9.0,,2.0,0.0,5.0,,1.8,,2022-08-07T13:00:00Z,,,,90.0,,,5.0,0.0,,0.0,0.0,,0.0,1.0,0.0,964460.0,,,,2.0,1.0,35.0,2.0,0.0,0.0,0.0,65.0,True,,0.0
8,0,0,0,79,AML,Manchester United,Chelsea,1,1,2022-04-28,16742,2021,529996,0,0,0,0,0,0.012683862820267677,0.012683862820267677,0.0,,,,0.0,3.0,0.0,,,1.7,,,281.0,,,364.0,,1.0,0.0,0.2,,0.0,,2022-04-28T18:45:00Z,,,,78.0,,,6.0,0.0,,0.0,0.0,,0.0,34.0,0.0,57411.0,,,,1.0,1.0,2.0,2.0,-1589.0,1211.0,2800.0,94.0,True,,0.0
9,0,0,0,8,Sub,Arsenal,Manchester United,3,1,2022-04-23,16715,2021,528396,0,0,0,0,0,0,0,0.0,,,,0.0,3.0,0.0,,,0.8,,,281.0,,,331.0,,0.0,0.0,0.1,,0.0,,2022-04-23T11:30:00Z,,,,13.0,,,1.0,0.0,,0.0,0.0,,0.0,34.0,0.0,57411.0,,,,1.0,3.0,0.0,1.0,-1589.0,1211.0,2800.0,94.0,False,,0.0
10,0,0,0,90,FW,Liverpool,Manchester United,4,0,2022-04-19,16669,2021,527549,0,0,0,0,0,0,0,0.0,,,,0.0,2.0,0.0,,,0.8,,,281.0,,,294.0,,4.0,0.0,0.6,,1.2,,2022-04-19T19:00:00Z,,,,90.0,,,11.0,0.0,,0.0,0.0,,0.0,33.0,0.0,59323.0,,,,0.0,4.0,4.0,2.0,1463.0,3099.0,1636.0,94.0,False,,0.0
11,0,0,0,13,Sub,Manchester United,Norwich,3,2,2022-04-16,16702,2021,526381,0,0,0,0,0,0,0,0.0,,,,0.0,0.0,0.0,,,4.4,,,281.0,,,324.0,,0.0,0.0,1.2,,0.0,,2022-04-16T14:00:00Z,,,,16.0,,,15.0,0.0,,0.0,0.0,,0.0,33.0,0.0,59323.0,,,,2.0,3.0,8.0,1.0,1463.0,3099.0,1636.0,94.0,True,,0.0
12,0,3,0.19792266190052032,65,AML,Everton,Manchester United,1,0,2022-04-09,16692,2021,524356,0,0,0,0,0.19792266190052032,0.1195201426744461,0,0.0,,,,0.0,-2.0,0.0,,,7.9,,,281.0,,,314.0,,1.0,0.0,6.4,,8.0,,2022-04-09T11:30:00Z,,,,63.0,,,8.0,0.0,,0.0,0.0,,0.0,32.0,0.0,56749.0,,,,0.0,1.0,48.0,2.0,-611.0,778.0,1389.0,94.0,False,,0.0
13,0,0,0,32,Sub,Manchester United,Leicester,1,1,2022-04-02,16679,2021,523025,0,0,0,0,0,0.00994123425334692,0.00994123425334692,0.0,,,,0.0,0.0,0.0,,,2.5,,,281.0,,,307.0,,1.0,0.0,0.7,,0.4,,2022-04-02T16:30:00Z,,,,35.0,,,9.0,0.0,,0.0,0.0,,0.0,31.0,0.0,57033.0,,,,1.0,1.0,4.0,1.0,-2011.0,330.0,2341.0,94.0,True,,0.0
14,0,0,0,70,AMR,Manchester United,Tottenham,3,2,2022-03-12,16663,2021,519510,0,0,0,0,0,0.14836344122886658,0.14836344122886658,0.0,,,,0.0,7.0,0.0,,,1.5,,,281.0,,,288.0,,1.0,0.0,0.7,,5.2,,2022-03-12T17:30:00Z,,,,67.0,,,17.0,0.0,,0.0,0.0,,0.0,29.0,0.0,60238.0,,,,2.0,3.0,0.0,2.0,-7881.0,435.0,8316.0,94.0,True,,0.0
15,0,0,0,23,Sub,Manchester City,Manchester United,4,1,2022-03-06,16650,2021,518470,0,0,0,0,0,0,0,0.0,,,,0.0,3.0,0.0,,,0.3,,,281.0,,,275.0,,2.0,0.0,0.5,,1.0,,2022-03-06T16:30:00Z,,,,26.0,,,12.0,0.0,,0.0,0.0,,0.0,28.0,0.0,66239.0,,,,1.0,4.0,4.0,1.0,-19827.0,352.0,20179.0,94.0,False,,0.0
16,0,0,0,15,Sub,Manchester United,Watford,0,0,2022-02-26,16643,2021,516059,0,0,0,0,0,0.01673327572643757,0.01673327572643757,0.0,,,,0.0,2.0,0.0,,,1.8,,,281.0,,,268.0,,0.0,0.0,0.8,,0.0,,2022-02-26T15:00:00Z,,,,16.0,,,18.0,0.0,,0.0,0.0,,0.0,27.0,0.0,85614.0,,,,0.0,0.0,6.0,1.0,-11736.0,2234.0,13970.0,94.0,True,,0.0
17,0,0,0,10,Sub,Manchester United,Brighton,2,0,2022-02-15,16549,2021,513769,0.0706847533583641,0,1,0,0,0.0706847533583641,0,0.0,,,,0.0,4.0,0.0,,,11.4,,,281.0,,,174.0,,0.0,0.0,1.4,,2.6,,2022-02-15T20:15:00Z,,,,11.0,,,4.0,0.0,,0.0,0.0,,0.0,25.0,0.0,136802.0,,,,0.0,2.0,0.0,1.0,20064.0,33642.0,13578.0,94.0,True,,0.0
18,0,1,0.04378438740968704,84,AMR,Manchester United,Southampton,1,1,2022-02-12,16621,2021,512410,0.902725338935852,1,1,0,0.04378438740968704,0.9465097188949585,0,1.0,,,,0.0,10.0,0.0,,,13.2,,,281.0,,,246.0,,1.0,0.0,3.5,,13.4,,2022-02-12T12:30:00Z,,,,81.0,,,16.0,0.0,,0.0,0.0,,0.0,25.0,0.0,136802.0,,,,1.0,1.0,8.0,4.0,20064.0,33642.0,13578.0,94.0,True,,1.0
19,0,3,0.15225772559642792,87,AMR,Burnley,Manchester United,1,1,2022-02-08,16608,2021,512136,0.13864243030548096,0,1,0,0.15225772559642792,0.5282806158065796,0.23738045990467072,0.0,,,,0.0,0.0,0.0,,,12.8,,,281.0,,,233.0,,1.0,0.0,9.1,,7.8,,2022-02-08T20:00:00Z,,,,84.0,,,5.0,0.0,,0.0,0.0,,0.0,24.0,0.0,115776.0,,,,1.0,1.0,70.0,2.0,34076.0,44318.0,10242.0,94.0,False,,0.0
20,1,2,1.0300041437149048,28,Sub,Manchester United,West Ham,1,0,2022-01-22,16603,2021,509740,0,0,0,1,1.0300041437149048,1.1450862884521484,0.11508221179246902,0.0,,,,0.0,22.0,0.0,,,1.4,,,281.0,,,228.0,,0.0,1.0,7.2,,31.4,,2022-01-22T15:00:00Z,,,,28.0,,,19.0,0.0,,0.0,0.0,,0.0,23.0,0.0,77278.0,,,,0.0,1.0,39.0,6.0,-12418.0,4296.0,16714.0,94.0,True,,0.0
21,1,1,0.0928025171160698,17,Sub,Brentford,Manchester United,1,3,2022-01-19,16537,2021,509211,0,0,0,1,0.0928025171160698,0.0928025171160698,0,0.0,,,,0.0,21.0,0.0,,,0.3,,,281.0,,,162.0,,1.0,1.0,5.3,,34.0,,2022-01-19T20:00:00Z,,,,19.0,,,3.0,0.0,,0.0,0.0,,0.0,22.0,0.0,107360.0,,,,3.0,1.0,19.0,6.0,20239.0,33320.0,13081.0,94.0,False,,0.0
22,0,0,0,14,Sub,Manchester United,Wolverhampton Wanderers,0,1,2022-01-03,16583,2021,505889,0,0,0,0,0,0,0,0.0,,,,0.0,6.0,0.0,,,0.3,,,281.0,,,208.0,,1.0,0.0,0.6,,4.0,,2022-01-03T17:30:00Z,,,,15.0,,,20.0,0.0,,0.0,0.0,,0.0,21.0,0.0,65938.0,,,,1.0,0.0,2.0,1.0,-11992.0,3070.0,15062.0,94.0,True,,0.0
23,0,2,0.11258921772241592,90,AMC,Newcastle United,Manchester United,1,1,2021-12-27,16561,2021,505224,0,0,0,0,0.11258921772241592,0.6711801290512085,0.6711801290512085,0.0,,,,0.0,16.0,0.0,,,3.3,,,281.0,,,186.0,,1.0,0.0,4.8,,14.0,,2021-12-27T20:00:00Z,,,,90.0,,,14.0,0.0,,0.0,0.0,,0.0,19.0,0.0,111643.0,,,,1.0,1.0,31.0,2.0,23418.0,28045.0,4627.0,94.0,False,,0.0
24,0,3,0.11278282105922699,90,FW,Norwich,Manchester United,0,1,2021-12-11,16535,2021,501874,0.6598361730575562,0,1,0,0.11278282105922699,0.7622424364089966,0.08760043233633041,0.0,,,,0.0,8.0,1.0,,,13.3,,,281.0,,,160.0,,0.0,0.0,4.1,,3.0,,2021-12-11T17:30:00Z,,,,90.0,,,15.0,0.0,,0.0,0.0,,0.0,16.0,0.0,100516.0,,,,1.0,0.0,25.0,3.0,26870.0,35537.0,8667.0,94.0,False,,0.0
