,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,id_y,key_passes_y,kickoff_time_formatted,loaned_in,loaned_out,offside,open_play_crosses,penalties_conceded,recoveries,tackled,tackles,target_missed,winning_goals
0,0,0,0,90,GK,Liverpool,Bournemouth,9,0,2022-08-27,18236,2022,544474,0,0,0,0,0,0.0473405122756958,0.0473405122756958,0,0,17,0,0.0,72,36,9,0,3.2,31.8,2022-08-27T14:00:00Z,90,12,0,0,0,0,4,4,51477,0,9,0.0,-1,-3382,1217,4599,45,False,0,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,90,GK,Bournemouth,Arsenal,0,3,2022-08-20,18227,2022,542548,0,0,0,0,0,0,0,0,0,13,0,0.0,72,21,3,0,2.6,26.4,2022-08-20T16:30:00Z,90,1,0,0,0,0,3,3,52800,3,0,0.0,2,-6029,2600,8629,45,True,0,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,90,GK,Manchester City,Bournemouth,4,0,2022-08-13,18214,2022,540570,0,0,0,0,0,0.02674887701869011,0.02674887701869011,0,0,20,0,0.0,72,17,4,0,3.1,30.6,2022-08-13T14:00:00Z,90,13,0,0,0,0,2,4,57378,0,4,0.0,1,10558,15701,5143,45,False,0,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,90,GK,Bournemouth,Aston Villa,2,0,2022-08-06,18204,2022,539396,0,0,0,0,0,0.2622811496257782,0.2622811496257782,0,0,24,1,0.0,72,2,0,0,1.5,14.6,2022-08-06T14:00:00Z,90,2,0,0,0,0,1,2,24837,0,2,0.0,6,0,0,0,45,True,0,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,90,GK,Bournemouth,Watford,0,3,2020-01-12,11857,2019,385954,0,0,0,0,0,0.019804751500487328,0.019804751500487328,0,0,9,0,0.0,74,212,3,0,1.5,15.2,2020-01-12T14:00:00Z,90,18,0,0,0,0,22,2,11046,3,0,0.0,1,-148,35,183,43,True,0,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,90,GK,Crystal Palace,Bournemouth,5,3,2019-05-12,9574,2018,332271,0,0,0,0,0,0.3409213125705719,0.3409213125705719,0,0,15,0,0.0,616,373,5,0,3.6,35.8,2019-05-12T14:00:00Z,90,7,0,0,0,0,38,4,23159,3,5,0.0,1,17431,18646,1215,40,False,0,20.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,21783.0,0.0,12 May 15:00,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
6,0,0,0,90,GK,Bournemouth,Tottenham,1,0,2019-05-04,9565,2018,330039,0,0,0,0,0,0.6267191171646118,0.6267191171646118,0,1,31,1,0.0,616,362,0,0,3.2,32.4,2019-05-04T11:30:00Z,90,17,0,0,0,0,37,5,0,0,1,0.0,8,0,0,0,40,True,0,23.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,21167.0,0.0,04 May 12:30,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
7,,,,,,,,,,2019-08-10,,,,,,,,,,,0,0,0,0,0.0,74,2,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,15,0,0,0,0,1,0,16650,1,1,0.0,0,0,0,0,45,True,0,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,2019-08-17,,,,,,,,,,,0,0,0,0,0.0,74,12,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,2,0,0,0,0,2,0,15330,2,1,0.0,0,-2454,146,2600,45,False,0,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,2019-08-25,,,,,,,,,,,0,0,0,0,0.0,74,22,0,0,0.0,0.0,2019-08-25T13:00:00Z,0,11,0,0,0,0,3,0,14497,3,1,0.0,0,-1286,269,1555,44,True,0,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,2019-08-31,,,,,,,,,,,0,0,0,0,0.0,74,36,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,9,0,0,0,0,4,0,13898,1,3,0.0,0,-960,365,1325,44,False,0,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,2019-09-15,,,,,,,,,,,0,0,0,0,0.0,74,42,0,0,0.0,0.0,2019-09-15T13:00:00Z,0,8,0,0,0,0,5,0,13629,1,3,0.0,0,-644,391,1035,44,True,0,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,2019-09-20,,,,,,,,,,,0,0,0,0,0.0,74,59,0,0,0.0,0.0,2019-09-20T19:00:00Z,0,16,0,0,0,0,6,0,13294,3,1,0.0,0,-469,175,644,44,False,0,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,2019-09-28,,,,,,,,,,,0,0,0,0,0.0,74,62,0,0,0.0,0.0,2019-09-28T14:00:00Z,0,19,0,0,0,0,7,0,12949,2,2,0.0,0,-485,148,633,44,True,0,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,2019-10-06,,,,,,,,,,,0,0,0,0,0.0,74,71,0,0,0.0,0.0,2019-10-06T13:00:00Z,0,1,0,0,0,0,8,0,12668,0,1,0.0,0,-374,84,458,44,False,0,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,2019-10-19,,,,,,,,,,,0,0,0,0,0.0,74,82,0,0,0.0,0.0,2019-10-19T14:00:00Z,0,14,0,0,0,0,9,0,12460,0,0,0.0,0,-317,163,480,43,True,0,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,2019-10-26,,,,,,,,,,,0,0,0,0,0.0,74,99,0,0,0.0,0.0,2019-10-26T14:00:00Z,0,18,0,0,0,0,10,0,12409,0,0,0.0,0,-109,148,257,43,False,0,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,2019-11-02,,,,,,,,,,,0,0,0,0,0.0,74,103,0,0,0.0,0.0,2019-11-02T12:30:00Z,0,12,0,0,0,0,11,0,12337,0,1,0.0,0,-147,185,332,43,True,0,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,2019-11-09,,,,,,,,,,,0,0,0,0,0.0,74,116,0,0,0.0,0.0,2019-11-09T15:00:00Z,0,13,0,0,0,0,12,0,12104,1,2,0.0,0,-261,113,374,43,False,0,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,2019-11-23,,,,,,,,,,,0,0,0,0,0.0,74,123,0,0,0.0,0.0,2019-11-23T15:00:00Z,0,20,0,0,0,0,13,0,11956,2,1,0.0,0,-236,161,397,43,True,0,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,2019-11-30,,,,,,,,,,,0,0,0,0,0.0,74,139,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,17,0,0,0,0,14,0,11810,2,3,0.0,0,-179,47,226,43,False,0,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,2019-12-03,,,,,,,,,,,0,0,0,0,0.0,74,148,0,0,0.0,0.0,2019-12-03T19:30:00Z,0,7,0,0,0,0,15,0,11695,0,1,0.0,0,-150,20,170,43,False,0,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,2019-12-07,,,,,,,,,,,0,0,0,0,0.0,74,152,0,0,0.0,0.0,2019-12-07T15:00:00Z,0,10,0,0,0,0,16,0,11596,3,0,0.0,0,-127,14,141,43,True,0,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,2019-12-14,,,,,,,,,,,0,0,0,0,0.0,74,163,0,0,0.0,0.0,2019-12-14T15:00:00Z,0,6,0,0,0,0,17,0,11444,1,0,0.0,0,-191,21,212,43,False,0,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,2019-12-21,,,,,,,,,,,0,0,0,0,0.0,74,172,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,5,0,0,0,0,18,0,11353,1,0,0.0,0,-117,27,144,43,True,0,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,2019-12-26,,,,,,,,,,,0,0,0,0,0.0,74,182,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,1,0,0,0,0,19,0,11289,1,1,0.0,0,-120,15,135,43,True,0,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,2019-12-28,,,,,,,,,,,0,0,0,0,0.0,74,192,0,0,0.0,0.0,2019-12-28T12:30:00Z,0,4,0,0,0,0,20,0,11249,0,2,0.0,0,-75,29,104,43,False,0,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,2020-01-01,,,,,,,,,,,0,0,0,0,0.0,74,210,0,0,0.0,0.0,2020-01-01T17:30:00Z,0,19,0,0,0,0,21,0,11151,0,4,0.0,0,-117,31,148,43,False,0,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,2020-01-18,,,,,,,,,,,0,0,0,0,0.0,74,227,0,0,0.0,0.0,2020-01-18T15:00:00Z,0,14,0,0,0,0,23,0,12215,0,1,0.0,0,1031,1429,398,42,False,0,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,2020-01-21,,,,,,,,,,,0,0,0,0,0.0,74,232,0,0,0.0,0.0,2020-01-21T19:30:00Z,0,4,0,0,0,0,24,0,12199,1,3,0.0,0,-96,341,437,42,True,0,,,,,,,,,,,,,,,,,,,,,,,
