,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.02027600072324276,17,Sub,Southampton,Hull,0,0,2017-04-29,3484,2016,134481,0.09907216578722,0,1,0,0.02027600072324276,0.11934816837310791,0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,12.6,0.0,0.0,573.0,0.0,0.0,345.0,0.0,0.0,0.0,2.9,21166.0,4.0,1.0,2017-04-29T14:00:00Z,29 Apr 15:00,0.0,0.0,19.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,327.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,-4.0,0.0,4.0,49.0,False,0.0,0.0
1,0,0,0,31,Sub,Manchester City,Hull,3,1,2017-04-08,3457,2016,133381,0,0,0,0,0,0.015765169635415077,0.015765169635415077,0.0,13.0,0.0,0.0,0.0,1.0,0.0,2.0,12.0,1.9,0.0,0.0,573.0,0.0,0.0,314.0,1.0,1.0,0.0,0.4,19101.0,1.8,0.0,2017-04-08T14:00:00Z,08 Apr 15:00,0.0,0.0,33.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,32.0,0.0,319.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,4.0,8.0,4.0,49.0,False,0.0,0.0
2,0,0,0,1,Sub,Hull,Middlesbrough,4,2,2017-04-05,3442,2016,133530,0,0,0,0,0,0,0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,573.0,0.0,0.0,303.0,0.0,0.0,0.0,0.0,18440.0,0.4,0.0,2017-04-05T18:45:00Z,05 Apr 19:45,0.0,0.0,3.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,311.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,2.0,6.0,4.0,49.0,True,0.0,0.0
3,0,1,0.04315664991736412,7,Sub,Hull,West Ham,2,1,2017-04-01,3433,2016,132602,0,0,0,0,0.04315664991736412,0.04315664991736412,0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.6,0.0,0.0,573.0,0.0,0.0,294.0,1.0,0.0,0.0,0.8,17783.0,0.0,0.0,2017-04-01T14:00:00Z,01 Apr 15:00,0.0,0.0,11.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,0.0,308.0,0.0,1.0,1.0,1.0,2.0,8.0,1.0,0.0,5.0,5.0,49.0,True,0.0,0.0
4,0,0,0,4,Sub,West Bromwich Albion,Hull,3,1,2017-01-02,3333,2016,129996,0,0,0,0,0,0.07969522476196289,0.07969522476196289,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.2,0.0,0.0,573.0,0.0,0.0,199.0,0.0,0.0,0.0,0.0,11801.0,0.0,0.0,2017-01-02T15:00:00Z,02 Jan 15:00,0.0,0.0,7.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,393.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,-7.0,10.0,17.0,50.0,False,0.0,0.0
5,0,0,0,14,Sub,Hull,Manchester City,0,3,2016-12-26,3152,2016,129290,0,0,0,0,0,0,0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,0.6,1.0,0.0,573.0,0.0,0.0,174.0,1.0,2.0,0.0,0.5,10561.0,4.6,0.0,2016-12-26T17:15:00Z,26 Dec 17:15,0.0,0.0,17.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,392.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,-21.0,12.0,33.0,50.0,True,0.0,0.0
6,0,0,0,18,Sub,West Ham,Hull,1,0,2016-12-17,3137,2016,128974,0,0,0,0,0,0,0,0.0,5.0,0.0,0.0,0.0,-1.0,0.0,1.0,2.0,0.2,0.0,0.0,573.0,0.0,0.0,170.0,1.0,1.0,0.0,0.4,9945.0,2.2,0.0,2016-12-17T15:00:00Z,17 Dec 15:00,0.0,0.0,22.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,404.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,-16.0,9.0,25.0,50.0,False,0.0,1.0
7,0,0,0,1,Sub,Hull,Crystal Palace,3,3,2016-12-10,3116,2016,129818,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,573.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,8721.0,0.0,0.0,2016-12-10T15:00:00Z,10 Dec 15:00,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,432.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,4.0,36.0,32.0,51.0,True,0.0,0.0
8,0,0,0,82,AMC,Middlesbrough,Hull,1,0,2016-12-06,3114,2016,128667,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,90,AMC,Hull,West Bromwich Albion,1,1,2016-11-26,2708,2016,129260,0.07866153866052628,0,1,0,0,0.07866153866052628,0,0.0,27.0,0.0,0.0,0.0,9.0,0.0,2.0,22.0,18.1,0.0,0.0,573.0,0.0,0.0,124.0,2.0,1.0,0.0,3.2,7512.0,8.0,1.0,2016-11-26T15:00:00Z,26 Nov 15:00,0.0,0.0,87.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,4.0,0.0,13.0,0.0,418.0,1.0,1.0,0.0,1.0,1.0,6.0,2.0,10.0,26.0,16.0,51.0,True,0.0,0.0
