,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.008446097373962402,25,Sub,Union Berlin,Fortuna Duesseldorf,3,0,2020-06-27,12708,2019,403212,0,0,0,0,0.008446097373962402,0.02771272137761116,0.019266624003648758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,7,Sub,Fortuna Duesseldorf,Augsburg,1,1,2020-06-20,12694,2019,401064,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,90,DL,RasenBallsport Leipzig,Fortuna Duesseldorf,2,2,2020-06-17,12683,2019,400461,0.03984345868229866,0,1,0,0,0.10298113524913788,0.10298113524913788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,76,DML,Fortuna Duesseldorf,Borussia Dortmund,0,1,2020-06-13,12676,2019,399616,0,0,0,0,0,0.039448659867048264,0.039448659867048264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,2,0.07134661823511124,90,DC,Fortuna Duesseldorf,Hoffenheim,2,2,2020-06-06,12669,2019,399273,0.18672668933868408,0,4,0,0.07134661823511124,0.9680597186088562,0.830053985118866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,24,Sub,Bayern Munich,Fortuna Duesseldorf,5,0,2020-05-30,12655,2019,399019,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,2,0.0495392344892025,70,DC,Fortuna Duesseldorf,Schalke 04,2,1,2020-05-27,12649,2019,398750,0,0,0,0,0.0495392344892025,0.034349411725997925,0.024283764883875847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,61,ML,Fortuna Duesseldorf,Paderborn,0,0,2020-05-16,12633,2019,398145,0.1076541319489479,0,2,0,0,0.16752782464027405,0.1447235643863678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,4,0.18304133415222168,73,DL,Mainz 05,Fortuna Duesseldorf,1,1,2020-03-08,12624,2019,397427,0,0,0,0,0.18304133415222168,0.23850254714488983,0.07559448480606079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,1,0.024115826934576035,90,DC,Fortuna Duesseldorf,Hertha Berlin,3,3,2020-02-28,12614,2019,395444,0,0,0,0,0.024115826934576035,0.9257664680480957,0.901650607585907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
