,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,1,Sub,Cardiff,Manchester United,1,5,2018-12-22,9374,2018,278970,0,0,0,0,0,0,0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.2,0.0,0.0,298.0,0.0,0.0,173.0,0.0,0.0,0.0,0.0,9558.0,0.0,0.0,2018-12-22T17:30:00Z,22 Dec 17:30,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,36995.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,-1075.0,774.0,1849.0,49.0,False,0.0,0.0
1,0,1,0.03634223714470863,42,Sub,Liverpool,Manchester United,3,1,2018-12-16,9362,2018,278722,0,0,0,0,0.03634223714470863,0,0,0.0,22.0,0.0,0.0,0.0,3.0,0.0,4.0,7.0,1.0,1.0,0.0,298.0,0.0,0.0,165.0,2.0,2.0,0.0,2.9,8996.0,19.8,0.0,2018-12-16T16:00:00Z,16 Dec 16:00,0.0,0.0,45.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,17.0,0.0,37814.0,0.0,0.0,1.0,1.0,3.0,8.0,1.0,-1809.0,708.0,2517.0,49.0,False,0.0,0.0
2,0,1,0.03242810443043709,15,Sub,Manchester United,Arsenal,2,2,2018-12-05,9344,2018,278124,0,0,0,0,0.03242810443043709,0.03242810443043709,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.3,0.0,0.0,298.0,0.0,0.0,145.0,2.0,0.0,0.0,1.7,7879.0,0.0,0.0,2018-12-05T20:00:00Z,05 Dec 20:00,0.0,0.0,18.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,0.0,39290.0,0.0,0.0,0.0,2.0,2.0,18.0,1.0,876.0,2427.0,1551.0,49.0,True,0.0,0.0
3,0,1,0.03377366438508034,90,MC,Southampton,Manchester United,2,2,2018-12-01,9327,2018,277826,0,0,0,0,0.03377366438508034,0.34333616495132446,0.34333616495132446,0.0,49.0,0.0,0.0,0.0,6.0,0.0,2.0,42.0,2.2,0.0,0.0,298.0,0.0,0.0,140.0,2.0,2.0,0.0,1.2,7323.0,5.4,0.0,2018-12-01T17:30:00Z,01 Dec 17:30,0.0,0.0,90.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,0.0,38209.0,3.0,2.0,1.0,2.0,2.0,4.0,1.0,1202.0,2233.0,1031.0,49.0,False,0.0,1.0
4,0,0,0,29,Sub,Manchester United,Crystal Palace,0,0,2018-11-24,9319,2018,277432,0,0,0,0,0,0,0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,1.0,7.0,1.5,0.0,0.0,298.0,0.0,0.0,126.0,1.0,0.0,0.0,0.9,6770.0,5.6,0.0,2018-11-24T15:00:00Z,24 Nov 15:00,0.0,0.0,30.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,0.0,36820.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,826.0,2149.0,1323.0,49.0,True,0.0,0.0
5,0,0,0,90,MC,Manchester City,Manchester United,3,1,2018-11-11,9315,2018,277329,0,0,0,0,0,0,0,0.0,48.0,0.0,0.0,0.0,16.0,0.0,8.0,39.0,2.5,0.0,0.0,298.0,0.0,0.0,118.0,2.0,3.0,0.0,2.8,6218.0,21.8,0.0,2018-11-11T16:30:00Z,11 Nov 16:30,0.0,0.0,90.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,3.0,0.0,12.0,0.0,35442.0,1.0,2.0,0.0,1.0,3.0,4.0,2.0,-1977.0,871.0,2848.0,49.0,False,0.0,0.0
6,0,1,0.06465602666139603,42,Sub,Manchester United,Newcastle United,3,2,2018-10-06,9273,2018,276159,0.021916385740041733,0,1,0,0.06465602666139603,0.06465602666139603,0,0.0,18.0,0.0,0.0,0.0,5.0,0.0,0.0,17.0,12.7,0.0,0.0,298.0,0.0,0.0,77.0,0.0,0.0,0.0,4.2,4032.0,6.2,1.0,2018-10-06T16:30:00Z,06 Oct 17:30,0.0,0.0,45.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,61636.0,0.0,0.0,0.0,2.0,3.0,23.0,1.0,2039.0,7258.0,5219.0,50.0,True,0.0,0.0
7,0,1,0.4530995190143585,90,MC,West Ham,Manchester United,3,1,2018-09-29,9257,2018,260558,0,0,0,0,0.4530995190143585,0.475278377532959,0.022178851068019867,0.0,34.0,0.0,1.0,0.0,9.0,0.0,5.0,28.0,2.6,0.0,0.0,298.0,0.0,0.0,69.0,1.0,3.0,0.0,4.2,3493.0,16.8,0.0,2018-09-29T11:30:00Z,29 Sep 12:30,0.0,0.0,90.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,58421.0,2.0,1.0,0.0,1.0,3.0,23.0,2.0,1939.0,7204.0,5265.0,50.0,False,0.0,0.0
8,0,2,0.11359536647796631,90,MC,Manchester United,Wolverhampton Wanderers,1,1,2018-09-22,9248,2018,260268,0,0,0,0,0.11359536647796631,0.18950258195400238,0.07590721547603607,0.0,77.0,0.0,0.0,0.0,14.0,0.0,6.0,67.0,4.4,0.0,0.0,298.0,0.0,0.0,59.0,2.0,1.0,0.0,8.0,2955.0,22.2,0.0,2018-09-22T14:00:00Z,22 Sep 15:00,0.0,0.0,90.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,9.0,0.0,6.0,0.0,56143.0,1.0,1.0,0.0,1.0,1.0,53.0,2.0,17918.0,22914.0,4996.0,50.0,True,0.0,0.0
9,0,0,0,90,MC,Watford,Manchester United,1,2,2018-09-15,9243,2018,260007,0.1318822056055069,1,1,0,0,0.5557354688644409,0.5557354688644409,1.0,65.0,0.0,0.0,0.0,24.0,0.0,6.0,53.0,12.4,0.0,0.0,298.0,0.0,1.0,49.0,1.0,1.0,0.0,5.6,2418.0,40.0,1.0,2018-09-15T16:30:00Z,15 Sep 17:30,0.0,0.0,90.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,0.0,35151.0,2.0,1.0,0.0,2.0,1.0,4.0,5.0,-2573.0,3694.0,6267.0,50.0,False,0.0,0.0
