,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,id_y,key_passes_y,kickoff_time_formatted,loaned_in,loaned_out,offside,open_play_crosses,penalties_conceded,recoveries,tackled,tackles,target_missed,winning_goals
0,0,0,0,21,Sub,Chelsea,Wolverhampton Wanderers,3,0,2022-10-08,18295,2022,554161,0.13877734541893005,1,1,0,0,0.13877734541893005,0.13877734541893005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,90,DMC,Crystal Palace,Chelsea,1,2,2022-10-01,18284,2022,552290,0,0,0,0,0,0.3608669340610504,0.3608669340610504,0.0,0.0,2.0,0.0,6.4,132.0,83.0,1.0,0.0,1.3,2.2,2022-10-01T14:00:00Z,90.0,7.0,0.0,0.0,0.0,0.0,9.0,0.0,36482.0,2.0,1.0,4.0,1.0,870.0,3308.0,2438.0,49.0,False,1.0,,,,,,,,,,,,,,,,,,,,,,,
2,0,1,0.018235672265291214,74,MC,Chelsea,West Ham,2,1,2022-09-03,18260,2022,547251,0.09613066911697388,0,1,0,0.018235672265291214,0.12733599543571472,0.031205330044031143,0.0,0.0,13.0,0.0,15.4,132.0,54.0,1.0,0.0,2.2,5.4,2022-09-03T14:00:00Z,71.0,19.0,0.0,0.0,0.0,0.0,6.0,0.0,34266.0,1.0,2.0,1.0,2.0,1797.0,5772.0,3975.0,49.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
3,0,1,0.024464936926960945,42,Sub,Southampton,Chelsea,2,1,2022-08-30,18244,2022,545973,0.011474103666841984,0,1,0,0.024464936926960945,0.09347250312566757,0.09347250312566757,0.0,0.0,16.0,0.0,13.0,132.0,50.0,0.0,0.0,3.7,16.2,2022-08-30T18:45:00Z,45.0,17.0,0.0,0.0,0.0,0.0,5.0,0.0,30232.0,1.0,2.0,8.0,1.0,1768.0,4839.0,3071.0,49.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,12,Sub,Chelsea,Leicester,2,1,2022-08-27,18235,2022,544501,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.5,132.0,35.0,0.0,0.0,0.3,2.4,2022-08-27T14:00:00Z,15.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,26435.0,1.0,2.0,0.0,1.0,-7127.0,1017.0,8144.0,49.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,29,MC,Leeds,Chelsea,0,3,2022-05-11,16703,2021,534762,0,0,0,0,0,0.11781677603721619,0.11781677603721619,0.0,0.0,0.0,0.0,1.6,125.0,323.0,0.0,0.0,0.5,0.0,2022-05-11T18:30:00Z,29.0,10.0,0.0,0.0,0.0,0.0,36.0,0.0,165869.0,3.0,0.0,4.0,1.0,4516.0,6316.0,1800.0,49.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
6,0,1,0.10677409917116165,90,MC,Chelsea,Wolverhampton Wanderers,2,2,2022-05-07,16731,2021,534260,0.1759292185306549,0,2,0,0.10677409917116165,0.3849462568759918,0.10224293172359467,0.0,0.0,17.0,0.0,29.3,125.0,355.0,2.0,0.0,6.3,16.6,2022-05-07T14:00:00Z,90.0,20.0,0.0,0.0,0.0,0.0,36.0,0.0,165869.0,2.0,2.0,17.0,2.0,4516.0,6316.0,1800.0,49.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
7,0,2,0.14157778024673462,42,Sub,Everton,Chelsea,1,0,2022-05-01,16724,2021,531068,0.03639271482825279,0,2,0,0.14157778024673462,0.2646848261356354,0.20806282758712769,0.0,0.0,12.0,0.0,24.8,125.0,342.0,1.0,0.0,7.1,10.8,2022-05-01T13:00:00Z,45.0,8.0,0.0,0.0,0.0,0.0,35.0,0.0,160392.0,0.0,1.0,35.0,1.0,-4216.0,25.0,4241.0,49.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,90,MC,Southampton,Chelsea,0,6,2022-04-09,16687,2021,524622,0.11296440660953522,0,2,0,0,0.8925283551216125,0.8096110820770264,0.0,0.0,19.0,1.0,31.2,125.0,319.0,0.0,0.0,6.4,33.2,2022-04-09T14:00:00Z,90.0,16.0,0.0,0.0,0.0,0.0,32.0,0.0,174178.0,6.0,0.0,0.0,3.0,-2423.0,1268.0,3691.0,50.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
9,0,2,0.03621695190668106,24,Sub,Chelsea,Brentford,1,4,2022-04-02,16683,2021,522787,0.3260233700275421,0,2,0,0.03621695190668106,0.6269084811210632,0.27981439232826233,0.0,0.0,7.0,0.0,25.3,125.0,303.0,1.0,0.0,3.7,3.0,2022-04-02T14:00:00Z,26.0,3.0,0.0,0.0,0.0,0.0,31.0,0.0,176488.0,4.0,1.0,9.0,1.0,-1391.0,2633.0,4024.0,50.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
10,0,0,0,25,Sub,Chelsea,Newcastle United,1,0,2022-03-13,16659,2021,519905,0,0,0,0,0,0.3782632648944855,0.3782632648944855,0.0,0.0,0.0,0.0,2.9,125.0,284.0,0.0,0.0,0.6,2.8,2022-03-13T14:00:00Z,27.0,14.0,0.0,0.0,0.0,0.0,29.0,0.0,182024.0,0.0,1.0,0.0,0.0,-4221.0,4513.0,8734.0,50.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,
