,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,9,Sub,Crystal Palace,Leeds,2,1,2022-10-09,18296,2022,554735,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0.08471320569515228,6,Sub,Leeds,Aston Villa,0,0,2022-10-02,18286,2022,553303,0,0,0,0,0.08471320569515228,0.08471320569515228,0,0.0,0.0,0.0,0.0,0.0,223.0,85.0,0.0,0.0,1.5,0.0,2022-10-02T15:30:00Z,11.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,7583.0,0.0,0.0,18.0,1.0,-277.0,232.0,509.0,48.0,True,0.0
2,0,0,0,28,Sub,Brentford,Leeds,5,2,2022-09-03,18257,2022,547241,0,0,0,0,0,0,0,0.0,0.0,4.0,0.0,1.9,223.0,52.0,2.0,0.0,0.7,3.4,2022-09-03T14:00:00Z,31.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,8484.0,2.0,5.0,2.0,0.0,-239.0,810.0,1049.0,48.0,False,1.0
3,0,1,0.030882811173796654,22,Sub,Leeds,Everton,1,1,2022-08-30,18245,2022,545987,0.041195228695869446,0,1,0,0.030882811173796654,0.18210391700267792,0.1512211114168167,0.0,0.0,4.0,0.0,12.8,223.0,45.0,0.0,0.0,3.0,7.6,2022-08-30T19:00:00Z,26.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,8404.0,1.0,1.0,10.0,1.0,-710.0,448.0,1158.0,49.0,True,0.0
4,0,0,0,28,Sub,Brighton,Leeds,1,0,2022-08-27,18234,2022,544425,0.11342115700244904,0,2,0,0,0.8032875657081604,0.7269447445869446,0.0,0.0,6.0,0.0,21.6,223.0,34.0,1.0,0.0,3.4,10.6,2022-08-27T14:00:00Z,31.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,8824.0,0.0,1.0,2.0,1.0,-1028.0,683.0,1711.0,49.0,False,0.0
5,0,0,0,5,Sub,Leeds,Chelsea,3,0,2022-08-21,18228,2022,543082,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.3,223.0,25.0,0.0,0.0,0.0,0.0,2022-08-21T13:00:00Z,7.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,9421.0,0.0,3.0,0.0,1.0,-1508.0,599.0,2107.0,49.0,True,0.0
6,0,0,0,2,Sub,Southampton,Leeds,2,2,2022-08-13,18215,2022,540612,0.13403908908367157,0,2,0,0,0.09678436070680618,0,0.0,0.0,7.0,0.0,21.0,223.0,19.0,0.0,0.0,2.7,6.2,2022-08-13T14:00:00Z,6.0,17.0,0.0,0.0,0.0,0.0,2.0,0.0,10469.0,2.0,2.0,0.0,1.0,-1036.0,431.0,1467.0,50.0,False,0.0
7,0,0,0,23,Sub,Leeds,Wolverhampton Wanderers,2,1,2022-08-06,18205,2022,539437,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,5.3,223.0,5.0,0.0,0.0,1.1,1.4,2022-08-06T14:00:00Z,25.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,10219.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,50.0,True,0.0
8,0,2,0.10528640449047089,3,Sub,Brentford,Leeds,1,2,2022-05-22,16747,2021,537714,0,0,0,0,0.10528640449047089,0.12175658345222473,0.10683286935091019,0.0,0.0,3.0,0.0,0.0,186.0,372.0,0.0,0.0,0.0,0.0,2022-05-22T15:00:00Z,5.0,3.0,0.0,0.0,0.0,0.0,38.0,0.0,26042.0,2.0,1.0,0.0,1.0,7.0,444.0,437.0,51.0,False,0.0
9,0,2,0.12088832259178162,85,MC,Leeds,Brighton,1,1,2022-05-15,16743,2021,536085,0.051277849823236465,0,2,0,0.12088832259178162,0.23494665324687958,0.0627804845571518,0.0,0.0,16.0,0.0,22.7,186.0,363.0,1.0,0.0,6.5,17.8,2022-05-15T13:00:00Z,82.0,4.0,0.0,0.0,0.0,0.0,37.0,0.0,25979.0,1.0,1.0,24.0,2.0,215.0,513.0,298.0,51.0,True,0.0
