,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,90,MC,Newcastle United,Brentford,5,1,2022-10-08,18299,2022,554108,0.16378378868103027,0,2,0,0,0.18539747595787048,0.18539747595787048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,90,MC,Bournemouth,Brentford,0,0,2022-10-01,18283,2022,552408,0.033686358481645584,0,2,0,0,0.47500690817832947,0.47500690817832947,0.0,0.0,16.0,1.0,32.8,88.0,82.0,0.0,0.0,5.5,19.8,2022-10-01T14:00:00Z,90.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,306270.0,0.0,0.0,2.0,3.0,-11625.0,25396.0,37021.0,51.0,False,0.0
2,0,0,0,71,MC,Brentford,Arsenal,0,3,2022-09-18,18280,2022,551043,0,0,1,0,0,0,0,0.0,0.0,11.0,0.0,19.3,88.0,72.0,3.0,0.0,3.2,10.4,2022-09-18T11:00:00Z,68.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,316843.0,3.0,0.0,2.0,2.0,-5272.0,17970.0,23242.0,51.0,True,0.0
3,0,1,0.02401427924633026,86,MC,Brentford,Leeds,5,2,2022-09-03,18257,2022,547218,0.0353468582034111,0,1,0,0.02401427924633026,0.02401427924633026,0,0.0,0.0,9.0,0.0,14.8,88.0,52.0,2.0,0.0,2.6,7.2,2022-09-03T14:00:00Z,82.0,11.0,0.0,0.0,0.0,0.0,6.0,0.0,335685.0,2.0,5.0,4.0,2.0,15034.0,61168.0,46134.0,51.0,True,0.0
4,0,0,0,80,MC,Crystal Palace,Brentford,1,1,2022-08-30,18243,2022,545872,0.34726202487945557,0,2,0,0,0,0,0.0,0.0,13.0,0.0,30.5,88.0,43.0,1.0,0.0,4.1,10.0,2022-08-30T18:30:00Z,78.0,7.0,0.0,0.0,0.0,0.0,5.0,0.0,313804.0,1.0,1.0,0.0,2.0,-3839.0,50664.0,54503.0,51.0,False,0.0
5,0,2,0.03194492310285568,90,MC,Brentford,Everton,1,1,2022-08-27,18233,2022,544525,0.12894180417060852,0,3,0,0.03194492310285568,0.5510429739952087,0.4757924973964691,0.0,0.0,9.0,0.0,45.6,88.0,33.0,1.0,0.0,7.0,15.8,2022-08-27T14:00:00Z,90.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,314192.0,1.0,1.0,9.0,2.0,52898.0,100369.0,47471.0,51.0,True,0.0
6,0,0,0,62,MC,Fulham,Brentford,3,2,2022-08-20,18225,2022,542415,0.31069543957710266,1,2,0,0,0.039724428206682205,0,1.0,0.0,15.0,0.0,26.4,88.0,24.0,2.0,0.0,5.0,21.6,2022-08-20T14:00:00Z,59.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,256597.0,2.0,3.0,2.0,4.0,207883.0,239860.0,31977.0,50.0,False,0.0
7,1,2,0.24556733667850494,78,MC,Brentford,Manchester United,4,0,2022-08-13,18218,2022,540800,0.024810394272208214,1,1,1,0.24556733667850494,0.4687342643737793,0.33544763922691345,1.0,3.0,39.0,1.0,21.3,88.0,13.0,0.0,1.0,9.7,53.2,2022-08-13T16:30:00Z,73.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,5451.0,0.0,4.0,22.0,14.0,-271.0,354.0,625.0,50.0,True,0.0
8,0,0,0,60,MC,Leicester,Brentford,2,2,2022-08-07,18210,2022,539840,0.049258433282375336,0,1,0,0,0.049258433282375336,0.049258433282375336,0.0,0.0,9.0,0.0,11.4,88.0,6.0,2.0,0.0,1.8,6.2,2022-08-07T13:00:00Z,58.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,4698.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,50.0,False,0.0
9,0,1,0.08627009391784668,60,MC,Brentford,Leeds,1,2,2022-05-22,16747,2021,537694,0.29045507311820984,0,3,0,0.08627009391784668,0.35852137207984924,0,0.0,0.0,9.0,0.0,0.0,86.0,372.0,1.0,0.0,0.0,0.0,2022-05-22T15:00:00Z,57.0,10.0,0.0,0.0,0.0,0.0,38.0,0.0,4367.0,2.0,1.0,0.0,1.0,181.0,300.0,119.0,49.0,True,0.0
