,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.07232256978750229,90,MR,Leeds,West Bromwich Albion,3,1,2021-05-23,14808,2020,473328,0.05351389944553375,0,1,0,0.07232256978750229,0.22512370347976685,0.1716098040342331,0.0,,,,0.0,11.0,0.0,,,15.7,,,411.0,,,372.0,,3.0,0.0,4.6,,9.8,,2021-05-23T15:00:00Z,,,,90.0,,,10.0,0.0,,0.0,0.0,,0.0,38.0,0.0,4454.0,,,,1.0,3.0,20.0,2.0,56.0,218.0,162.0,51.0,False,,0.0
1,0,1,0.018383868038654327,90,MR,West Bromwich Albion,West Ham,1,3,2021-05-19,14804,2020,472573,0.09503856301307678,0,1,0,0.018383868038654327,0.1633892059326172,0.049966778606176376,0.0,,,,0.0,6.0,0.0,,,12.8,,,411.0,,,368.0,,3.0,0.0,2.4,,8.0,,2021-05-19T19:15:00Z,,,,90.0,,,19.0,0.0,,0.0,0.0,,0.0,37.0,0.0,4389.0,,,,3.0,1.0,3.0,2.0,-36.0,84.0,120.0,51.0,True,,0.0
2,0,0,0,90,MR,West Bromwich Albion,Liverpool,1,2,2021-05-16,14789,2020,471476,0,0,0,0,0,0.2957018315792084,0.2957018315792084,0.0,,,,0.0,9.0,0.0,,,1.3,,,411.0,,,353.0,,2.0,0.0,1.1,,7.2,,2021-05-16T15:30:00Z,,,,90.0,,,11.0,0.0,,0.0,0.0,,0.0,36.0,0.0,4414.0,,,,2.0,1.0,2.0,2.0,-85.0,59.0,144.0,51.0,True,,0.0
3,0,1,0.021053453907370567,90,MC,Arsenal,West Bromwich Albion,3,1,2021-05-09,14775,2020,469652,0.4688952565193176,0,1,0,0.021053453907370567,0.5972708463668823,0.1283755749464035,0.0,,,,0.0,13.0,0.0,,,19.7,,,411.0,,,339.0,,3.0,0.0,4.0,,10.0,,2021-05-09T18:00:00Z,,,,90.0,,,1.0,0.0,,0.0,0.0,,0.0,35.0,0.0,4484.0,,,,1.0,3.0,10.0,2.0,-205.0,92.0,297.0,51.0,False,,0.0
4,0,0,0,58,Sub,West Bromwich Albion,Wolverhampton Wanderers,1,1,2021-05-03,14774,2020,467977,0.43202483654022217,0,1,0,0,0.8298364281654358,0.39781156182289124,0.0,,,,0.0,2.0,0.0,,,11.8,,,411.0,,,338.0,,1.0,0.0,2.2,,5.8,,2021-05-03T17:00:00Z,,,,57.0,,,20.0,0.0,,0.0,0.0,,0.0,34.0,0.0,4682.0,,,,1.0,1.0,4.0,1.0,-211.0,171.0,382.0,51.0,True,,0.0
5,0,0,0,21,Sub,Aston Villa,West Bromwich Albion,2,2,2021-04-25,14756,2020,466366,0.037144456058740616,0,1,0,0,0.037144456058740616,0,0.0,,,,0.0,4.0,0.0,,,10.6,,,411.0,,,320.0,,1.0,0.0,1.3,,2.2,,2021-04-25T18:00:00Z,,,,23.0,,,2.0,0.0,,0.0,0.0,,0.0,33.0,0.0,4886.0,,,,2.0,2.0,0.0,1.0,314.0,507.0,193.0,51.0,False,,0.0
6,0,1,0.0719720795750618,90,MR,Leicester,West Bromwich Albion,3,0,2021-04-22,14750,2020,464872,0.16771647334098816,0,1,0,0.0719720795750618,0.0719720795750618,0,0.0,,,,0.0,6.0,0.0,,,28.6,,,411.0,,,314.0,,3.0,0.0,4.6,,10.6,,2021-04-22T19:00:00Z,,,,90.0,,,9.0,0.0,,0.0,0.0,,0.0,32.0,0.0,4552.0,,,,0.0,3.0,7.0,2.0,601.0,757.0,156.0,51.0,False,,0.0
7,1,2,0.47674381732940674,90,MR,West Bromwich Albion,Southampton,3,0,2021-04-12,14743,2020,462357,0.15405243635177612,0,2,1,0.47674381732940674,1.072160243988037,0.5336239337921143,0.0,,,,0.0,31.0,1.0,,,30.9,,,411.0,,,307.0,,0.0,1.0,14.2,,53.4,,2021-04-12T17:00:00Z,,,,90.0,,,16.0,0.0,,0.0,0.0,,0.0,31.0,0.0,3916.0,,,,0.0,3.0,58.0,8.0,54.0,239.0,185.0,51.0,True,,0.0
8,0,1,0.023688917979598045,90,MR,Chelsea,West Bromwich Albion,2,5,2021-04-03,14727,2020,459176,0,0,0,0,0.023688917979598045,0.1029403805732727,0.07925146818161011,0.0,,,,0.0,7.0,0.0,,,1.1,,,411.0,,,291.0,,2.0,0.0,1.4,,7.2,,2021-04-03T11:30:00Z,,,,88.0,,,5.0,0.0,,0.0,0.0,,0.0,30.0,0.0,3847.0,,,,5.0,2.0,6.0,2.0,77.0,212.0,135.0,51.0,False,,0.0
9,0,2,0.10133843123912811,73,MR,Crystal Palace,West Bromwich Albion,1,0,2021-03-13,14706,2020,456353,0.053929317742586136,0,1,0,0.10133843123912811,0.20268665254116058,0.04741891101002693,0.0,,,,0.0,6.0,0.0,,,16.0,,,411.0,,,270.0,,1.0,0.0,4.9,,6.6,,2021-03-13T15:00:00Z,,,,70.0,,,6.0,0.0,,0.0,0.0,,0.0,28.0,0.0,3848.0,,,,0.0,1.0,26.0,2.0,-46.0,191.0,237.0,51.0,False,,0.0
