,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,1,Sub,Wolverhampton Wanderers,Newcastle United,1,1,2022-08-28,18240,2022,545107,0,0,0,0,0,0,0,0.0,,,,0.0,3.0,0.0,,,0.0,,,350.0,,,40.0,,0.0,0.0,0.0,,0.0,,2022-08-28T13:00:00Z,,,,1.0,,,20.0,0.0,,0.0,0.0,,0.0,4.0,0.0,8066.0,,,,1.0,1.0,0.0,1.0,-815.0,245.0,1060.0,44.0,False,,0.0
1,0,0,0,1,Sub,Burnley,Newcastle United,1,2,2022-05-22,16749,2021,537769,0,0,0,0,0,0,0,0.0,,,,0.0,3.0,0.0,,,0.0,,,292.0,,,374.0,,0.0,0.0,0.0,,0.0,,2022-05-22T15:00:00Z,,,,1.0,,,5.0,0.0,,0.0,0.0,,0.0,38.0,0.0,15999.0,,,,2.0,1.0,0.0,1.0,143.0,396.0,253.0,49.0,False,,0.0
2,0,0,0,14,Sub,Norwich,Newcastle United,0,3,2022-04-23,16706,2021,528723,0,0,0,0,0,0.07097392529249191,0.07097392529249191,0.0,,,,0.0,4.0,0.0,,,5.3,,,292.0,,,340.0,,0.0,0.0,0.8,,2.4,,2022-04-23T14:00:00Z,,,,16.0,,,15.0,0.0,,0.0,0.0,,0.0,34.0,0.0,16104.0,,,,3.0,0.0,0.0,1.0,-126.0,512.0,638.0,49.0,False,,0.0
3,0,0,0,90,DL,Newcastle United,Manchester City,0,4,2021-12-19,16550,2021,504054,0,0,0,0,0,0.008284335024654865,0.008284335024654865,0.0,,,,0.0,12.0,0.0,,,0.8,,,292.0,,,175.0,,4.0,0.0,1.2,,11.4,,2021-12-19T14:00:00Z,,,,90.0,,,12.0,0.0,,0.0,0.0,,0.0,18.0,0.0,18070.0,,,,4.0,0.0,0.0,0.0,47.0,527.0,480.0,49.0,True,,0.0
4,0,0,0,76,Sub,Liverpool,Newcastle United,3,1,2021-12-16,16544,2021,503383,0,0,0,0,0,0,0,0.0,,,,0.0,9.0,0.0,,,0.7,,,292.0,,,169.0,,3.0,0.0,1.0,,9.2,,2021-12-16T20:00:00Z,,,,75.0,,,11.0,0.0,,0.0,0.0,,0.0,17.0,0.0,17642.0,,,,1.0,3.0,0.0,1.0,-661.0,189.0,850.0,49.0,False,,0.0
5,0,1,0.10237941890954971,3,Sub,Leicester,Newcastle United,4,0,2021-12-12,16532,2021,502272,0,0,0,0,0.10237941890954971,0.10237941890954971,0.10237941890954971,0.0,,,,0.0,3.0,0.0,,,1.2,,,292.0,,,157.0,,1.0,0.0,3.8,,3.6,,2021-12-12T14:00:00Z,,,,5.0,,,9.0,0.0,,0.0,0.0,,0.0,16.0,0.0,18222.0,,,,0.0,4.0,33.0,1.0,-1786.0,394.0,2180.0,49.0,False,,0.0
6,0,0,0,71,DL,Arsenal,Newcastle United,2,0,2021-11-27,16496,2021,497088,0,0,0,0,0,0,0,0.0,,,,0.0,3.0,0.0,,,0.3,,,292.0,,,121.0,,2.0,0.0,0.0,,0.0,,2021-11-27T12:30:00Z,,,,66.0,,,1.0,0.0,,0.0,0.0,,0.0,13.0,0.0,21595.0,,,,0.0,2.0,0.0,0.0,-1239.0,1743.0,2982.0,49.0,False,,1.0
7,0,0,0,90,DML,Newcastle United,Brentford,3,3,2021-11-20,16491,2021,495735,0.25613006949424744,1,3,0,0,0.09966011345386505,0.09966011345386505,1.0,,,,0.0,22.0,0.0,,,44.7,,,292.0,,,116.0,,3.0,0.0,7.5,,30.6,,2021-11-20T15:00:00Z,,,,90.0,,,3.0,0.0,,0.0,0.0,,0.0,12.0,0.0,22693.0,,,,3.0,3.0,0.0,4.0,2632.0,4023.0,1391.0,49.0,True,,0.0
8,0,1,0.01655575819313526,90,DL,Brighton,Newcastle United,1,1,2021-11-06,16478,2021,494249,0.025733040645718575,0,1,0,0.01655575819313526,0,0,0.0,,,,0.0,12.0,0.0,,,18.6,,,292.0,,,103.0,,1.0,0.0,2.7,,7.4,,2021-11-06T17:30:00Z,,,,90.0,,,4.0,0.0,,0.0,0.0,,0.0,11.0,0.0,19535.0,,,,1.0,1.0,1.0,2.0,-614.0,617.0,1231.0,49.0,False,,0.0
9,0,0,0,90,DL,Newcastle United,Chelsea,0,3,2021-10-30,16471,2021,492215,0.014223168604075909,0,1,0,0,0,0,0.0,,,,0.0,9.0,0.0,,,18.3,,,292.0,,,96.0,,3.0,0.0,2.9,,11.0,,2021-10-30T14:00:00Z,,,,90.0,,,6.0,0.0,,0.0,0.0,,0.0,10.0,0.0,19873.0,,,,3.0,0.0,0.0,0.0,-2160.0,538.0,2698.0,49.0,True,,1.0
