,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,21,Sub,Sassuolo,Inter,1,2,2022-10-08,18669,2022,553904,0.10519587993621826,0,1,0,0,0.7481554746627808,0.6429595947265625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,69,DML,Udinese,Inter,3,1,2022-09-18,18651,2022,551026,0,0,0,0,0,0.13591298460960388,0.13591298460960388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,85,DML,Inter,Torino,1,0,2022-09-10,18635,2022,549185,0.3118053376674652,0,2,0,0,0.5572049617767334,0.5380533337593079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,85,DML,AC Milan,Inter,3,2,2022-09-03,18623,2022,547414,0.6417453289031982,1,3,0,0,0.023258469998836517,0.011927724815905094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,80,DML,Inter,Cremonese,3,1,2022-08-30,18614,2022,545888,0.1243007555603981,0,1,0,0,0.3434908092021942,0.2191900610923767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,19,Sub,Lazio,Inter,3,1,2022-08-26,18603,2022,544089,0.07355029135942459,0,1,0,0,0.11578527092933655,0.042234987020492554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,70,DMR,Lecce,Inter,1,2,2022-08-13,18585,2022,541025,0.853364884853363,1,3,0,0,0.8741553425788879,0.8302052617073059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,1,0.14691706001758575,60,DMR,Cagliari,Inter,1,3,2022-05-15,17117,2021,536642,0.14610673487186432,0,3,1,0.14691706001758575,0.695735514163971,0.423566073179245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,10,Sub,Inter,Empoli,4,2,2022-05-06,17109,2021,531851,0.14123226702213287,0,1,0,0,0.5388994812965393,0.39766719937324524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,90,DMR,Udinese,Inter,1,2,2022-05-01,17105,2021,531396,0.06196089833974838,0,1,0,0,0.06196089833974838,0.06196089833974838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
