,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,90,DR,Nottingham Forest,Aston Villa,1,1,2022-10-10,18300,2022,555429,0,0,0,0,0,0.04182624816894531,0.04182624816894531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,26,DR,Aston Villa,Manchester City,1,1,2022-09-03,18258,2022,547426,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,90,DR,Arsenal,Aston Villa,2,1,2022-08-31,18247,2022,546269,0.05780506506562233,0,1,0,0,0.1745826005935669,0.11677753180265427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,1,0.06745223701000214,90,DR,Aston Villa,West Ham,0,1,2022-08-28,18239,2022,545236,0,0,0,0,0.06745223701000214,0.10260730981826782,0.03515506908297539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,1,0.013932503759860992,90,DR,Crystal Palace,Aston Villa,3,1,2022-08-20,18223,2022,542442,0.11933843791484833,0,2,0,0.013932503759860992,0.2434632033109665,0.12412476539611816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,90,DR,Aston Villa,Everton,2,1,2022-08-13,18212,2022,540339,0,0,0,0,0,0.03937161713838577,0.03937161713838577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,1,0.016840584576129913,90,DR,Bournemouth,Aston Villa,2,0,2022-08-06,18204,2022,539411,0,0,0,0,0.016840584576129913,0.17678934335708618,0.15994876623153687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,1,0.06013134494423866,90,DR,Manchester City,Aston Villa,3,2,2022-05-22,16754,2021,537927,0,0,0,1,0.06013134494423866,0.06013134494423866,0,0.0,0.0,18.0,0.0,0.0,44.0,379.0,3.0,1.0,0.0,0.0,2022-05-22T15:00:00Z,90.0,12.0,0.0,0.0,0.0,0.0,38.0,0.0,1007088.0,2.0,3.0,0.0,7.0,-183425.0,10792.0,194217.0,53.0,False,0.0
8,0,4,0.17008434236049652,90,DR,Aston Villa,Burnley,1,1,2022-05-19,16546,2021,536803,0.029380330815911293,0,1,0,0.17008434236049652,0.31987619400024414,0.2085624635219574,0.0,0.0,9.0,0.0,17.1,44.0,171.0,1.0,0.0,8.6,14.6,2022-05-19T19:00:00Z,90.0,5.0,0.0,0.0,0.0,0.0,37.0,0.0,1415675.0,1.0,1.0,54.0,2.0,218310.0,237519.0,19209.0,53.0,True,0.0
9,0,0,0,90,DR,Aston Villa,Crystal Palace,1,1,2022-05-15,16745,2021,536109,0,0,0,0,0,0.043523672968149185,0.043523672968149185,0.0,0.0,10.0,0.0,1.8,44.0,361.0,1.0,0.0,2.9,25.0,2022-05-15T13:00:00Z,90.0,7.0,0.0,0.0,0.0,0.0,37.0,0.0,1415675.0,1.0,1.0,2.0,2.0,218310.0,237519.0,19209.0,53.0,True,0.0
