,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,90,DC,Everton,Leicester,4,2,2017-04-09,3458,2016,133249,0,0,0,0,0,0,0,0.0,44.0,0.0,0.0,0.0,11.0,0.0,6.0,34.0,0.2,0.0,0.0,131.0,0.0,0.0,313.0,1.0,2.0,0.0,1.3,18659.0,12.6,0.0,2017-04-09T15:00:00Z,09 Apr 16:00,0.0,0.0,90.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,32.0,0.0,36906.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,4115.0,4690.0,575.0,39.0,True,0.0,0.0
1,0,0,0,21,Sub,Manchester United,Everton,1,1,2017-04-04,3446,2016,132644,0.17364175617694855,0,1,0,0,0.17364175617694855,0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,5.0,1.0,10.0,0.0,0.0,131.0,0.0,0.0,305.0,0.0,1.0,0.0,2.3,17998.0,13.0,0.0,2017-04-04T19:00:00Z,04 Apr 20:00,0.0,0.0,24.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0,0.0,32522.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3979.0,4261.0,282.0,39.0,False,0.0,0.0
2,1,1,0.6383316516876221,69,DC,Liverpool,Everton,3,1,2017-04-01,3435,2016,132772,0,0,0,1,0.6383316516876221,0.039417922496795654,0.039417922496795654,0.0,25.0,0.0,0.0,0.0,21.0,0.0,5.0,19.0,0.5,0.0,0.0,131.0,0.0,0.0,296.0,0.0,3.0,1.0,7.2,17341.0,38.2,0.0,2017-04-01T11:30:00Z,01 Apr 12:30,0.0,0.0,66.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,5.0,0.0,30.0,0.0,28362.0,0.0,0.0,0.0,1.0,3.0,33.0,7.0,53.0,546.0,493.0,39.0,False,0.0,0.0
3,0,0,0,28,DR,Everton,Norwich,3,0,2016-05-15,453,2015,57689,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,2,0.07906966656446457,90,DR,Sunderland,Everton,3,0,2016-05-11,449,2015,65879,0,0,0,0,0.07906966656446457,0.101773701608181,0.0881463959813118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,90,DC,Leicester,Everton,3,1,2016-05-07,443,2015,62327,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,90,DC,Everton,Bournemouth,2,1,2016-04-30,429,2015,63053,0,0,0,0,0,0.05855722352862358,0.05855722352862358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,2017-08-12,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,2017-08-12T14:00:00Z,12 Aug 15:00,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6005.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,True,0.0,0.0
8,,,,,,,,,,2017-08-21,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,652.0,0.0,0.0,2017-08-21T19:00:00Z,21 Aug 20:00,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5609.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-801.0,255.0,1056.0,40.0,False,0.0,0.0
9,,,,,,,,,,2017-08-27,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,1168.0,0.0,0.0,2017-08-27T12:30:00Z,27 Aug 13:30,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5160.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-572.0,195.0,767.0,40.0,False,0.0,0.0
10,,,,,,,,,,2017-09-09,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,1699.0,0.0,0.0,2017-09-09T14:00:00Z,09 Sep 15:00,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4890.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-385.0,111.0,496.0,40.0,True,0.0,0.0
