,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,90,DML,Sheffield United,Chelsea,1,2,2021-02-07,14662,2020,448530,0,0,0,0,0,0,0,0,0,11,0,2.6,511,226,2,0,2.3,14.4,2021-02-07T19:15:00Z,90,5,0,0,0,0,23,0,4031,2,1,6.0,1,-27,33,60,43,True,0
1,0,0,0,47,Sub,Sheffield United,West Bromwich Albion,2,1,2021-02-02,14649,2020,446722,0.18749843537807465,0,2,0,0,0.340607613325119,0.15310917794704437,0,0,9,0,26.7,511,214,0,0,4.7,14.2,2021-02-02T18:00:00Z,46,18,0,0,0,0,22,0,4038,1,2,6.0,1,-53,19,72,43,True,0
2,0,0,0,48,DL,Sheffield United,Leicester,1,2,2020-12-06,14541,2020,432029,0,0,0,0,0,0,0,0,0,-2,0,0.7,511,105,1,0,1.2,11.6,2020-12-06T14:15:00Z,45,9,0,0,0,0,11,0,4639,2,1,0.0,0,-223,161,384,44,True,1
3,0,1,0.06381101161241531,90,DML,West Bromwich Albion,Sheffield United,1,0,2020-11-28,14527,2020,429956,0,0,0,0,0.06381101161241531,0.3505057394504547,0.28669473528862,0,0,10,0,3.9,511,97,1,0,3.4,7.6,2020-11-28T20:00:00Z,90,18,0,0,0,0,10,0,4902,0,1,22.0,2,329,549,220,44,False,0
4,0,0,0,90,DML,Sheffield United,West Ham,0,1,2020-11-22,14522,2020,428527,0,0,0,0,0,0.13780997693538666,0.13780997693538666,0,0,11,0,2.6,511,86,1,0,2.9,24.8,2020-11-22T14:00:00Z,90,19,0,0,0,0,9,0,4439,1,0,2.0,2,63,315,252,44,True,0
5,0,1,0.022947104647755623,90,DML,Chelsea,Sheffield United,4,1,2020-11-07,14507,2020,426504,0,0,0,0,0.022947104647755623,0.07881734520196915,0.05587024241685867,0,0,2,0,1.4,511,71,4,0,2.3,14.2,2020-11-07T17:30:00Z,90,5,0,0,0,0,8,0,4268,1,4,7.0,0,-9,129,138,44,False,0
6,0,0,0,81,DL,Sheffield United,Manchester City,0,1,2020-10-31,14502,2020,424226,0,0,0,0,0,0.39700597524642944,0.39700597524642944,0,0,5,0,1.8,511,66,1,0,1.5,11.2,2020-10-31T12:30:00Z,80,12,0,0,0,0,7,0,4182,1,0,2.0,2,-241,58,299,44,True,0
7,0,0,0,18,DML,Sheffield United,Fulham,1,1,2020-10-18,14482,2020,421666,0,0,0,0,0,0,0,0,0,3,0,0.1,511,46,0,0,0.1,1.2,2020-10-18T11:00:00Z,18,8,0,0,0,0,5,0,4781,1,1,0.0,1,-343,91,434,45,True,0
8,,,,,,,,,,2020-09-14,,,,,,,,,,,0,0,0,0,0.0,511,8,0,0,0.0,0.0,2020-09-14T17:00:00Z,0,20,0,0,0,0,1,0,4284,2,0,0.0,0,0,0,0,45,True,0
9,,,,,,,,,,2020-09-21,,,,,,,,,,,0,0,0,0,0.0,511,10,0,0,0.0,0.0,2020-09-21T17:00:00Z,0,2,0,0,0,0,2,0,5084,0,1,0.0,0,-446,211,657,45,False,0
10,,,,,,,,,,2020-09-27,,,,,,,,,,,0,0,0,0,0.0,511,25,0,0,0.0,0.0,2020-09-27T11:00:00Z,0,10,0,0,0,0,3,0,5067,1,0,0.0,0,-524,202,726,45,True,0
11,,,,,,,,,,2020-10-04,,,,,,,,,,,0,0,0,0,0.0,511,29,0,0,0.0,0.0,2020-10-04T13:00:00Z,0,1,0,0,0,0,4,0,4869,1,2,0.0,0,-461,70,531,45,False,0
12,,,,,,,,,,2020-10-24,,,,,,,,,,,0,0,0,0,0.0,511,54,0,0,0.0,0.0,2020-10-24T19:00:00Z,0,11,0,0,0,0,6,0,4376,1,2,0.0,0,-424,33,457,44,False,0
13,,,,,,,,,,2020-12-13,,,,,,,,,,,0,0,0,0,0.0,511,117,0,0,0.0,0.0,2020-12-13T12:00:00Z,0,16,0,0,0,0,12,0,4529,0,3,0.0,0,-134,114,248,44,False,0
14,,,,,,,,,,2020-12-17,,,,,,,,,,,0,0,0,0,0.0,511,124,0,0,0.0,0.0,2020-12-17T20:00:00Z,0,13,0,0,0,0,13,0,4396,3,2,0.0,0,-167,44,211,44,True,0
15,,,,,,,,,,2020-12-20,,,,,,,,,,,0,0,0,0,0.0,511,129,0,0,0.0,0.0,2020-12-20T12:00:00Z,0,3,0,0,0,0,14,0,4352,1,1,0.0,0,-85,58,143,44,False,0
