,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.028422445058822632,90,DC,Angers,Strasbourg,2,3,2022-10-09,19738,2022,554784,0.28378432989120483,0,1,0,0.028422445058822632,0.41784846782684326,0.41784846782684326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,90,DC,Strasbourg,Rennes,1,3,2022-10-01,19735,2022,552451,0,0,0,0,0,0.21461094915866852,0.21461094915866852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,1,0.10572183132171631,90,DL,Strasbourg,Clermont Foot,0,0,2022-09-11,19715,2022,549463,0,0,0,0,0.10572183132171631,0.1671716421842575,0.1671716421842575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,90,DC,Brest,Strasbourg,1,1,2022-09-04,19705,2022,547861,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,65,DC,Auxerre,Strasbourg,1,0,2022-08-27,19679,2022,544597,0,0,0,0,0,0.03172045201063156,0.03172045201063156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,90,DC,Strasbourg,Reims,1,1,2022-08-21,19675,2022,542854,0,0,0,0,0,0.07093799114227295,0.07093799114227295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,90,DC,Nice,Strasbourg,1,1,2022-08-14,19666,2022,541392,0,0,0,0,0,0.10130146145820618,0.10130146145820618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,22,Sub,Strasbourg,Monaco,1,2,2022-08-06,19649,2022,539559,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,90,DC,Strasbourg,Clermont Foot,1,0,2022-05-14,18183,2021,535661,0.012323221191763878,1,1,0,0,0.32392364740371704,0.3116004168987274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,90,DC,Brest,Strasbourg,0,1,2022-05-07,18181,2021,532749,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
