,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,1,Sub,West Bromwich Albion,West Ham,1,3,2021-05-19,14804,2020,472579,0,0,0,0,0,0,0,0,0,3,0,0.0,648,368,0,0,0.0,0.0,2021-05-19T19:15:00Z,1,19,0,0,0,0,37,0,24611,3,1,0.0,1,-1791,596,2387,60,True,0
1,0,1,0.6256385445594788,57,FW,Arsenal,West Bromwich Albion,3,1,2021-05-09,14775,2020,469655,0,0,0,0,0.6256385445594788,0.6256385445594788,0,0,0,-4,0,0.1,648,339,2,0,0.5,0.0,2021-05-09T18:00:00Z,55,1,0,0,0,0,35,0,27507,1,3,9.0,1,-3156,2004,5160,60,False,0
2,1,2,0.4151551127433777,90,FW,West Bromwich Albion,Wolverhampton Wanderers,1,1,2021-05-03,14774,2020,467975,0.019637456163764,0,1,1,0.4151551127433777,0.48524710536003113,0.06779810041189194,0,2,27,0,11.8,648,338,1,1,10.6,37.4,2021-05-03T17:00:00Z,90,20,0,0,0,0,34,0,30726,1,1,57.0,8,192,2948,2756,60,True,0
3,0,1,0.32479003071784973,90,FW,Aston Villa,West Bromwich Albion,2,2,2021-04-25,14756,2020,466364,0,0,0,0,0.32479003071784973,0.35473379492759705,0.029943769797682762,1,0,8,0,6.6,648,320,2,0,1.6,3.8,2021-04-25T18:00:00Z,90,2,0,0,0,0,33,0,30383,2,2,6.0,5,-281,2332,2613,60,False,0
4,0,0,0,63,FW,Leicester,West Bromwich Albion,3,0,2021-04-22,14750,2020,464877,0,0,0,0,0,0.0719720795750618,0.0719720795750618,0,0,6,0,1.0,648,314,3,0,0.6,0.6,2021-04-22T19:00:00Z,60,9,0,0,0,0,32,0,30576,0,3,4.0,2,-97,3744,3841,60,False,0
5,0,1,0.3831515908241272,79,FW,West Bromwich Albion,Southampton,3,0,2021-04-12,14743,2020,462362,0.43348774313926697,1,1,0,0.3831515908241272,0.8166393041610718,0,1,0,14,1,11.8,648,307,0,0,3.6,16.0,2021-04-12T17:00:00Z,75,16,0,0,0,0,31,0,30588,0,3,8.0,5,3394,6210,2816,60,True,0
6,1,2,0.1439821869134903,90,FW,Chelsea,West Bromwich Albion,2,5,2021-04-03,14727,2020,459180,0.02868676744401455,0,1,1,0.1439821869134903,0.6612161993980408,0.48854726552963257,1,1,35,0,14.8,648,291,2,1,7.9,39.2,2021-04-03T11:30:00Z,90,5,0,0,0,0,30,0,26943,5,2,25.0,9,-6161,1266,7427,60,False,1
7,0,1,0.09593557566404343,90,FW,Crystal Palace,West Bromwich Albion,1,0,2021-03-13,14706,2020,456357,0.0668288841843605,0,2,0,0.09593557566404343,0.0668288841843605,0,0,0,7,0,26.0,648,270,1,0,5.5,9.6,2021-03-13T15:00:00Z,90,6,0,0,0,0,28,0,47264,0,1,19.0,2,-9979,3181,13160,60,False,0
8,0,4,0.5980896949768066,85,FW,West Bromwich Albion,Newcastle United,0,0,2021-03-07,14703,2020,454997,0,0,0,0,0.5980896949768066,0.5086362957954407,0.03133288770914078,0,0,-4,1,4.3,648,267,0,0,5.2,3.6,2021-03-07T12:00:00Z,83,14,0,0,0,0,27,0,57017,0,0,44.0,2,-4389,6292,10681,60,True,0
9,0,3,0.5945284366607666,90,FW,West Bromwich Albion,Everton,0,1,2021-03-04,14723,2020,454202,0,0,0,0,0.5945284366607666,0.6436813473701477,0.04915286973118782,0,0,-7,0,2.9,648,287,1,0,4.7,2.2,2021-03-04T18:00:00Z,90,7,0,0,0,0,26,0,62672,1,0,42.0,2,27540,35898,8358,60,True,0
