,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.09922292828559875,90,AMC,Arsenal,West Ham,1,0,2020-03-07,11923,2019,387760,0.5518965125083923,1,1,0,0.09922292828559875,1.0415858030319214,0.3904663026332855,1.0,,,,0.0,23.0,1.0,,,18.1,,,15.0,,,281.0,,0.0,0.0,6.6,,19.4,,2020-03-07T15:00:00Z,,,,88.0,,,19.0,0.0,,0.0,0.0,,0.0,29.0,0.0,115775.0,,,,0.0,1.0,28.0,6.0,23726.0,28433.0,4707.0,72.0,True,,0.0
1,0,0,0,87,AMC,Arsenal,Everton,3,2,2020-02-23,11903,2019,387353,0.029940921813249588,0,1,0,0,0.10339948534965515,0.10339948534965515,0.0,,,,0.0,13.0,0.0,,,18.1,,,15.0,,,261.0,,2.0,0.0,2.7,,6.6,,2020-02-23T16:30:00Z,,,,81.0,,,8.0,0.0,,0.0,0.0,,0.0,27.0,0.0,87905.0,,,,2.0,3.0,2.0,2.0,8246.0,11778.0,3532.0,72.0,True,,0.0
2,1,1,0.6042286157608032,90,AMC,Arsenal,Newcastle United,4,0,2020-02-16,11893,2019,387050,0.1596089005470276,0,4,1,0.6042286157608032,2.3074731826782227,2.2359371185302734,0.0,,,,0.0,32.0,1.0,,,47.6,,,15.0,,,251.0,,0.0,1.0,11.4,,45.6,,2020-02-16T16:30:00Z,,,,90.0,,,13.0,0.0,,0.0,0.0,,0.0,26.0,0.0,78496.0,,,,0.0,4.0,21.0,8.0,-2882.0,2755.0,5637.0,72.0,True,,0.0
3,0,1,0.018836161121726036,64,AMC,Burnley,Arsenal,0,0,2020-02-02,11884,2019,386816,0.1512596160173416,0,2,0,0.018836161121726036,0.8466518521308899,0.8278157114982605,0.0,,,,0.0,11.0,1.0,,,27.8,,,15.0,,,242.0,,0.0,0.0,4.6,,5.8,,2020-02-02T14:00:00Z,,,,62.0,,,5.0,0.0,,0.0,0.0,,0.0,25.0,0.0,80818.0,,,,0.0,0.0,12.0,2.0,-2678.0,5854.0,8532.0,72.0,False,,1.0
4,0,0,0,57,AMC,Chelsea,Arsenal,2,2,2020-01-21,11881,2019,386439,0,0,0,0,0,0,0,0.0,,,,0.0,9.0,0.0,,,3.1,,,15.0,,,238.0,,1.0,0.0,0.8,,4.4,,2020-01-21T20:15:00Z,,,,54.0,,,6.0,0.0,,0.0,0.0,,0.0,24.0,0.0,81530.0,,,,2.0,2.0,0.0,1.0,-7671.0,2700.0,10371.0,72.0,False,,0.0
5,0,0,0,90,AMC,Arsenal,Sheffield United,1,1,2020-01-18,11863,2019,386152,0.10084813833236694,0,4,0,0,0.08828134834766388,0.02573254704475403,0.0,,,,0.0,17.0,0.0,,,53.3,,,15.0,,,221.0,,1.0,0.0,7.2,,17.0,,2020-01-18T15:00:00Z,,,,90.0,,,15.0,0.0,,0.0,0.0,,0.0,23.0,0.0,89406.0,,,,1.0,1.0,2.0,2.0,-1090.0,9262.0,10352.0,72.0,True,,0.0
6,0,0,0,72,AMC,Crystal Palace,Arsenal,1,1,2020-01-11,11859,2019,385788,0,0,0,0,0,0.4340868890285492,0.4340868890285492,0.0,,,,0.0,2.0,0.0,,,5.0,,,15.0,,,214.0,,1.0,0.0,0.9,,3.6,,2020-01-11T12:30:00Z,,,,69.0,,,7.0,0.0,,0.0,0.0,,0.0,22.0,0.0,89457.0,,,,1.0,1.0,0.0,2.0,18872.0,24692.0,5820.0,72.0,False,,0.0
7,0,0,0,90,AMC,Arsenal,Manchester United,2,0,2020-01-01,11844,2019,385692,0.10934433341026306,0,1,0,0,0.45669421553611755,0.3473498821258545,0.0,,,,0.0,12.0,1.0,,,17.8,,,15.0,,,201.0,,0.0,0.0,2.5,,7.6,,2020-01-01T20:00:00Z,,,,90.0,,,12.0,0.0,,0.0,0.0,,0.0,21.0,0.0,67976.0,,,,0.0,2.0,0.0,3.0,2907.0,7152.0,4245.0,72.0,True,,0.0
8,0,0,0,81,AMC,Arsenal,Chelsea,1,2,2019-12-29,11833,2019,372871,0.1416093409061432,0,2,0,0,0,0,0.0,,,,0.0,10.0,1.0,,,36.7,,,15.0,,,191.0,,0.0,0.0,4.3,,5.8,,2019-12-29T14:00:00Z,,,,75.0,,,6.0,0.0,,0.0,0.0,,0.0,20.0,0.0,64087.0,,,,2.0,1.0,0.0,3.0,2453.0,4909.0,2456.0,72.0,True,,0.0
9,0,1,0.10856615006923676,76,AMC,Bournemouth,Arsenal,1,1,2019-12-26,11824,2019,372443,0.23061028122901917,0,4,0,0.10856615006923676,0.37582239508628845,0.18783114850521088,0.0,,,,0.0,11.0,0.0,,,50.8,,,15.0,,,182.0,,1.0,0.0,8.9,,12.6,,2019-12-26T15:00:00Z,,,,74.0,,,3.0,0.0,,0.0,0.0,,0.0,19.0,0.0,60856.0,,,,1.0,1.0,26.0,2.0,-917.0,4299.0,5216.0,72.0,False,,0.0
10,0,0,0,62,AMC,Arsenal,Manchester City,0,3,2019-12-15,11803,2019,370548,0.01625446416437626,0,1,0,0,0.09492364525794983,0.07866918295621872,0.0,,,,0.0,7.0,0.0,,,13.8,,,15.0,,,161.0,,3.0,0.0,1.9,,3.4,,2019-12-15T16:30:00Z,,,,58.0,,,11.0,0.0,,0.0,0.0,,0.0,17.0,0.0,62337.0,,,,3.0,0.0,2.0,1.0,-4531.0,2738.0,7269.0,72.0,True,,0.0
11,0,1,0.5385627746582031,90,AMC,West Ham,Arsenal,1,3,2019-12-09,11802,2019,369431,0.12323779612779617,0,2,0,0.5385627746582031,0.6014970541000366,0.06293429434299469,0.0,,,,0.0,9.0,0.0,,,31.3,,,15.0,,,160.0,,1.0,0.0,4.8,,7.2,,2019-12-09T20:00:00Z,,,,90.0,,,19.0,0.0,,0.0,0.0,,0.0,16.0,0.0,65997.0,,,,3.0,1.0,9.0,2.0,627.0,4639.0,4012.0,72.0,False,,0.0
12,0,1,0.09863805770874023,90,AML,Arsenal,Brighton,1,2,2019-12-05,11783,2019,367839,0.0393490269780159,1,2,0,0.09863805770874023,0.5214943885803223,0.42285630106925964,1.0,,,,0.0,17.0,0.0,,,35.2,,,15.0,,,141.0,,2.0,0.0,6.7,,19.8,,2019-12-05T20:15:00Z,,,,90.0,,,4.0,0.0,,0.0,0.0,,0.0,15.0,0.0,64873.0,,,,2.0,1.0,12.0,5.0,5194.0,7085.0,1891.0,72.0,True,,0.0
13,0,2,0.1917468011379242,90,AML,Norwich,Arsenal,2,2,2019-12-01,11781,2019,366804,0.11946110427379608,0,4,0,0.1917468011379242,0.28383204340934753,0.09208522737026215,1.0,,,,1.0,26.0,0.0,,,71.3,,,15.0,,,137.0,,2.0,0.0,12.7,,16.4,,2019-12-01T14:00:00Z,,,,88.0,,,14.0,0.0,,0.0,0.0,,0.0,14.0,0.0,58780.0,,,,2.0,2.0,39.0,6.0,-82.0,3950.0,4032.0,72.0,False,,0.0
14,0,1,0.04847196117043495,90,AMC,Arsenal,Southampton,2,2,2019-11-23,11763,2019,364828,0.259228378534317,0,4,0,0.04847196117043495,0.21660807728767395,0.1681361198425293,0.0,,,,0.0,16.0,0.0,,,60.7,,,15.0,,,121.0,,2.0,0.0,10.6,,20.0,,2019-11-23T15:00:00Z,,,,90.0,,,16.0,0.0,,0.0,0.0,,0.0,13.0,0.0,58599.0,,,,2.0,2.0,25.0,2.0,6079.0,8869.0,2790.0,72.0,True,,0.0
