,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,1,2,0.5033890604972839,7,Sub,West Ham,Fulham,3,1,2022-10-09,18301,2022,554750,0,0,0,1,0.5033890604972839,0.5033890604972839,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,3,0.2677573561668396,20,Sub,West Ham,Wolverhampton Wanderers,2,0,2022-10-01,18291,2022,552620,0,0,0,0,0.2677573561668396,0.3390143811702728,0.07125702500343323,0.0,,,,0.0,0.0,0.0,,,1.0,,,458.0,,,90.0,,0.0,0.0,5.9,,3.4,,2022-10-01T16:30:00Z,,,,24.0,,,20.0,0.0,,0.0,0.0,,0.0,9.0,0.0,196671.0,,,,0.0,2.0,55.0,1.0,-2174.0,13365.0,15539.0,72.0,True,,0.0
2,0,2,0.09677906334400177,71,FW,Everton,West Ham,1,0,2022-09-18,18277,2022,551404,0.06769486516714096,0,1,0,0.09677906334400177,0.16447393596172333,0.06769486516714096,0.0,,,,0.0,7.0,0.0,,,14.6,,,458.0,,,75.0,,1.0,0.0,5.6,,6.4,,2022-09-18T13:15:00Z,,,,69.0,,,8.0,0.0,,0.0,0.0,,0.0,8.0,0.0,197740.0,,,,0.0,1.0,35.0,2.0,96.0,8369.0,8273.0,72.0,False,,0.0
3,1,1,0.9437838196754456,76,FW,Chelsea,West Ham,2,1,2022-09-03,18260,2022,547271,0,0,0,1,0.9437838196754456,0,0,0.0,,,,0.0,18.0,1.0,,,0.3,,,458.0,,,54.0,,0.0,1.0,7.4,,35.0,,2022-09-03T14:00:00Z,,,,73.0,,,6.0,0.0,,0.0,0.0,,0.0,6.0,0.0,200611.0,,,,1.0,2.0,39.0,5.0,-29346.0,8307.0,37653.0,72.0,False,,1.0
4,0,1,0.04901276156306267,90,FW,West Ham,Tottenham,1,1,2022-08-31,18249,2022,546416,0.4329502284526825,1,1,0,0.04901276156306267,0.500781774520874,0.018818771466612816,1.0,,,,0.0,16.0,0.0,,,12.6,,,458.0,,,47.0,,1.0,0.0,3.7,,18.2,,2022-08-31T18:45:00Z,,,,90.0,,,18.0,0.0,,0.0,0.0,,0.0,5.0,0.0,225863.0,,,,1.0,1.0,6.0,5.0,-48079.0,4496.0,52575.0,73.0,True,,0.0
5,0,0,0,24,Sub,Aston Villa,West Ham,0,1,2022-08-28,18239,2022,545263,0,0,0,0,0,0,0,0.0,,,,0.0,2.0,0.0,,,1.2,,,458.0,,,32.0,,0.0,0.0,0.5,,1.6,,2022-08-28T13:00:00Z,,,,25.0,,,2.0,0.0,,0.0,0.0,,0.0,4.0,0.0,270009.0,,,,1.0,0.0,2.0,1.0,-54087.0,11583.0,65670.0,73.0,False,,0.0
6,0,0,0,77,FW,West Ham,Brighton,0,2,2022-08-21,18229,2022,542926,0.04448544979095459,0,1,0,0,0.04448544979095459,0,0.0,,,,0.0,4.0,0.0,,,11.1,,,458.0,,,30.0,,2.0,0.0,1.9,,1.6,,2022-08-21T13:00:00Z,,,,74.0,,,5.0,0.0,,0.0,0.0,,0.0,3.0,0.0,314428.0,,,,2.0,0.0,6.0,2.0,-71167.0,23797.0,94964.0,74.0,True,,0.0
7,0,2,0.2250918596982956,72,FW,Nottingham Forest,West Ham,1,0,2022-08-14,18219,2022,541277,0.03595101833343506,0,2,0,0.2250918596982956,0.26104286313056946,0,0.0,,,,0.0,7.0,0.0,,,20.6,,,458.0,,,18.0,,1.0,0.0,4.3,,4.4,,2022-08-14T13:00:00Z,,,,68.0,,,16.0,0.0,,0.0,0.0,,0.0,2.0,0.0,374287.0,,,,0.0,1.0,18.0,2.0,-58785.0,29672.0,88457.0,75.0,False,,0.0
8,0,2,0.1107783392071724,61,FW,West Ham,Manchester City,0,2,2022-08-07,18211,2022,540071,0,0,0,0,0.1107783392071724,0,0,0.0,,,,0.0,1.0,0.0,,,0.3,,,458.0,,,10.0,,1.0,0.0,2.0,,0.0,,2022-08-07T15:30:00Z,,,,56.0,,,13.0,0.0,,0.0,0.0,,0.0,1.0,0.0,393620.0,,,,2.0,0.0,22.0,1.0,0.0,0.0,0.0,75.0,True,,0.0
9,1,1,0.04742542281746864,90,FW,Brighton,West Ham,3,1,2022-05-22,16748,2021,537739,0,0,0,1,0.04742542281746864,0.04742542281746864,0,0.0,,,,1.0,23.0,0.0,,,0.0,,,413.0,,,373.0,,3.0,1.0,0.0,,0.0,,2022-05-22T15:00:00Z,,,,90.0,,,4.0,0.0,,0.0,0.0,,0.0,38.0,0.0,2226371.0,,,,1.0,3.0,0.0,7.0,42977.0,71060.0,28083.0,73.0,False,,0.0
10,0,1,0.2621888816356659,90,FW,West Ham,Manchester City,2,2,2022-05-15,16737,2021,536178,0.07901854068040848,1,1,0,0.2621888816356659,0.4154347777366638,0.07422737032175064,1.0,,,,0.0,12.0,0.0,,,17.8,,,413.0,,,369.0,,2.0,0.0,4.5,,19.8,,2022-05-15T13:00:00Z,,,,90.0,,,12.0,0.0,,0.0,0.0,,0.0,37.0,0.0,2158457.0,,,,2.0,2.0,7.0,5.0,-109857.0,3303.0,113160.0,74.0,True,,0.0
11,1,2,0.6424357891082764,49,FW,Norwich,West Ham,0,4,2022-05-08,16726,2021,533388,0.11108700931072235,0,1,1,0.6424357891082764,0.7757628560066223,0.02224005199968815,0.0,,,,0.0,27.0,0.0,,,11.0,,,413.0,,,360.0,,0.0,1.0,10.3,,35.0,,2022-05-08T13:00:00Z,,,,45.0,,,15.0,0.0,,0.0,0.0,,0.0,36.0,0.0,2272720.0,,,,4.0,0.0,57.0,5.0,-113373.0,10838.0,124211.0,74.0,False,,0.0
12,0,0,0,18,Sub,West Ham,Arsenal,1,2,2022-05-01,16717,2021,531332,0,0,0,0,0,0.05788588896393776,0.05788588896393776,0.0,,,,0.0,0.0,0.0,,,0.3,,,413.0,,,349.0,,0.0,0.0,0.1,,0.0,,2022-05-01T15:30:00Z,,,,19.0,,,1.0,0.0,,0.0,0.0,,0.0,35.0,0.0,2396183.0,,,,2.0,1.0,2.0,1.0,-103927.0,8775.0,112702.0,74.0,True,,0.0
13,0,7,0.779312252998352,90,FW,West Ham,Burnley,1,1,2022-04-17,16697,2021,526982,0,0,0,0,0.779312252998352,0.9132657647132874,0.1339534968137741,0.0,,,,0.0,0.0,0.0,,,1.7,,,413.0,,,329.0,,1.0,0.0,10.3,,8.4,,2022-04-17T13:15:00Z,,,,90.0,,,5.0,0.0,,0.0,0.0,,0.0,33.0,0.0,2600050.0,,,,1.0,1.0,93.0,2.0,-97045.0,23836.0,120881.0,75.0,True,,0.0
14,0,0,0,69,FW,Brentford,West Ham,2,0,2022-04-10,16693,2021,525144,0,0,0,0,0,0,0,0.0,,,,0.0,-2.0,0.0,,,7.0,,,413.0,,,313.0,,2.0,0.0,0.5,,0.0,,2022-04-10T13:00:00Z,,,,65.0,,,3.0,0.0,,0.0,0.0,,0.0,32.0,0.0,2716476.0,,,,0.0,2.0,2.0,1.0,14539.0,64191.0,49652.0,75.0,False,,1.0
15,0,3,0.8323334455490112,90,FW,West Ham,Everton,2,1,2022-04-03,16677,2021,523445,0.11833567172288895,0,3,0,0.8323334455490112,0.9506691694259644,0.03130796179175377,1.0,,,,0.0,12.0,0.0,,,32.7,,,413.0,,,309.0,,1.0,0.0,9.4,,12.2,,2022-04-03T13:00:00Z,,,,90.0,,,8.0,0.0,,0.0,0.0,,0.0,31.0,0.0,2698131.0,,,,1.0,2.0,49.0,5.0,20158.0,104089.0,83931.0,75.0,True,,0.0
16,0,3,0.1819794476032257,58,FW,Tottenham,West Ham,3,1,2022-03-20,16673,2021,522075,0,0,0,0,0.1819794476032257,0.1819794476032257,0.0366533026099205,0.0,,,,0.0,2.0,0.0,,,1.5,,,413.0,,,298.0,,2.0,0.0,1.5,,0.0,,2022-03-20T16:30:00Z,,,,55.0,,,17.0,0.0,,0.0,0.0,,0.0,30.0,0.0,2624842.0,,,,1.0,3.0,17.0,1.0,-70782.0,38666.0,109448.0,75.0,False,,0.0
17,0,0,0,58,FW,West Ham,Aston Villa,2,1,2022-03-13,16665,2021,520074,0.021914349868893623,0,1,0,0,0.021914349868893623,0.021914349868893623,0.0,,,,0.0,3.0,0.0,,,11.0,,,413.0,,,290.0,,0.0,0.0,2.4,,3.4,,2022-03-13T14:00:00Z,,,,51.0,,,2.0,0.0,,0.0,0.0,,0.0,29.0,0.0,2711253.0,,,,1.0,2.0,10.0,1.0,-125619.0,34192.0,159811.0,75.0,True,,0.0
18,0,4,0.23649050295352936,90,FW,Liverpool,West Ham,1,0,2022-03-05,16649,2021,517778,0,0,0,0,0.23649050295352936,0.23649050295352936,0,0.0,,,,0.0,4.0,0.0,,,2.0,,,413.0,,,274.0,,1.0,0.0,5.4,,6.8,,2022-03-05T17:30:00Z,,,,90.0,,,11.0,0.0,,0.0,0.0,,0.0,28.0,0.0,2814508.0,,,,0.0,1.0,45.0,2.0,-277255.0,26914.0,304169.0,76.0,False,,0.0
19,0,2,0.08935072273015976,90,FW,West Ham,Wolverhampton Wanderers,1,0,2022-02-27,16645,2021,516496,0.8251616954803467,1,4,0,0.08935072273015976,0.9624754190444946,0.06649649143218994,1.0,,,,0.0,22.0,1.0,,,43.0,,,413.0,,,270.0,,0.0,0.0,10.5,,29.4,,2022-02-27T14:00:00Z,,,,90.0,,,20.0,0.0,,0.0,0.0,,0.0,27.0,0.0,3024993.0,,,,0.0,1.0,33.0,4.0,-135595.0,46620.0,182215.0,77.0,True,,1.0
20,0,3,0.17242084443569183,90,FW,West Ham,Newcastle United,1,1,2022-02-19,16634,2021,513946,0,0,0,0,0.17242084443569183,0.2682901620864868,0.09586931765079498,0.0,,,,0.0,5.0,0.0,,,3.2,,,413.0,,,259.0,,1.0,0.0,3.8,,6.6,,2022-02-19T12:30:00Z,,,,90.0,,,14.0,0.0,,0.0,0.0,,0.0,26.0,0.0,3155345.0,,,,1.0,1.0,28.0,2.0,-210912.0,68627.0,279539.0,77.0,True,,0.0
21,0,0,0,90,FW,Leicester,West Ham,2,2,2022-02-13,16620,2021,513506,0,0,0,0,0,0.04296322166919708,0.04296322166919708,0.0,,,,0.0,6.0,0.0,,,3.6,,,413.0,,,245.0,,2.0,0.0,1.5,,5.0,,2022-02-13T16:30:00Z,,,,90.0,,,9.0,0.0,,0.0,0.0,,0.0,25.0,0.0,3447545.0,,,,2.0,2.0,6.0,2.0,-175300.0,76234.0,251534.0,78.0,False,,0.0
22,0,0,0,90,FW,West Ham,Watford,1,0,2022-02-08,16610,2021,512100,0,0,0,0,0,0,0,0.0,,,,0.0,2.0,1.0,,,2.0,,,413.0,,,235.0,,0.0,0.0,1.0,,2.4,,2022-02-08T19:45:00Z,,,,90.0,,,18.0,0.0,,0.0,0.0,,0.0,24.0,0.0,3628246.0,,,,0.0,1.0,6.0,2.0,-118129.0,135266.0,253395.0,79.0,True,,0.0
