,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,id_y,key_passes_y,kickoff_time_formatted,loaned_in,loaned_out,offside,open_play_crosses,penalties_conceded,recoveries,tackled,tackles,target_missed,winning_goals
0,1,4,0.8996745944023132,86,FWR,Newcastle United,Brentford,5,1,2022-10-08,18299,2022,554094,0.015089403837919235,0,1,1,0.8996745944023132,0.9731048941612244,0.0998036339879036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,4,1.3932315111160278,90,FWR,Fulham,Newcastle United,1,4,2022-10-01,18285,2022,552383,0,0,0,2,1.3932315111160278,1.4446775913238525,0.15963681042194366,0.0,3.0,48.0,0.0,6.7,369.0,84.0,1.0,2.0,16.9,70.0,2022-10-01T14:00:00Z,90.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,257304.0,4.0,1.0,92.0,15.0,-24451.0,21375.0,45826.0,50.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
2,0,2,0.11117078363895416,90,FWR,Newcastle United,Bournemouth,1,1,2022-09-17,18275,2022,550682,0.052193135023117065,0,1,0,0.11117078363895416,0.22004824876785278,0.10887746512889862,0.0,0.0,12.0,0.0,18.3,369.0,77.0,1.0,0.0,7.5,11.2,2022-09-17T14:00:00Z,88.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,319190.0,1.0,1.0,45.0,2.0,93728.0,113343.0,19615.0,50.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
3,0,3,0.27812430262565613,72,FWR,Newcastle United,Crystal Palace,0,0,2022-09-03,18253,2022,547283,0.08526255935430527,0,1,0,0.27812430262565613,0.18829911947250366,0.1697150468826294,0.0,0.0,4.0,1.0,12.9,369.0,57.0,0.0,0.0,3.7,7.4,2022-09-03T14:00:00Z,69.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,189404.0,0.0,0.0,17.0,3.0,34093.0,56775.0,22682.0,50.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,88,FWR,Liverpool,Newcastle United,2,1,2022-08-31,18250,2022,546454,0,0,0,0,0,0.04934601113200188,0.04934601113200188,0.0,0.0,9.0,0.0,1.6,369.0,48.0,1.0,0.0,0.7,5.2,2022-08-31T19:00:00Z,83.0,12.0,0.0,0.0,0.0,0.0,5.0,0.0,149055.0,1.0,2.0,0.0,2.0,-7524.0,21559.0,29083.0,50.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
5,0,3,0.19270342588424683,86,FWR,Wolverhampton Wanderers,Newcastle United,1,1,2022-08-28,18240,2022,545100,0,0,0,0,0.19270342588424683,0.33100271224975586,0.21576891839504242,0.0,0.0,10.0,0.0,4.6,369.0,40.0,1.0,0.0,5.7,4.2,2022-08-28T13:00:00Z,83.0,20.0,0.0,0.0,0.0,0.0,4.0,0.0,155644.0,1.0,1.0,48.0,2.0,30973.0,53094.0,22121.0,50.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
6,1,3,0.924450159072876,87,FWR,Newcastle United,Manchester City,3,3,2022-08-21,18230,2022,543269,0.12759990990161896,0,1,1,0.924450159072876,1.052049994468689,0,0.0,0.0,19.0,0.0,11.5,369.0,28.0,3.0,1.0,10.2,31.2,2022-08-21T15:30:00Z,82.0,13.0,0.0,0.0,0.0,0.0,3.0,0.0,116140.0,3.0,3.0,59.0,7.0,-14210.0,18169.0,32379.0,50.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
7,0,1,0.04148489981889725,90,FWR,Brighton,Newcastle United,0,0,2022-08-13,18213,2022,540695,0,0,0,0,0.04148489981889725,0.04148489981889725,0,0.0,0.0,8.0,1.0,2.3,369.0,14.0,0.0,0.0,2.3,14.4,2022-08-13T14:00:00Z,90.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,127545.0,0.0,0.0,6.0,3.0,7683.0,20856.0,13173.0,50.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
8,0,1,0.06405009329319,83,FWR,Newcastle United,Nottingham Forest,2,0,2022-08-06,18206,2022,539460,0.265885591506958,0,2,0,0.06405009329319,0.3520233929157257,0.17234563827514648,0.0,0.0,16.0,1.0,30.7,369.0,7.0,0.0,0.0,8.5,15.4,2022-08-06T14:00:00Z,80.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,108734.0,0.0,2.0,39.0,3.0,0.0,0.0,0.0,50.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
9,0,1,0.07271868735551834,90,FWR,Burnley,Newcastle United,1,2,2022-05-22,16749,2021,537764,0,0,0,0,0.07271868735551834,0.6116759181022644,0.5389572381973267,0.0,0.0,6.0,0.0,0.0,308.0,374.0,1.0,0.0,0.0,0.0,2022-05-22T15:00:00Z,88.0,5.0,0.0,0.0,0.0,0.0,38.0,0.0,21725.0,2.0,1.0,0.0,2.0,696.0,1237.0,541.0,50.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
