,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,2,0.17560166120529175,90,MC,Real Sociedad,Villarreal,1,0,2022-10-09,19038,2022,555176,0.17923739552497864,1,1,0,0.17560166120529175,0.11105503141880035,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0.10803458839654922,90,MC,Girona,Real Sociedad,3,5,2022-10-02,19025,2022,553434,0.5747923254966736,1,1,0,0.10803458839654922,1.553722620010376,1.553722620010376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,1,0.0588090717792511,90,MC,Real Sociedad,Espanyol,2,1,2022-09-18,19018,2022,551659,0.7435389161109924,1,4,0,0.0588090717792511,0.9007749557495117,0.17320509254932404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,3,0.12962692975997925,90,MC,Getafe,Real Sociedad,2,1,2022-09-11,19004,2022,549979,0.4396499991416931,0,3,0,0.12962692975997925,0.8220853209495544,0.6124337315559387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,3,0.5504464507102966,90,MC,Real Sociedad,Atletico Madrid,1,1,2022-09-03,18994,2022,547459,0.08250325918197632,0,3,0,0.5504464507102966,1.2735053300857544,0.6405556201934814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,1,0.7432776093482971,90,MC,Elche,Real Sociedad,0,1,2022-08-27,18984,2022,544633,0.05031657591462135,0,1,0,0,0.4779419004917145,0.4276253283023834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,2,0.10730186104774475,80,MC,Real Sociedad,Barcelona,1,4,2022-08-21,18979,2022,543635,0,0,0,0,0.10730186104774475,0.10730186104774475,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,2,0.43717849254608154,79,DMC,Cadiz,Real Sociedad,0,1,2022-08-14,18966,2022,541488,0.49571532011032104,1,2,0,0.43717849254608154,0.8556420207023621,0.03595883026719093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,2,0.2597789466381073,90,MC,Real Sociedad,Atletico Madrid,1,2,2022-05-22,17511,2021,538261,0.08031505346298218,0,2,0,0.2597789466381073,0.08031505346298218,0.04763805493712425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,1,0.04650433361530304,90,MC,Villarreal,Real Sociedad,1,2,2022-05-15,17505,2021,536612,0,0,0,0,0.04650433361530304,0.5889825224876404,0.5424782037734985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,3,0.29214322566986084,90,MC,Real Sociedad,Cadiz,3,0,2022-05-12,17491,2021,534952,0,0,0,0,0.29214322566986084,0.986671507358551,0.6945282816886902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,1,0.034375060349702835,90,MC,Levante,Real Sociedad,2,1,2022-05-06,17484,2021,531955,0.5197972059249878,0,3,0,0.034375060349702835,0.5424774885177612,0.29975205659866333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,0,0,90,MC,Rayo Vallecano,Real Sociedad,1,1,2022-05-01,17474,2021,531429,0.045586198568344116,0,1,0,0,0.09369952231645584,0.09369952231645584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,0,0,90,MC,Real Sociedad,Barcelona,0,1,2022-04-21,17464,2021,528283,0.011583518236875534,0,1,0,0,0.07083958387374878,0.05925606191158295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,1,0.01046539843082428,90,MC,Real Sociedad,Real Betis,0,0,2022-04-15,17452,2021,525979,0,0,0,0,0.01046539843082428,0.46384960412979126,0.4533841907978058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,1,0.5788819789886475,90,MC,Elche,Real Sociedad,1,2,2022-04-10,17445,2021,525654,0,0,0,0,0.5788819789886475,0.5788819789886475,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,0,0,18,Sub,Real Sociedad,Espanyol,1,0,2022-04-04,17434,2021,523983,0.04414372518658638,0,1,0,0,0.08470593392848969,0.040562208741903305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,0,0,65,MC,Sevilla,Real Sociedad,0,0,2022-03-20,17423,2021,522193,0.04701344296336174,0,1,0,0,0.04701344296336174,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,2,0.3791818618774414,90,MC,Real Sociedad,Alaves,1,0,2022-03-13,17413,2021,520427,0.4958494007587433,0,2,0,0.3791818618774414,1.6495311260223389,0.8638599514961243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,0,0,90,MC,Real Madrid,Real Sociedad,4,1,2022-03-05,17403,2021,517895,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,3,0.3637672960758209,88,DMC,Mallorca,Real Sociedad,0,2,2022-03-02,17341,2021,517116,0.5923758149147034,1,3,1,0.3637672960758209,0.9744865894317627,0.7478950619697571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,1,0.02746007964015007,90,DMC,Real Sociedad,Osasuna,1,0,2022-02-27,17392,2021,516854,0.027035757899284363,0,1,0,0.02746007964015007,0.17324064671993256,0.1462048888206482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,2,0.06172254681587219,64,DMC,Athletic Club,Real Sociedad,4,0,2022-02-20,17376,2021,515213,0,0,0,0,0.06172254681587219,0.13562718033790588,0.119777150452137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,4,1.227070927619934,90,DMC,Real Sociedad,Granada,2,0,2022-02-13,17372,2021,513579,0,0,0,0,1.227070927619934,2.0563910007476807,0.9066486954689026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,0,0,90,MC,Valencia,Real Sociedad,0,0,2022-02-06,17364,2021,511506,0,0,0,0,0,0.13490276038646698,0.13490276038646698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
