,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.13756217062473297,53,Sub,Swansea,Bournemouth,0,3,2016-12-31,3161,2016,130885,0.01149403303861618,0,1,0,0.13756217062473297,0.08201824128627777,0.07052420824766159,0.0,19.0,0.0,0.0,0.0,8.0,0.0,1.0,14.0,17.3,2.0,0.0,379.0,0.0,0.0,189.0,0.0,2.0,0.0,4.0,10985.0,7.4,1.0,2016-12-31T15:00:00Z,31 Dec 15:00,0.0,0.0,53.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,58621.0,1.0,2.0,1.0,3.0,0.0,15.0,1.0,-4659.0,1233.0,5892.0,50.0,True,0.0,0.0
1,0,0,0,63,AMR,Middlesbrough,Swansea,3,0,2016-12-17,3136,2016,131923,0,0,0,0,0,0,0,0.0,11.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,10.4,1.0,0.0,379.0,0.0,0.0,165.0,0.0,3.0,0.0,1.7,9751.0,4.4,0.0,2016-12-17T15:00:00Z,17 Dec 15:00,0.0,0.0,58.0,1.0,2.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,62263.0,2.0,0.0,0.0,0.0,3.0,2.0,1.0,2521.0,6879.0,4358.0,50.0,False,0.0,0.0
2,0,0,0,25,Sub,West Bromwich Albion,Swansea,3,1,2016-12-15,3131,2016,131148,0.09558967500925064,0,1,0,0,0.6180801391601562,0.5224905014038086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,2,0.12585578858852386,79,AML,Swansea,Sunderland,3,0,2016-12-10,3117,2016,130361,0,0,0,0,0.12585578858852386,0.14898552000522614,0.023129727691411972,0.0,23.0,0.0,0.0,0.0,9.0,1.0,1.0,16.0,2.7,3.0,0.0,379.0,0.0,0.0,147.0,1.0,0.0,0.0,3.6,8527.0,8.8,0.0,2016-12-10T15:00:00Z,10 Dec 15:00,0.0,0.0,76.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,3.0,0.0,15.0,0.0,60276.0,1.0,1.0,1.0,0.0,3.0,24.0,2.0,-1519.0,4689.0,6208.0,50.0,True,0.0,0.0
4,0,0,0,73,FWR,Tottenham,Swansea,5,0,2016-12-03,3109,2016,128915,0,0,0,0,0,0,0,0.0,9.0,0.0,0.0,0.0,-2.0,0.0,1.0,6.0,0.3,0.0,0.0,379.0,0.0,0.0,138.0,1.0,4.0,0.0,0.0,7922.0,0.0,0.0,2016-12-03T15:00:00Z,03 Dec 15:00,0.0,0.0,70.0,3.0,0.0,17.0,0.0,0.0,0.0,0.0,4.0,0.0,14.0,0.0,61393.0,5.0,0.0,0.0,0.0,5.0,0.0,2.0,-6118.0,1969.0,8087.0,50.0,False,0.0,0.0
5,0,1,0.06394129991531372,83,FWR,Swansea,Crystal Palace,5,4,2016-11-26,2709,2016,128243,0.044949669390916824,0,1,0,0.06394129991531372,0.10889097303152084,0.044949669390916824,0.0,24.0,0.0,0.0,0.0,6.0,0.0,1.0,17.0,15.1,2.0,0.0,379.0,0.0,0.0,129.0,0.0,2.0,0.0,4.0,7318.0,4.6,1.0,2016-11-26T15:00:00Z,26 Nov 15:00,0.0,0.0,79.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,67274.0,3.0,1.0,1.0,4.0,5.0,20.0,2.0,-3560.0,3482.0,7042.0,50.0,True,0.0,0.0
6,0,0,0,83,FWR,Everton,Swansea,1,1,2016-11-19,2702,2016,128339,0.06297297030687332,0,1,0,0,0.06297297030687332,0.06297297030687332,0.0,21.0,0.0,0.0,0.0,-3.0,1.0,0.0,17.0,15.6,1.0,0.0,379.0,0.0,0.0,112.0,2.0,0.0,0.0,1.3,6717.0,0.0,1.0,2016-11-19T15:00:00Z,19 Nov 15:00,0.0,0.0,80.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,12.0,0.0,70558.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,4100.0,11921.0,7821.0,50.0,False,0.0,1.0
7,0,1,0.04857354983687401,43,Sub,Swansea,Manchester United,1,3,2016-11-06,2695,2016,128163,0,0,0,0,0.04857354983687401,0.04857354983687401,0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,1.0,1.0,0.0,379.0,0.0,0.0,109.0,1.0,0.0,0.0,0.7,6118.0,2.4,0.0,2016-11-06T15:00:00Z,06 Nov 15:00,0.0,0.0,45.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,0.0,65136.0,5.0,2.0,1.0,3.0,1.0,4.0,1.0,14022.0,20191.0,6169.0,50.0,True,0.0,0.0
8,0,1,0.1140250563621521,65,AMR,Stoke,Swansea,3,1,2016-11-01,2686,2016,127785,0.025873742997646332,0,1,0,0.1140250563621521,0.13989880681037903,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,1,0.015857521444559097,90,AMR,Swansea,Watford,0,0,2016-10-22,543,2016,127412,0.5028648972511292,0,3,0,0.015857521444559097,0.7025154829025269,0.22637945413589478,0.0,34.0,1.0,0.0,0.0,15.0,1.0,0.0,25.0,45.0,2.0,0.0,379.0,0.0,0.0,89.0,4.0,0.0,0.0,7.6,4926.0,14.4,3.0,2016-10-22T14:00:00Z,22 Oct 15:00,0.0,0.0,90.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,7.0,0.0,9.0,0.0,41704.0,4.0,2.0,1.0,0.0,0.0,17.0,2.0,6736.0,9384.0,2648.0,50.0,True,0.0,0.0
