,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,90,MC,Fulham,Newcastle United,0,4,2019-05-12,9573,2018,332306,0,0,0,0,0,0.45317524671554565,0.45317524671554565,0.0,32.0,0.0,0.0,0.0,14.0,1.0,6.0,26.0,6.3,2.0,0.0,319.0,0.0,0.0,374.0,1.0,0.0,0.0,2.3,21486.0,16.4,0.0,2019-05-12T14:00:00Z,12 May 15:00,0.0,0.0,90.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,7.0,0.0,38.0,0.0,4405.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,12.0,60.0,48.0,48.0,False,0.0,0.0
1,0,1,0.08299069851636887,11,Sub,Newcastle United,Southampton,3,1,2019-04-20,9539,2018,326213,0,0,0,0,0.08299069851636887,0,0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,319.0,0.0,0.0,348.0,0.0,0.0,0.0,3.6,19489.0,2.4,0.0,2019-04-20T16:30:00Z,20 Apr 17:30,0.0,0.0,12.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,0.0,4409.0,0.0,0.0,0.0,1.0,3.0,34.0,1.0,-76.0,31.0,107.0,48.0,True,0.0,0.0
2,0,0,0,6,Sub,Leicester,Newcastle United,0,1,2019-04-12,9532,2018,323897,0,0,0,0,0,0,0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,1.0,6.0,0.5,0.0,0.0,319.0,0.0,0.0,335.0,1.0,0.0,0.0,0.2,18770.0,1.0,0.0,2019-04-12T19:00:00Z,12 Apr 20:00,0.0,0.0,8.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,0.0,4480.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-136.0,17.0,153.0,48.0,False,0.0,0.0
3,0,0,0,90,MC,Arsenal,Newcastle United,2,0,2019-04-01,9507,2018,321484,0,0,0,0,0,0,0,0.0,21.0,0.0,0.0,0.0,4.0,0.0,5.0,17.0,1.2,0.0,0.0,319.0,0.0,0.0,311.0,1.0,2.0,0.0,1.8,17597.0,17.2,0.0,2019-04-01T19:00:00Z,01 Apr 20:00,0.0,0.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,32.0,0.0,4418.0,5.0,0.0,0.0,0.0,2.0,0.0,2.0,-65.0,48.0,113.0,48.0,False,0.0,0.0
4,0,1,0.016258180141448975,88,MC,Bournemouth,Newcastle United,2,2,2019-03-16,9506,2018,316413,0,0,0,0,0.016258180141448975,0.016258180141448975,0,0.0,41.0,0.0,0.0,0.0,14.0,0.0,0.0,34.0,1.9,0.0,0.0,319.0,0.0,0.0,301.0,1.0,2.0,0.0,2.0,17008.0,10.0,0.0,2019-03-16T15:00:00Z,16 Mar 15:00,0.0,0.0,82.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,31.0,0.0,4723.0,1.0,2.0,0.0,2.0,2.0,8.0,2.0,64.0,118.0,54.0,48.0,False,0.0,0.0
5,0,2,0.06957865506410599,39,Sub,West Ham,Newcastle United,2,0,2019-03-02,9478,2018,305401,0,0,0,0,0.06957865506410599,0.2129441350698471,0.14336547255516052,0.0,26.0,0.0,0.0,0.0,5.0,0.0,2.0,24.0,2.3,0.0,0.0,319.0,0.0,0.0,289.0,1.0,0.0,0.0,2.8,15929.0,9.4,0.0,2019-03-02T17:30:00Z,02 Mar 17:30,0.0,0.0,45.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,3.0,0.0,29.0,0.0,4393.0,1.0,1.0,0.0,0.0,2.0,16.0,1.0,-17.0,54.0,71.0,48.0,False,0.0,0.0
6,0,0,0,3,Sub,Newcastle United,Burnley,2,0,2019-02-26,9473,2018,305027,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,0.0,279.0,0.0,0.0,0.0,0.2,15324.0,2.0,0.0,2019-02-26T20:00:00Z,26 Feb 20:00,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,4401.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,-32.0,47.0,79.0,48.0,True,0.0,0.0
7,0,0,0,3,Sub,Wolverhampton Wanderers,Newcastle United,1,1,2019-02-11,9450,2018,304710,0,0,0,0,0,0,0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.2,0.0,0.0,319.0,0.0,0.0,260.0,0.0,1.0,0.0,0.2,14240.0,2.2,0.0,2019-02-11T20:00:00Z,11 Feb 20:00,0.0,0.0,4.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,0.0,4250.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,-103.0,16.0,119.0,48.0,False,0.0,0.0
8,0,1,0.014680144377052784,55,MC,Newcastle United,Manchester United,0,2,2019-01-02,9399,2018,303268,0,0,0,0,0.014680144377052784,0.014680144377052784,0,0.0,19.0,0.0,0.0,0.0,8.0,0.0,0.0,12.0,0.7,2.0,0.0,319.0,0.0,0.0,208.0,0.0,0.0,0.0,1.7,11280.0,8.0,0.0,2019-01-02T20:00:00Z,02 Jan 20:00,0.0,0.0,52.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,5.0,0.0,21.0,0.0,5419.0,0.0,1.0,0.0,2.0,0.0,8.0,1.0,-115.0,78.0,193.0,49.0,True,0.0,0.0
9,0,1,0.012826183810830116,90,MC,Watford,Newcastle United,1,1,2018-12-29,9387,2018,291364,0,0,0,0,0.012826183810830116,0.5478817820549011,0.5350555777549744,0.0,28.0,0.0,0.0,0.0,16.0,0.0,5.0,22.0,7.4,1.0,0.0,319.0,0.0,0.0,200.0,1.0,1.0,0.0,3.4,10712.0,18.8,0.0,2018-12-29T15:00:00Z,29 Dec 15:00,0.0,0.0,90.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,9.0,0.0,20.0,0.0,5505.0,1.0,3.0,0.0,1.0,1.0,8.0,2.0,-154.0,96.0,250.0,49.0,False,0.0,0.0
