,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,90,DMC,Arsenal,Fulham,2,1,2022-08-27,18238,2022,544648,0,0,0,0,0,0.6661197543144226,0.6661197543144226,0.0,,,,0.0,15.0,0.0,,,3.8,,,4.0,,,31.0,,1.0,0.0,0.8,,4.2,,2022-08-27T16:30:00Z,,,,90.0,,,9.0,0.0,,0.0,0.0,,0.0,4.0,0.0,115883.0,,,,1.0,2.0,0.0,2.0,-18950.0,14683.0,33633.0,44.0,True,,0.0
1,0,2,0.04184283688664436,90,DMC,Arsenal,Everton,5,1,2022-05-22,16746,2021,537831,0,0,0,0,0.04184283688664436,0.43225517868995667,0.43225517868995667,0.0,,,,0.0,15.0,0.0,,,0.0,,,12.0,,,371.0,,1.0,0.0,0.0,,0.0,,2022-05-22T15:00:00Z,,,,90.0,,,8.0,0.0,,0.0,0.0,,0.0,38.0,0.0,34283.0,,,,1.0,5.0,0.0,2.0,633.0,1673.0,1040.0,44.0,True,,0.0
2,0,2,0.029511721804738045,90,DMC,Newcastle United,Arsenal,2,0,2022-05-16,16741,2021,536736,0.012986820191144943,0,1,0,0.029511721804738045,0.19143715500831604,0.16642726957798004,0.0,,,,0.0,14.0,0.0,,,12.3,,,12.0,,,365.0,,2.0,0.0,4.1,,14.0,,2022-05-16T19:00:00Z,,,,90.0,,,14.0,0.0,,0.0,0.0,,0.0,37.0,0.0,33512.0,,,,0.0,2.0,15.0,2.0,486.0,1733.0,1247.0,44.0,False,,0.0
3,0,0,0,90,DMC,Tottenham,Arsenal,3,0,2022-05-12,16593,2021,535027,0,0,0,0,0,0.21307145059108734,0.21307145059108734,0.0,,,,0.0,15.0,0.0,,,2.8,,,12.0,,,218.0,,3.0,0.0,1.7,,12.0,,2022-05-12T18:45:00Z,,,,90.0,,,17.0,0.0,,0.0,0.0,,0.0,36.0,0.0,32892.0,,,,0.0,3.0,2.0,2.0,1752.0,2669.0,917.0,44.0,False,,0.0
4,0,0,0,90,MC,Arsenal,Leeds,2,1,2022-05-08,16735,2021,533457,0.1089954748749733,0,1,0,0,0.9848179221153259,0.9848179221153259,0.0,,,,0.0,14.0,0.0,,,18.4,,,12.0,,,351.0,,1.0,0.0,3.6,,17.6,,2022-05-08T13:00:00Z,,,,90.0,,,10.0,0.0,,0.0,0.0,,0.0,36.0,0.0,32892.0,,,,1.0,2.0,0.0,2.0,1752.0,2669.0,917.0,44.0,True,,0.0
5,0,1,0.03170204535126686,90,MC,West Ham,Arsenal,1,2,2022-05-01,16717,2021,531339,0.1241440698504448,0,1,0,0.03170204535126686,0.2324148565530777,0.07656875252723694,0.0,,,,0.0,15.0,0.0,,,12.9,,,12.0,,,349.0,,1.0,0.0,2.5,,11.4,,2022-05-01T15:30:00Z,,,,90.0,,,19.0,0.0,,0.0,0.0,,0.0,35.0,0.0,30797.0,,,,2.0,1.0,1.0,2.0,2756.0,3170.0,414.0,44.0,False,,0.0
6,0,1,0.02043035626411438,90,DMC,Arsenal,Manchester United,3,1,2022-04-23,16715,2021,528374,0.018489520996809006,1,1,0,0.02043035626411438,0.5880056619644165,0.5490857362747192,1.0,,,,0.0,23.0,0.0,,,15.3,,,12.0,,,331.0,,1.0,0.0,5.5,,32.2,,2022-04-23T11:30:00Z,,,,90.0,,,13.0,0.0,,0.0,0.0,,0.0,34.0,0.0,27769.0,,,,1.0,3.0,7.0,4.0,506.0,734.0,228.0,44.0,True,,1.0
7,0,1,0.01759132742881775,90,DMC,Chelsea,Arsenal,2,4,2022-04-20,16618,2021,527932,0.036874521523714066,0,1,0,0.01759132742881775,0.1951439380645752,0.15826942026615143,0.0,,,,0.0,18.0,0.0,,,13.5,,,12.0,,,243.0,,2.0,0.0,3.8,,16.2,,2022-04-20T18:45:00Z,,,,90.0,,,6.0,0.0,,0.0,0.0,,0.0,33.0,0.0,27141.0,,,,4.0,2.0,8.0,2.0,-92.0,149.0,241.0,44.0,False,,0.0
8,0,0,0,4,Sub,Arsenal,Manchester City,1,2,2022-01-01,16576,2021,505464,0,0,0,0,0,0,0,0.0,,,,0.0,3.0,0.0,,,0.8,,,12.0,,,201.0,,1.0,0.0,0.3,,2.2,,2022-01-01T12:30:00Z,,,,6.0,,,12.0,0.0,,0.0,0.0,,0.0,21.0,0.0,31224.0,,,,2.0,1.0,0.0,1.0,-625.0,428.0,1053.0,44.0,True,,0.0
9,0,0,0,13,Sub,Norwich,Arsenal,0,5,2021-12-26,16562,2021,505090,0,0,0,0,0,0,0,0.0,,,,0.0,3.0,0.0,,,0.3,,,12.0,,,187.0,,0.0,0.0,0.2,,1.8,,2021-12-26T15:00:00Z,,,,15.0,,,15.0,0.0,,0.0,0.0,,0.0,19.0,0.0,32112.0,,,,5.0,0.0,0.0,1.0,-1429.0,660.0,2089.0,44.0,False,,0.0
