,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.036747340112924576,75,AMR,Arsenal,Liverpool,3,2,2022-10-09,18292,2022,555098,0.037465568631887436,0,1,0,0.036747340112924576,0.07421290874481201,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,5,0.6782629489898682,90,FWR,Liverpool,Brighton,3,3,2022-10-01,18288,2022,552338,0.30485859513282776,1,1,0,0.6782629489898682,0.9490676522254944,0,1.0,,,,0.0,3.0,0.0,,,13.1,,,283.0,,,87.0,,3.0,0.0,10.1,,18.4,,2022-10-01T14:00:00Z,,,,90.0,,,5.0,0.0,,0.0,0.0,,0.0,9.0,0.0,3748869.0,,,,3.0,3.0,69.0,5.0,-83071.0,226728.0,309799.0,128.0,True,,0.0
2,0,3,0.21198196709156036,90,FWR,Everton,Liverpool,0,0,2022-09-03,18252,2022,546867,0.22872225940227509,0,3,0,0.21198196709156036,0.45362886786460876,0.042714860290288925,0.0,,,,0.0,8.0,1.0,,,37.3,,,283.0,,,55.0,,0.0,0.0,9.3,,14.6,,2022-09-03T11:30:00Z,,,,90.0,,,8.0,0.0,,0.0,0.0,,0.0,6.0,0.0,5299328.0,,,,0.0,0.0,41.0,3.0,-160589.0,147858.0,308447.0,130.0,False,,0.0
3,0,2,0.06999285519123077,90,FWR,Liverpool,Newcastle United,2,1,2022-08-31,18250,2022,546440,0.4215383231639862,2,6,0,0.06999285519123077,0.2792954444885254,0,2.0,,,,2.0,28.0,0.0,,,64.3,,,283.0,,,48.0,,1.0,0.0,14.7,,44.0,,2022-08-31T19:00:00Z,,,,90.0,,,15.0,0.0,,0.0,0.0,,0.0,5.0,0.0,5360861.0,,,,1.0,2.0,39.0,10.0,-466694.0,61038.0,527732.0,130.0,True,,0.0
4,0,4,1.7413548231124878,90,FWR,Liverpool,Bournemouth,9,0,2022-08-27,18236,2022,544466,0.1270892471075058,0,2,0,1.7413548231124878,1.9212843179702759,0.10043896734714508,0.0,,,,0.0,-5.0,1.0,,,28.1,,,283.0,,,36.0,,0.0,0.0,8.3,,2.4,,2022-08-27T14:00:00Z,,,,90.0,,,3.0,0.0,,0.0,0.0,,0.0,4.0,0.0,5784665.0,,,,0.0,9.0,52.0,3.0,-19068.0,140231.0,159299.0,130.0,True,,0.0
5,1,3,0.15045517683029175,90,FWR,Manchester United,Liverpool,2,1,2022-08-22,18231,2022,543840,0.23170995712280273,0,4,1,0.15045517683029175,0.8899268507957458,0.6057789921760559,0.0,,,,1.0,23.0,0.0,,,45.1,,,283.0,,,27.0,,2.0,1.0,15.6,,44.0,,2022-08-22T19:00:00Z,,,,90.0,,,14.0,0.0,,0.0,0.0,,0.0,3.0,0.0,5661806.0,,,,1.0,2.0,67.0,8.0,-84176.0,135020.0,219196.0,130.0,False,,0.0
6,0,3,0.5365396738052368,90,FWR,Liverpool,Crystal Palace,1,1,2022-08-15,18221,2022,541880,0.4517565071582794,0,8,0,0.5365396738052368,0.9882961511611938,0.06367207318544388,0.0,,,,0.0,5.0,0.0,,,89.7,,,283.0,,,16.0,,1.0,0.0,14.6,,18.6,,2022-08-15T19:00:00Z,,,,90.0,,,7.0,0.0,,0.0,0.0,,0.0,2.0,0.0,5570821.0,,,,1.0,1.0,38.0,2.0,133225.0,175994.0,42769.0,130.0,True,,0.0
7,1,2,0.3917771875858307,90,FWR,Fulham,Liverpool,2,2,2022-08-06,18203,2022,539204,0.5341293215751648,0,1,1,0.3917771875858307,1.103966236114502,0.7121890187263489,1.0,,,,2.0,34.0,0.0,,,20.0,,,283.0,,,4.0,,2.0,1.0,8.5,,39.6,,2022-08-06T11:30:00Z,,,,90.0,,,9.0,0.0,,0.0,0.0,,0.0,1.0,0.0,4848340.0,,,,2.0,2.0,25.0,12.0,0.0,0.0,0.0,130.0,False,,0.0
8,1,8,1.1674931049346924,27,Sub,Liverpool,Wolverhampton Wanderers,3,1,2022-05-22,16753,2021,537896,0,0,0,1,1.1674931049346924,0.5637868046760559,0.08828042447566986,0.0,,,,0.0,22.0,0.0,,,0.0,,,233.0,,,378.0,,0.0,1.0,0.0,,0.0,,2022-05-22T15:00:00Z,,,,32.0,,,20.0,0.0,,0.0,0.0,,0.0,38.0,0.0,3664020.0,,,,1.0,3.0,0.0,6.0,-778411.0,10087.0,788498.0,131.0,True,,0.0
9,0,1,0.1275438666343689,15,Sub,Aston Villa,Liverpool,1,2,2022-05-10,16705,2021,534613,0.06885790824890137,0,1,0,0.1275438666343689,0.19640177488327026,0,0.0,,,,0.0,2.0,0.0,,,11.0,,,233.0,,,321.0,,0.0,0.0,3.9,,2.2,,2022-05-10T19:00:00Z,,,,18.0,,,2.0,0.0,,0.0,0.0,,0.0,36.0,0.0,5388439.0,,,,2.0,1.0,26.0,1.0,-18428.0,58868.0,77296.0,133.0,False,,0.0
