,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,90,DC,Dijon,Nantes,3,3,2020-02-08,12942,2019,392821,0.07241750508546829,0,1,0,0,0.3497503101825714,0.2773328125476837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,90,DC,Nantes,Paris Saint Germain,1,2,2020-02-04,12929,2019,392086,0,0,0,0,0,0.08817140758037567,0.08817140758037567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,90,DC,Rennes,Nantes,3,2,2020-01-31,12919,2019,390962,0,0,0,0,0,0.3584422469139099,0.3584422469139099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,46,DC,Saint-Etienne,Nantes,0,2,2020-01-12,12908,2019,388768,0,0,0,0,0,0.02003573067486286,0.02003573067486286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,90,DC,Nantes,Angers,1,2,2019-12-21,12895,2019,371842,0,0,0,0,0,0.08444803208112717,0.08444803208112717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,33,Sub,Nimes,Nantes,0,1,2019-12-14,12879,2019,370152,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,90,DC,Brest,Nantes,1,1,2019-11-23,12842,2019,365004,0,0,0,0,0,0.09689345210790634,0.09689345210790634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,64,DC,Metz,Nantes,1,0,2019-10-19,12801,2019,358185,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,2,0.15062440931797028,90,DC,Lille,Nantes,2,1,2019-08-11,12716,2019,341580,0,0,0,0,0.15062440931797028,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,3,0.37301215529441833,90,DC,Empoli,Udinese,2,1,2018-11-11,9689,2018,280629,0,0,0,0,0.37301215529441833,1.022388219833374,0.7507660388946533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,0,0,1,Sub,Udinese,Napoli,0,3,2018-10-20,9665,2018,279679,0,0,0,0,0,0.013519742526113987,0.013519742526113987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,0,0,62,DC,Leicester,Watford,2,0,2018-01-20,7353,2017,209157,0,0,0,0,0,0,0,0.0,15.0,0.0,0.0,0.0,4.0,0.0,6.0,11.0,0.4,0.0,0.0,197.0,0.0,0.0,235.0,2.0,1.0,0.0,0.5,13160.0,4.4,0.0,2018-01-20T15:00:00Z,20 Jan 15:00,0.0,0.0,60.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,2.0,0.0,24.0,0.0,3535.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,12.0,459.0,447.0,45.0,False,0.0,0.0
12,0,1,0.12218667566776276,90,DC,Watford,Southampton,2,2,2018-01-13,7347,2017,207736,0,0,0,0,0.12218667566776276,0.2812150716781616,0.2812150716781616,0.0,39.0,0.0,0.0,0.0,12.0,0.0,6.0,32.0,0.8,0.0,0.0,197.0,0.0,0.0,229.0,2.0,2.0,0.0,1.5,12562.0,10.0,0.0,2018-01-13T15:00:00Z,13 Jan 15:00,0.0,0.0,90.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,0.0,3469.0,0.0,1.0,1.0,2.0,2.0,4.0,1.0,239.0,706.0,467.0,45.0,True,0.0,0.0
