,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.08322773873806,29,Sub,FC Ufa,Ural,0,1,2021-10-03,16215,2021,486915,0,0,0,0,0.08322773873806,0.08322773873806,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,72,DR,Spartak Moscow,FC Ufa,2,0,2021-09-25,16201,2021,484861,0,0,0,0,0,0.04732628911733627,0.04732628911733627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,80,DR,PFC Sochi,FC Ufa,3,1,2021-09-12,16189,2021,481097,0.053509507328271866,0,1,0,0,0.053509507328271866,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,11,Sub,FC Ufa,Krylya Sovetov Samara,1,2,2021-08-26,16180,2021,478262,0,0,0,0,0,0.04531033709645271,0.04531033709645271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,1,0.009224167093634605,26,Sub,FC Ufa,Zenit St. Petersburg,1,1,2021-08-21,16170,2021,477051,0,0,0,0,0.009224167093634605,0.009224167093634605,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,1,0.016829032450914383,90,DR,Nizhny Novgorod,FC Ufa,1,2,2021-08-14,16161,2021,475629,0,0,0,0,0.016829032450914383,0.10460543632507324,0.08777640759944916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,90,DR,FC Ufa,Lokomotiv Moscow,1,1,2021-08-06,16152,2021,474594,0.1556515097618103,0,3,0,0,0.028762808069586754,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,90,DML,FC Ufa,Dinamo Moscow,2,3,2021-07-31,16146,2021,474418,0,0,0,0,0,0.01750214397907257,0.01750214397907257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,90,DMR,CSKA Moscow,FC Ufa,1,0,2021-07-25,16142,2021,474309,0.09266840666532516,0,3,0,0,0.5728641748428345,0.551261842250824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,90,MR,FC Ufa,Arsenal Tula,2,1,2021-05-16,14464,2020,471356,0.17591114342212677,1,1,0,0,0.3212375044822693,0.3212375044822693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,0,0,81,DR,FC Ufa,Zenit St. Petersburg,0,0,2021-05-08,14450,2020,468356,0.16209451854228973,0,3,0,0,0.3205864131450653,0.20605866611003876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,0,0,90,DR,CSKA Moscow,FC Ufa,1,1,2021-05-01,14444,2020,466928,0.0747373178601265,0,2,0,0,0.24755042791366577,0.22468483448028564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,0,0,90,DR,FC Ufa,PFC Sochi,2,3,2021-04-25,14434,2020,465710,0.5058589577674866,0,4,0,0,1.0102177858352661,0.9142969846725464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,0,0,90,DR,Spartak Moscow,FC Ufa,0,3,2021-04-18,14430,2020,463748,0,0,0,0,0,0.45766666531562805,0.45766666531562805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,0,0,76,DR,FC Ufa,FK Akhmat,3,0,2021-04-10,14418,2020,461147,0.4756692349910736,1,1,0,0,0.5485483407974243,0.07287908345460892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,0,0,47,DR,FC Ufa,Rubin Kazan,0,3,2021-03-14,14398,2020,456653,0,0,0,0,0,0.04324748367071152,0.04324748367071152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,0,0,90,DR,Swansea,Stoke,1,2,2018-05-13,7491,2017,240078,0,0,0,0,0,0.019587695598602295,0.019587695598602295,0.0,16.0,0.0,0.0,0.0,5.0,0.0,5.0,13.0,0.8,0.0,0.0,594.0,0.0,0.0,378.0,1.0,1.0,0.0,0.9,22415.0,8.6,0.0,2018-05-13T14:00:00Z,13 May 15:00,0.0,0.0,90.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,3.0,0.0,38.0,0.0,24531.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,-939.0,385.0,1324.0,45.0,False,0.0,1.0
17,0,0,0,90,ML,Stoke,Crystal Palace,1,2,2018-05-05,7481,2017,237185,0.08352605253458023,0,2,0,0,0.08352605253458023,0,0.0,12.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,20.6,1.0,0.0,594.0,0.0,0.0,368.0,1.0,2.0,0.0,3.6,21742.0,7.2,2.0,2018-05-05T11:30:00Z,05 May 12:30,0.0,0.0,90.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,37.0,0.0,25195.0,0.0,0.0,0.0,2.0,1.0,8.0,0.0,-1770.0,752.0,2522.0,45.0,True,0.0,1.0
18,0,0,0,90,ML,Liverpool,Stoke,0,0,2018-04-28,7472,2017,235537,0.08280644565820694,0,1,0,0,0.08280644565820694,0,0.0,21.0,0.0,0.0,0.0,21.0,1.0,3.0,13.0,15.2,1.0,0.0,594.0,0.0,0.0,354.0,0.0,0.0,0.0,2.9,20751.0,12.2,1.0,2018-04-28T11:30:00Z,28 Apr 12:30,0.0,0.0,90.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,36.0,0.0,27258.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,-3457.0,150.0,3607.0,45.0,False,0.0,0.0
