,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,84,AMC,Rennes,Nantes,3,0,2022-10-09,19746,2022,555041,0,0,0,0,0,0.021449707448482513,0.021449707448482513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,67,MC,Monaco,Nantes,4,1,2022-10-02,19730,2022,553253,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,1,0.048420924693346024,90,MC,Lorient,Nantes,3,2,2022-09-11,19711,2022,549636,0.1212087944149971,0,2,0,0.048420924693346024,0.1903332769870758,0.0691244900226593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,90,MC,Angers,Nantes,0,0,2022-08-07,19654,2022,539927,0,0,0,0,0,0.019244011491537094,0.019244011491537094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,1,0.04991966485977173,90,MC,Chelsea,Watford,2,1,2022-05-22,16750,2021,537790,0,0,0,0,0.04991966485977173,0.2063773274421692,0.2063773274421692,0.0,,,,0.0,-1.0,0.0,,,0.0,,,354.0,,,375.0,,2.0,0.0,0.0,,0.0,,2022-05-22T15:00:00Z,,,,90.0,,,6.0,0.0,,0.0,0.0,,0.0,38.0,0.0,210767.0,,,,1.0,2.0,0.0,2.0,3021.0,11053.0,8032.0,43.0,False,,0.0
5,0,0,0,90,MC,Watford,Leicester,1,5,2022-05-15,16738,2021,536059,0.2565027177333832,0,1,0,0,0.2918175160884857,0.035314805805683136,0.0,,,,0.0,17.0,0.0,,,13.6,,,354.0,,,368.0,,5.0,0.0,3.0,,10.4,,2022-05-15T13:00:00Z,,,,90.0,,,9.0,0.0,,0.0,0.0,,0.0,37.0,0.0,207649.0,,,,5.0,1.0,6.0,2.0,-367.0,6537.0,6904.0,43.0,True,,0.0
6,0,1,0.06529416143894196,90,MC,Watford,Everton,0,0,2022-05-11,16674,2021,534808,0,0,0,0,0.06529416143894196,0,0,0.0,,,,0.0,15.0,1.0,,,3.7,,,354.0,,,299.0,,0.0,0.0,2.5,,17.0,,2022-05-11T18:45:00Z,,,,90.0,,,8.0,0.0,,0.0,0.0,,0.0,36.0,0.0,203267.0,,,,0.0,0.0,4.0,3.0,-1028.0,5341.0,6369.0,44.0,True,,0.0
7,0,1,0.09573572129011154,90,MC,Crystal Palace,Watford,1,0,2022-05-07,16730,2021,532547,0,0,0,0,0.09573572129011154,0.01569092832505703,0.01569092832505703,0.0,,,,0.0,5.0,0.0,,,1.4,,,354.0,,,356.0,,1.0,0.0,4.9,,14.6,,2022-05-07T14:00:00Z,,,,90.0,,,7.0,0.0,,0.0,0.0,,0.0,36.0,0.0,203267.0,,,,0.0,1.0,33.0,2.0,-1028.0,5341.0,6369.0,44.0,False,,0.0
8,0,0,0,90,MC,Watford,Burnley,1,2,2022-04-30,16718,2021,530505,0.06615468859672546,0,1,0,0,0.06615468859672546,0.06615468859672546,0.0,,,,0.0,11.0,0.0,,,15.6,,,354.0,,,348.0,,2.0,0.0,2.8,,10.8,,2022-04-30T14:00:00Z,,,,90.0,,,5.0,0.0,,0.0,0.0,,0.0,35.0,0.0,204550.0,,,,2.0,1.0,2.0,2.0,-2081.0,3747.0,5828.0,44.0,True,,0.0
9,0,1,0.035286158323287964,90,MC,Manchester City,Watford,5,1,2022-04-23,16707,2021,528659,0,0,0,0,0.035286158323287964,0,0,0.0,,,,0.0,9.0,0.0,,,5.3,,,354.0,,,339.0,,5.0,0.0,4.1,,16.0,,2022-04-23T14:00:00Z,,,,90.0,,,12.0,0.0,,0.0,0.0,,0.0,34.0,0.0,206283.0,,,,1.0,5.0,20.0,2.0,-3073.0,5057.0,8130.0,44.0,False,,0.0
