,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,id_y,key_passes_y,kickoff_time_formatted,loaned_in,loaned_out,offside,open_play_crosses,penalties_conceded,recoveries,tackled,tackles,target_missed,winning_goals
0,0,1,0.08718594908714294,75,MC,Liverpool,Wolverhampton Wanderers,3,1,2022-05-22,16753,2021,537889,0.10000427067279816,0,1,0,0.08718594908714294,0.1871902197599411,0,0.0,0.0,9.0,0.0,0.0,239.0,378.0,1.0,0.0,0.0,0.0,2022-05-22T15:00:00Z,69.0,20.0,0.0,0.0,0.0,0.0,38.0,0.0,20146.0,1.0,3.0,0.0,2.0,334.0,1340.0,1006.0,50.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,4,Sub,Southampton,Liverpool,1,2,2022-05-17,16740,2021,536772,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.1,239.0,366.0,0.0,0.0,0.1,0.4,2022-05-17T18:45:00Z,7.0,16.0,0.0,0.0,0.0,0.0,37.0,0.0,19608.0,2.0,1.0,0.0,1.0,-351.0,1005.0,1356.0,50.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
2,0,2,0.045089565217494965,90,MC,Aston Villa,Liverpool,1,2,2022-05-10,16705,2021,534608,0,0,0,0,0.045089565217494965,0.031834062188863754,0,0.0,0.0,22.0,0.0,7.7,239.0,321.0,1.0,0.0,3.5,14.4,2022-05-10T19:00:00Z,90.0,2.0,0.0,0.0,0.0,0.0,36.0,0.0,20472.0,2.0,1.0,13.0,2.0,3980.0,4509.0,529.0,50.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,1,Sub,Liverpool,Tottenham,1,1,2022-05-07,16728,2021,533103,0,0,0,0,0,0,0,0.0,0.0,-1.0,0.0,0.8,239.0,358.0,0.0,0.0,0.1,0.0,2022-05-07T18:45:00Z,2.0,17.0,0.0,0.0,0.0,0.0,36.0,0.0,20472.0,1.0,1.0,2.0,0.0,3980.0,4509.0,529.0,50.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,
4,1,3,1.0017707347869873,90,MC,Newcastle United,Liverpool,0,1,2022-04-30,16721,2021,530126,0.3423236310482025,0,1,1,1.0017707347869873,1.8454179763793945,1.4744386672973633,0.0,2.0,27.0,1.0,14.3,239.0,345.0,0.0,1.0,8.3,42.2,2022-04-30T11:30:00Z,90.0,14.0,0.0,0.0,0.0,0.0,35.0,0.0,15784.0,1.0,0.0,26.0,10.0,257.0,512.0,255.0,50.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
5,0,1,0.018223006278276443,64,MC,Liverpool,Everton,2,0,2022-04-24,16708,2021,529600,0.05181962996721268,0,2,0,0.018223006278276443,0.11079633980989456,0.08474202454090118,0.0,0.0,10.0,0.0,26.0,239.0,338.0,0.0,0.0,4.0,5.0,2022-04-24T15:30:00Z,59.0,8.0,0.0,0.0,0.0,0.0,34.0,0.0,15460.0,0.0,2.0,9.0,1.0,213.0,468.0,255.0,50.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,9,Sub,Liverpool,Manchester United,4,0,2022-04-19,16669,2021,527536,0,0,0,0,0,0.0387805700302124,0.0387805700302124,0.0,0.0,3.0,0.0,1.2,239.0,294.0,0.0,0.0,0.4,3.2,2022-04-19T19:00:00Z,10.0,13.0,0.0,0.0,0.0,0.0,33.0,0.0,15197.0,0.0,4.0,0.0,0.0,97.0,306.0,209.0,50.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,10,Sub,Manchester City,Liverpool,2,2,2022-04-10,16690,2021,525536,0,0,0,0,0,0,0,0.0,0.0,4.0,0.0,1.1,239.0,316.0,0.0,0.0,0.5,1.4,2022-04-10T15:30:00Z,12.0,12.0,0.0,0.0,0.0,0.0,32.0,0.0,15032.0,2.0,2.0,2.0,1.0,-38.0,140.0,178.0,50.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
8,0,1,0.07497146725654602,67,MC,Brighton,Liverpool,0,2,2022-03-12,16658,2021,519105,0,0,0,0,0.07497146725654602,0.4582892954349518,0.38331782817840576,1.0,0.0,16.0,1.0,2.7,239.0,283.0,0.0,0.0,2.6,5.2,2022-03-12T12:30:00Z,64.0,4.0,0.0,0.0,0.0,0.0,29.0,0.0,15407.0,2.0,0.0,18.0,6.0,367.0,633.0,266.0,50.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
9,0,1,0.01701466366648674,90,MC,Liverpool,West Ham,1,0,2022-03-05,16649,2021,517761,0.11840493977069855,0,2,0,0.01701466366648674,0.24737338721752167,0.12344536185264587,0.0,0.0,13.0,1.0,25.8,239.0,274.0,0.0,0.0,3.9,12.0,2022-03-05T17:30:00Z,89.0,19.0,0.0,0.0,0.0,0.0,28.0,0.0,14898.0,0.0,1.0,1.0,3.0,-224.0,146.0,370.0,50.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
