,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,90,DC,Manchester City,Southampton,4,0,2022-10-08,18298,2022,554120,0,0,0,0,0,0.8399074673652649,0.8399074673652649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,90,DC,Manchester City,Manchester United,6,3,2022-10-02,18289,2022,552917,0.03936833143234253,0,1,0,0,0.8803553581237793,0.8803553581237793,0.0,,,,0.0,12.0,0.0,,,11.0,,,308.0,,,88.0,,3.0,0.0,3.0,,14.6,,2022-10-02T13:00:00Z,,,,90.0,,,14.0,0.0,,0.0,0.0,,0.0,9.0,0.0,77389.0,,,,3.0,6.0,4.0,1.0,-6245.0,1849.0,8094.0,50.0,True,,0.0
2,0,0,0,8,Sub,Aston Villa,Manchester City,1,1,2022-09-03,18258,2022,547451,0,0,0,0,0,0,0,0.0,,,,0.0,3.0,0.0,,,0.5,,,308.0,,,51.0,,0.0,0.0,0.4,,3.2,,2022-09-03T16:30:00Z,,,,10.0,,,2.0,0.0,,0.0,0.0,,0.0,6.0,0.0,79199.0,,,,1.0,1.0,0.0,1.0,-22796.0,408.0,23204.0,50.0,False,,0.0
3,0,0,0,20,DC,Newcastle United,Manchester City,3,3,2022-08-21,18230,2022,543278,0,0,0,0,0,0.39935502409935,0.39935502409935,0.0,,,,0.0,3.0,0.0,,,0.0,,,308.0,,,28.0,,0.0,0.0,0.1,,1.4,,2022-08-21T15:30:00Z,,,,20.0,,,15.0,0.0,,0.0,0.0,,0.0,3.0,0.0,224357.0,,,,3.0,3.0,0.0,1.0,66989.0,98638.0,31649.0,50.0,False,,0.0
4,0,2,0.08354219049215317,90,DC,Manchester City,Bournemouth,4,0,2022-08-13,18214,2022,540556,0,0,0,0,0.08354219049215317,0.15626269578933716,0.15626269578933716,0.0,,,,0.0,25.0,1.0,,,3.3,,,308.0,,,17.0,,0.0,0.0,5.8,,16.4,,2022-08-13T14:00:00Z,,,,90.0,,,3.0,0.0,,0.0,0.0,,0.0,2.0,0.0,134753.0,,,,0.0,4.0,38.0,6.0,38894.0,51515.0,12621.0,50.0,True,,0.0
5,0,1,0.013540280051529408,90,DC,West Ham,Manchester City,0,2,2022-08-07,18211,2022,540079,0,0,0,0,0.013540280051529408,1.0524498224258423,1.0524498224258423,0.0,,,,1.0,26.0,1.0,,,0.6,,,308.0,,,10.0,,0.0,0.0,3.1,,26.2,,2022-08-07T15:30:00Z,,,,90.0,,,19.0,0.0,,0.0,0.0,,0.0,1.0,0.0,56953.0,,,,2.0,0.0,4.0,7.0,0.0,0.0,0.0,50.0,False,,0.0
6,0,0,0,27,Sub,Wolverhampton Wanderers,Manchester City,1,5,2022-05-11,16696,2021,534911,0,0,0,0,0,0.9286553263664246,0.9286553263664246,0.0,,,,0.0,9.0,0.0,,,0.2,,,258.0,,,330.0,,0.0,0.0,0.5,,4.6,,2022-05-11T19:15:00Z,,,,29.0,,,20.0,0.0,,0.0,0.0,,0.0,36.0,0.0,47668.0,,,,5.0,1.0,0.0,1.0,7263.0,8819.0,1556.0,47.0,False,,0.0
7,1,2,0.5903712511062622,67,DL,Leeds,Manchester City,0,4,2022-04-30,16723,2021,530725,0,0,0,1,0.5903712511062622,0,0,0.0,,,,0.0,18.0,0.0,,,2.2,,,258.0,,,343.0,,0.0,1.0,8.1,,41.4,,2022-04-30T16:30:00Z,,,,59.0,,,10.0,0.0,,0.0,0.0,,0.0,35.0,0.0,39587.0,,,,4.0,0.0,37.0,7.0,2181.0,2903.0,722.0,47.0,False,,0.0
8,0,0,0,25,Sub,Manchester City,Watford,5,1,2022-04-23,16707,2021,528653,0,0,0,0,0,0.13040868937969208,0.13040868937969208,0.0,,,,0.0,5.0,0.0,,,0.9,,,258.0,,,339.0,,0.0,0.0,0.7,,5.8,,2022-04-23T14:00:00Z,,,,27.0,,,18.0,0.0,,0.0,0.0,,0.0,34.0,0.0,37010.0,,,,1.0,5.0,0.0,1.0,-97.0,1146.0,1243.0,47.0,True,,0.0
9,0,0,0,48,DL,Manchester City,Brighton,3,0,2022-04-20,16670,2021,528097,0,0,0,0,0,0.07235883921384811,0.07235883921384811,0.0,,,,0.0,8.0,0.0,,,2.7,,,258.0,,,295.0,,0.0,0.0,1.1,,6.2,,2022-04-20T19:00:00Z,,,,45.0,,,4.0,0.0,,0.0,0.0,,0.0,33.0,0.0,37301.0,,,,0.0,3.0,2.0,1.0,1252.0,1752.0,500.0,47.0,True,,0.0
