,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,2,5,1.4791665077209473,81,MR,Manchester United,Cardiff,0,2,2019-05-12,9570,2018,332388,0.06912198662757874,0,2,1,0.717997670173645,0.7761930227279663,0.014788231812417507,0,22,0,0,3,51,1,3,14,21.4,2,0,100,0,0,377,0,0,2,20.9,21267,83.4,2,2019-05-12T14:00:00Z,12 May 15:00,0,0,79,0,0,14,0,0,0,0,5,0,38,0,3002,3,2,1,2,0,104.0,16,555,773,218,48,False,1,0
1,0,2,0.15265008807182312,90,MR,Cardiff,Crystal Palace,2,3,2019-05-04,9564,2018,330430,0.46143054962158203,1,5,0,0.15265008807182312,0.6327311396598816,0.018650490790605545,1,24,1,0,0,29,0,3,14,60.4,1,0,100,0,0,363,2,3,0,15.1,20651,52.0,5,2019-05-04T16:30:00Z,04 May 17:30,0,0,90,0,2,7,0,0,0,0,7,0,37,0,2310,4,3,0,3,2,39.0,5,67,182,115,48,True,0,0
2,0,2,0.0627637729048729,90,AML,Fulham,Cardiff,1,0,2019-04-27,9553,2018,328347,0.12090867012739182,0,2,0,0.0627637729048729,0.2052796334028244,0.021607184782624245,0,24,0,0,0,12,0,3,13,29.7,5,0,100,0,0,354,2,1,0,11.3,20036,26.8,2,2019-04-27T14:00:00Z,27 Apr 15:00,0,0,90,1,2,9,0,0,0,0,6,0,36,0,2228,3,0,0,0,1,56.0,2,327,385,58,48,False,0,0
3,0,0,0,90,ML,Cardiff,Liverpool,0,2,2019-04-21,9544,2018,326789,0.22622717916965485,0,3,0,0,0.22622717916965485,0.12018309533596039,0,19,0,0,0,17,0,1,12,39.8,4,0,100,0,0,343,0,2,0,6.9,19220,19.0,3,2019-04-21T15:00:00Z,21 Apr 16:00,0,0,90,0,2,12,0,0,0,0,6,0,35,0,1880,2,1,0,2,0,10.0,2,75,143,68,48,True,0,0
4,1,1,0.026409175246953964,82,AMR,Brighton,Cardiff,0,2,2019-04-16,9505,2018,325361,0,0,0,1,0.026409175246953964,0.026409175246953964,0,0,22,0,0,2,32,1,1,14,2.4,3,0,100,0,0,302,1,0,1,5.1,18538,40.0,0,2019-04-16T18:45:00Z,16 Apr 19:45,0,0,79,0,0,3,0,0,0,0,7,0,34,0,1792,3,2,0,2,0,9.0,10,-19,21,40,48,False,1,0
5,0,1,0.010835075750946999,15,Sub,Burnley,Cardiff,2,0,2019-04-13,9535,2018,324282,0,0,0,0,0.010835075750946999,0.010835075750946999,0,0,7,0,0,0,7,0,0,4,0.5,0,0,100,0,0,332,0,1,0,1.3,18539,4.6,0,2019-04-13T14:00:00Z,13 Apr 15:00,0,0,17,0,0,4,0,0,0,0,1,0,34,0,1792,0,2,0,0,2,8.0,1,-19,21,40,48,False,0,0
6,0,0,0,28,Sub,Manchester City,Cardiff,2,0,2019-04-03,9522,2018,321904,0,0,0,0,0,0.030191386118531227,0.030191386118531227,0,11,0,0,0,3,0,0,8,0.8,1,0,100,0,0,325,0,0,0,0.7,17265,2.0,0,2019-04-03T18:45:00Z,03 Apr 19:45,0,0,30,0,0,13,0,0,0,0,1,0,32,0,1813,1,0,0,0,2,4.0,1,-27,25,52,48,False,0,0
7,0,0,0,1,Sub,Cardiff,Chelsea,1,2,2019-03-31,9514,2018,318508,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0.3,0,0,100,0,0,314,0,1,0,0.0,17264,0.0,0,2019-03-31T13:05:00Z,31 Mar 14:05,0,0,1,0,0,6,0,0,0,0,0,0,32,0,1813,0,0,0,2,1,0.0,1,-27,25,52,48,True,0,0
8,0,1,0.023147189989686012,70,MR,Cardiff,Everton,0,3,2019-02-26,9469,2018,304993,0.013057505711913109,0,1,0,0.023147189989686012,0.03620469570159912,0.013057505711913109,0,13,0,0,0,12,0,2,11,12.8,0,0,100,0,0,272,0,2,0,2.4,15105,7.4,1,2019-02-26T19:45:00Z,26 Feb 19:45,0,0,68,0,0,8,0,0,0,0,3,0,28,0,1968,2,3,1,3,0,4.0,2,-50,24,74,48,True,0,0
9,0,0,0,21,Sub,Cardiff,Watford,1,5,2019-02-22,9463,2018,304752,0,0,0,0,0,0.009149189107120037,0.009149189107120037,0,6,0,0,0,4,0,0,3,0.5,1,0,100,0,0,264,0,2,0,2.0,14601,9.0,0,2019-02-22T19:45:00Z,22 Feb 19:45,0,0,23,0,0,18,0,0,0,0,1,0,27,0,2005,2,1,0,5,1,10.0,1,-78,78,156,48,True,0,0
