,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,1,2,0.16490371525287628,15,Sub,Leganes,Real Betis,3,2,2018-05-19,8254,2017,240521,0,0,0,1,0.16490371525287628,0.16490371525287628,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,2,0.12462148070335388,65,AML,Leganes,Levante,0,3,2018-05-07,8235,2017,238602,0.04735328629612923,0,2,0,0.12462148070335388,0.6646122336387634,0.4926374852657318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,3,0.09717868268489838,90,AML,Real Madrid,Leganes,2,1,2018-04-28,8228,2017,235956,0.6371319890022278,1,1,0,0.09717868268489838,0.7343106865882874,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,2,0.05131104588508606,89,AML,Leganes,Deportivo La Coruna,0,0,2018-04-20,8216,2017,234022,0.014286823570728302,0,1,0,0.05131104588508606,0.09569170325994492,0.044380657374858856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,46,FW,Barcelona,Leganes,3,1,2018-04-07,8182,2017,231314,0.010592112317681313,0,1,0,0,0.1528380662202835,0.1528380662202835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0,0.0,0.0,329.0,0.0,0.0,0.0,0.0,18644.0,0.0,0.0,2018-04-07T14:00:00Z,07 Apr 15:00,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,2201.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,-2.0,0.0,2.0,50.0,True,0.0,0.0
5,0,0,0,90,FW,Leganes,Valencia,0,1,2018-04-01,8178,2017,227843,0.08936000615358353,0,1,0,0,0.10760331898927689,0.10760331898927689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,3,0.8153418898582458,89,FW,Leganes,Sevilla,2,1,2018-03-18,8168,2017,224430,0,0,0,0,0.8153418898582458,0.8153418898582458,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,1,0.04974594712257385,78,AML,Athletic Club,Leganes,2,0,2018-03-11,8157,2017,223398,0.6010341048240662,0,2,0,0.04974594712257385,0.8437601327896118,0.208008274435997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0,0.0,0.0,291.0,0.0,0.0,0.0,0.0,17106.0,0.0,0.0,2018-03-11T13:30:00Z,11 Mar 13:30,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,2209.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,-3.0,0.0,3.0,50.0,False,0.0,0.0
8,1,2,0.06896514445543289,89,AML,Leganes,Malaga,2,0,2018-03-03,8147,2017,221254,0,0,0,1,0.06896514445543289,0.8507903218269348,0.7818251848220825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0,0.0,0.0,290.0,0.0,0.0,0.0,0.0,16473.0,0.0,0.0,2018-03-03T15:00:00Z,03 Mar 15:00,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,2072.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,1.0,50.0,True,0.0,0.0
9,0,1,0.006989265326410532,44,Sub,Atletico Madrid,Leganes,4,0,2018-02-28,8135,2017,220307,0.03500615805387497,0,1,0,0.006989265326410532,0.041995421051979065,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,2,0.8899772763252258,59,FW,Leganes,Las Palmas,0,0,2018-02-24,8128,2017,219355,0.22196178138256073,0,1,0,0.8899772763252258,0.9327509999275208,0.04277372732758522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0,0.0,0.0,279.0,0.0,0.0,0.0,0.0,15843.0,0.0,0.0,2018-02-24T17:30:00Z,24 Feb 17:30,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,2073.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-4.0,0.0,4.0,50.0,True,0.0,0.0
11,0,1,0.018473148345947266,18,Sub,Leganes,Real Madrid,1,3,2018-02-21,8037,2017,218832,0,0,0,0,0.018473148345947266,0.018473148345947266,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,3,0.027518635615706444,90,ML,Girona,Leganes,3,0,2018-02-16,8117,2017,217782,0,0,0,0,0.027518635615706444,0.05288190767168999,0.025363272055983543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,0,0,44,Sub,Leganes,Eibar,0,1,2018-02-10,8105,2017,216963,0.08241230994462967,0,1,0,0,0.08241230994462967,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,15216.0,0.0,0.0,2018-02-10T15:00:00Z,10 Feb 15:00,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,2076.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-6.0,1.0,7.0,50.0,False,0.0,0.0
14,0,0,0,13,Sub,Getafe,Leganes,0,0,2018-02-04,8094,2017,216672,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,1,0.007823513820767403,30,Sub,Leganes,Espanyol,3,2,2018-01-28,8084,2017,210896,0,0,0,0,0.007823513820767403,0.0781588926911354,0.07033538073301315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,0,0,28,Sub,Alaves,Leganes,2,2,2018-01-21,8075,2017,209605,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
