,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,5,Sub,Manchester United,Crystal Palace,1,3,2020-09-19,14098,2020,415913,0,0,0,0,0,0,0,0.0,,,,0.0,1.0,0.0,,,0.1,,,293.0,,,15.0,,1.0,0.0,0.2,,0.0,,2020-09-19T16:30:00Z,,,,9.0,,,6.0,0.0,,0.0,0.0,,0.0,2.0,0.0,21375.0,,,,3.0,1.0,2.0,1.0,-1023.0,2047.0,3070.0,65.0,True,,0.0
1,0,0,0,1,Sub,Leicester,Manchester United,0,2,2020-07-26,12018,2019,411499,0,0,0,0,0,0,0,0.0,,,,0.0,1.0,0.0,,,0.0,,,624.0,,,376.0,,0.0,0.0,0.8,,0.0,,2020-07-26T15:00:00Z,,,,1.0,,,9.0,0.0,,0.0,0.0,,0.0,47.0,0.0,23723.0,,,,2.0,0.0,8.0,1.0,-890.0,230.0,1120.0,59.0,False,,0.0
2,0,1,0.44897976517677307,3,Sub,Manchester United,West Ham,1,1,2020-07-22,12007,2019,410787,0,0,0,0,0.44897976517677307,0.44897976517677307,0,0.0,,,,0.0,4.0,0.0,,,0.6,,,624.0,,,365.0,,0.0,0.0,1.1,,0.0,,2020-07-22T17:00:00Z,,,,5.0,,,19.0,0.0,,0.0,0.0,,0.0,46.0,0.0,24587.0,,,,1.0,1.0,10.0,1.0,-944.0,168.0,1112.0,59.0,True,,0.0
3,0,0,0,6,Sub,Aston Villa,Manchester United,0,3,2020-07-09,11974,2019,407197,0,0,0,0,0,0,0,0.0,,,,0.0,2.0,0.0,,,0.1,,,624.0,,,332.0,,0.0,0.0,0.0,,0.2,,2020-07-09T19:15:00Z,,,,11.0,,,2.0,0.0,,0.0,0.0,,0.0,43.0,0.0,29693.0,,,,3.0,0.0,0.0,1.0,-4743.0,436.0,5179.0,61.0,False,,0.0
4,0,1,0.4252663552761078,7,Sub,Manchester United,Bournemouth,5,2,2020-07-04,11967,2019,405134,0,0,0,0,0.4252663552761078,0.4252663552761078,0,0.0,,,,0.0,-2.0,0.0,,,0.3,,,624.0,,,325.0,,0.0,0.0,0.7,,0.0,,2020-07-04T14:00:00Z,,,,10.0,,,3.0,0.0,,0.0,0.0,,0.0,42.0,0.0,34281.0,,,,2.0,5.0,8.0,1.0,-3675.0,2516.0,6191.0,62.0,True,,0.0
5,0,0,0,10,Sub,Brighton,Manchester United,0,3,2020-06-30,11956,2019,404157,0,0,0,0,0,0.07882040739059448,0.07882040739059448,0.0,,,,0.0,3.0,0.0,,,0.4,,,624.0,,,314.0,,0.0,0.0,0.0,,0.0,,2020-06-30T19:15:00Z,,,,12.0,,,4.0,0.0,,0.0,0.0,,0.0,41.0,0.0,37439.0,,,,3.0,0.0,0.0,1.0,-6566.0,690.0,7256.0,63.0,False,,0.0
6,0,1,0.1599559783935547,7,Sub,Manchester United,Sheffield United,3,0,2020-06-24,11950,2019,402315,0,0,0,0,0.1599559783935547,0.1599559783935547,0,0.0,,,,0.0,4.0,0.0,,,0.5,,,624.0,,,305.0,,0.0,0.0,2.5,,3.2,,2020-06-24T17:00:00Z,,,,10.0,,,15.0,0.0,,0.0,0.0,,0.0,40.0,0.0,43865.0,,,,0.0,3.0,21.0,1.0,-6113.0,1667.0,7780.0,64.0,True,,0.0
7,0,0,0,9,Sub,Tottenham,Manchester United,1,1,2020-06-19,11936,2019,400834,0.044668685644865036,0,1,0,0,0.044668685644865036,0,0.0,,,,0.0,5.0,0.0,,,10.3,,,624.0,,,298.0,,0.0,0.0,1.5,,4.2,,2020-06-19T19:15:00Z,,,,12.0,,,17.0,0.0,,0.0,0.0,,0.0,39.0,0.0,49299.0,,,,1.0,1.0,0.0,1.0,-8597.0,13507.0,22104.0,65.0,False,,0.0
8,0,0,0,1,Sub,Manchester United,Manchester City,2,0,2020-03-08,11932,2019,387846,0,0,0,0,0,0,0,0.0,,,,0.0,4.0,0.0,,,0.1,,,624.0,,,287.0,,0.0,0.0,0.2,,1.4,,2020-03-08T16:30:00Z,,,,2.0,,,11.0,0.0,,0.0,0.0,,0.0,29.0,0.0,49735.0,,,,0.0,2.0,0.0,1.0,4284.0,16926.0,12642.0,65.0,True,,0.0
9,0,1,0.6524890661239624,15,Sub,Everton,Manchester United,1,1,2020-03-01,11916,2019,387586,0.042430657893419266,0,1,0,0.6524890661239624,0.6949197053909302,0,0.0,,,,0.0,1.0,0.0,,,11.3,,,624.0,,,274.0,,0.0,0.0,5.4,,10.0,,2020-03-01T14:00:00Z,,,,18.0,,,8.0,0.0,,0.0,0.0,,0.0,28.0,0.0,47772.0,,,,1.0,1.0,33.0,1.0,1026.0,12257.0,11231.0,65.0,False,,0.0
