,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,3,0.1668294370174408,67,FW,AC Milan,Juventus,2,0,2022-10-08,18665,2022,554285,0.6879429817199707,1,2,0,0.1668294370174408,0.17947235703468323,0.16284076869487762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,3,0.2827414870262146,78,FW,Empoli,AC Milan,1,3,2022-10-01,18653,2022,552663,0,0,0,0,0.2827414870262146,0.6137154698371887,0.4254475235939026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,8,1.1954787969589233,90,FW,AC Milan,Napoli,1,2,2022-09-18,18645,2022,551750,0.4880417287349701,0,2,1,1.1954787969589233,1.7436057329177856,0.18290986120700836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,7,1.25974440574646,90,FW,Sampdoria,AC Milan,1,2,2022-09-10,18640,2022,549331,0,0,0,0,0.4984455704689026,0.44372692704200745,0.03940139338374138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,4,0.30313459038734436,74,FW,AC Milan,Inter,3,2,2022-09-03,18623,2022,547403,0.44124335050582886,1,2,1,0.30313459038734436,0.41631847620010376,0.024976233020424843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,1,0.11339548230171204,75,FW,Sassuolo,AC Milan,0,0,2022-08-30,18612,2022,545818,0,0,0,0,0.11339548230171204,0.42023009061813354,0.3068346083164215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,3,0.6992040276527405,90,FW,AC Milan,Bologna,2,0,2022-08-27,18606,2022,544838,0.44984689354896545,0,2,1,0.6992040276527405,1.4500243663787842,0.3899173438549042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,1,0.01820349134504795,31,Sub,Atalanta,AC Milan,1,1,2022-08-21,18599,2022,543537,0,0,0,0,0.01820349134504795,0.01820349134504795,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,1,0.12083376199007034,14,Sub,AC Milan,Udinese,4,2,2022-08-13,18582,2022,540839,0,0,0,0,0.12083376199007034,0.12083376199007034,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2,6,1.376610279083252,75,FW,Sassuolo,AC Milan,0,3,2022-05-22,17132,2021,538058,0.5283740758895874,0,1,2,1.376610279083252,1.2694494724273682,0.11010866612195969,0.0,,,,0.0,0.0,0.0,,,0.0,,,120.0,,,375.0,,0.0,0.0,0.0,,0.0,,2022-05-22T15:00:00Z,,,,0.0,,,18.0,0.0,,0.0,0.0,,0.0,38.0,0.0,1227.0,,,,1.0,2.0,0.0,0.0,-3.0,0.0,3.0,65.0,True,,0.0
10,0,0,0,56,FW,AC Milan,Atalanta,2,0,2022-05-15,17121,2021,536290,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,2,0.1284644454717636,66,FW,Verona,AC Milan,1,3,2022-05-08,17108,2021,534078,0,0,0,0,0.1284644454717636,0.37939175963401794,0.37939175963401794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,2,0.18583358824253082,68,FW,AC Milan,Fiorentina,1,0,2022-05-01,17100,2021,531110,0.5442829132080078,0,3,0,0.18583358824253082,0.49708986282348633,0,0.0,,,,0.0,0.0,0.0,,,0.0,,,120.0,,,342.0,,0.0,0.0,0.0,,0.0,,2022-05-01T13:00:00Z,,,,0.0,,,8.0,0.0,,0.0,0.0,,0.0,35.0,0.0,1234.0,,,,0.0,1.0,0.0,0.0,-1.0,0.0,1.0,65.0,False,,0.0
13,1,4,0.787577748298645,70,FW,Lazio,AC Milan,1,2,2022-04-24,17091,2021,529739,0,0,0,1,0.787577748298645,0.8559751510620117,0.13047432899475098,0.0,,,,0.0,0.0,0.0,,,0.0,,,120.0,,,335.0,,0.0,0.0,0.0,,0.0,,2022-04-24T13:00:00Z,,,,0.0,,,19.0,0.0,,0.0,0.0,,0.0,34.0,0.0,1235.0,,,,0.0,1.0,0.0,0.0,-2.0,0.0,2.0,65.0,True,,0.0
14,0,1,0.36390018463134766,65,FW,AC Milan,Genoa,2,0,2022-04-15,17081,2021,525949,0,0,0,0,0.36390018463134766,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,2,0.07458683103322983,90,FW,Torino,AC Milan,0,0,2022-04-10,17074,2021,525748,0.015645386651158333,0,1,0,0.07458683103322983,0.07428935170173645,0.022810397669672966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,4,0.20736531913280487,70,FW,AC Milan,Bologna,0,0,2022-04-04,17061,2021,523923,0.08598364889621735,0,2,0,0.20736531913280487,0.24665115773677826,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,4,0.8094515204429626,87,FW,Cagliari,AC Milan,0,1,2022-03-19,17047,2021,521471,0.06636425852775574,1,1,0,0.8094515204429626,1.9032647609710693,1.1153368949890137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,7,0.4549669027328491,85,FW,AC Milan,Empoli,1,0,2022-03-12,17040,2021,519601,0,0,0,0,0.4549669027328491,0.2201889008283615,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,2,0.5199902057647705,72,FW,Napoli,AC Milan,0,1,2022-03-06,17032,2021,518581,0,0,0,1,0.5199902057647705,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,0,0,67,FW,AC Milan,Udinese,1,1,2022-02-25,17021,2021,515490,0,0,0,0,0,0.497275710105896,0.497275710105896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,4,0.4504825174808502,90,FW,Salernitana,AC Milan,2,2,2022-02-19,17012,2021,514519,0.09498833864927292,1,2,0,0.4504825174808502,0.6077685356140137,0.12578588724136353,0.0,,,,0.0,0.0,0.0,,,0.0,,,120.0,,,254.0,,0.0,0.0,0.0,,0.0,,2022-02-19T15:00:00Z,,,,0.0,,,7.0,0.0,,0.0,0.0,,0.0,26.0,0.0,1247.0,,,,1.0,0.0,0.0,0.0,-4.0,0.0,4.0,65.0,False,,0.0
22,0,5,0.4769217073917389,90,FW,AC Milan,Sampdoria,1,0,2022-02-13,17001,2021,513011,0,0,0,0,0.4769217073917389,0.559614360332489,0.11965694278478622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2,2,0.7451621890068054,90,FW,Inter,AC Milan,1,2,2022-02-05,16989,2021,511235,0,0,0,2,0.7451621890068054,0.9295064806938171,0.1843443214893341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,3,0.3345867097377777,63,Sub,AC Milan,Juventus,0,0,2022-01-23,16982,2021,510705,0.07055383175611496,0,3,0,0.3345867097377777,0.3243410587310791,0,0.0,,,,0.0,0.0,0.0,,,0.0,,,120.0,,,223.0,,0.0,0.0,0.0,,0.0,,2022-01-23T16:30:00Z,,,,0.0,,,17.0,0.0,,0.0,0.0,,0.0,23.0,0.0,1253.0,,,,0.0,2.0,0.0,0.0,-1.0,0.0,1.0,65.0,True,,0.0
25,0,1,0.13364258408546448,18,Sub,AC Milan,Spezia,1,2,2022-01-17,16970,2021,508832,0.11970176547765732,0,1,0,0.13364258408546448,0.34928470849990845,0.09594034403562546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,0,0,17,Sub,Venezia,AC Milan,0,3,2022-01-09,16965,2021,507047,0.11302969604730606,0,1,0,0,0.11302969604730606,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,3,1.199005126953125,83,FW,AC Milan,Roma,3,1,2022-01-06,16951,2021,506433,0.05251889303326607,0,1,0,0.4377063512802124,0.8537402749061584,0.41603389382362366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,2,0.527900218963623,90,FW,Empoli,AC Milan,2,4,2021-12-22,16936,2021,504771,0.14221954345703125,1,2,0,0.527900218963623,0.22175651788711548,0.019119393080472946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
