,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,1,0.2046804428100586,90,FW,Nottingham Forest,Aston Villa,1,1,2022-10-10,18300,2022,555437,0.04182624816894531,0,1,0,0.2046804428100586,0.04182624816894531,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,6,0.6735542416572571,90,FW,Leeds,Aston Villa,0,0,2022-10-02,18286,2022,553316,0,0,0,0,0.6735542416572571,0.7954109907150269,0.12185677886009216,0.0,0.0,-4.0,1.0,15.9,40.0,85.0,0.0,0.0,11.5,8.2,2022-10-02T15:30:00Z,90.0,11.0,0.0,0.0,0.0,0.0,9.0,0.0,218180.0,0.0,0.0,91.0,2.0,-1987.0,23421.0,25408.0,72.0,False,0.0
2,0,1,0.08092477917671204,90,FW,Aston Villa,Southampton,1,0,2022-09-16,18272,2022,550343,0.09078159928321838,0,1,0,0.08092477917671204,0.11212590336799622,0.021344304084777832,0.0,0.0,10.0,1.0,12.2,40.0,71.0,0.0,0.0,5.1,17.6,2022-09-16T19:00:00Z,90.0,17.0,0.0,0.0,0.0,0.0,8.0,0.0,214492.0,0.0,1.0,21.0,2.0,-16312.0,14914.0,31226.0,73.0,True,0.0
3,0,1,0.1440463364124298,90,FW,Aston Villa,Manchester City,1,1,2022-09-03,18258,2022,547435,0,0,0,0,0.1440463364124298,0.1440463364124298,0,0.0,0.0,1.0,0.0,0.9,40.0,51.0,1.0,0.0,2.8,3.4,2022-09-03T16:30:00Z,90.0,13.0,0.0,0.0,0.0,0.0,6.0,0.0,245001.0,1.0,1.0,24.0,2.0,-81271.0,6123.0,87394.0,73.0,True,0.0
4,0,0,0,90,FW,Arsenal,Aston Villa,2,1,2022-08-31,18247,2022,546277,0,0,0,0,0,0.11677753180265427,0.11677753180265427,0.0,0.0,6.0,0.0,2.4,40.0,41.0,2.0,0.0,1.0,7.4,2022-08-31T18:30:00Z,90.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,322483.0,1.0,2.0,0.0,2.0,-73732.0,12526.0,86258.0,74.0,False,0.0
5,0,2,0.09531501680612564,90,FW,Aston Villa,West Ham,0,1,2022-08-28,18239,2022,545244,0,0,0,0,0.09531501680612564,0.1059776321053505,0.010662615299224854,0.0,0.0,6.0,0.0,2.5,40.0,32.0,1.0,0.0,4.2,4.6,2022-08-28T13:00:00Z,90.0,19.0,0.0,0.0,0.0,0.0,4.0,0.0,395239.0,1.0,0.0,35.0,2.0,19227.0,64190.0,44963.0,74.0,True,0.0
6,1,2,0.36191511154174805,90,FW,Crystal Palace,Aston Villa,3,1,2022-08-20,18223,2022,542450,0,0,0,1,0.36191511154174805,0.5478755831718445,0.18596047163009644,0.0,0.0,27.0,0.0,4.7,40.0,22.0,3.0,1.0,5.7,34.8,2022-08-20T14:00:00Z,90.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,355958.0,1.0,3.0,17.0,6.0,64527.0,104255.0,39728.0,74.0,False,0.0
7,0,2,0.5063844323158264,90,FW,Aston Villa,Everton,2,1,2022-08-13,18212,2022,540348,1.1387221813201904,2,2,0,0.5063844323158264,1.7372642755508423,0.09215766191482544,2.0,3.0,27.0,0.0,25.0,40.0,12.0,1.0,0.0,11.1,40.8,2022-08-13T11:30:00Z,90.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,257270.0,1.0,2.0,45.0,11.0,-84327.0,10167.0,94494.0,74.0,True,0.0
8,0,0,0,21,Sub,Bournemouth,Aston Villa,2,0,2022-08-06,18204,2022,539423,0.02232612855732441,0,1,0,0,0.02232612855732441,0,0.0,0.0,3.0,0.0,11.8,40.0,2.0,1.0,0.0,1.6,2.0,2022-08-06T14:00:00Z,24.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,324554.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,75.0,False,0.0
9,0,1,0.08686976879835129,90,FW,Manchester City,Aston Villa,3,2,2022-05-22,16754,2021,537936,0.10083959251642227,1,2,0,0.08686976879835129,0.1667894423007965,0,1.0,0.0,8.0,0.0,0.0,40.0,379.0,3.0,0.0,0.0,0.0,2022-05-22T15:00:00Z,90.0,12.0,0.0,0.0,0.0,0.0,38.0,0.0,808340.0,2.0,3.0,0.0,5.0,-104799.0,24904.0,129703.0,75.0,False,0.0
