,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,1,0.3338720202445984,90,AML,Manchester City,Norwich,5,0,2020-07-26,12017,2019,411374,0,0,0,0,0.3338720202445984,0.3338720202445984,0,0,0,5,0,0.7,284,377,4,0,3.7,13.4,2020-07-26T15:00:00Z,86,11,0,0,0,0,47,0,5066,0,5,23.0,2,-123,93,216,53,False,0
1,0,1,0.030022645369172096,90,AML,Norwich,Burnley,0,2,2020-07-18,12008,2019,409672,0,0,0,0,0.030022645369172096,0.030022645369172096,0,0,0,3,0,3.6,284,366,2,0,2.2,7.8,2020-07-18T16:30:00Z,85,5,0,0,0,0,46,0,5216,2,0,11.0,2,17,148,131,53,True,0
2,0,0,0,82,ML,Chelsea,Norwich,1,0,2020-07-14,11995,2019,408494,0.02564656175673008,0,1,0,0,0,0,0,0,9,0,11.9,284,353,1,0,2.6,8.4,2020-07-14T19:15:00Z,78,6,0,0,0,0,45,0,5112,0,1,6.0,2,-59,146,205,53,False,0
3,0,2,0.22142335772514343,73,AML,Norwich,West Ham,0,4,2020-07-11,11988,2019,407332,0.13771815598011017,0,1,0,0.22142335772514343,0.3591415286064148,0,0,0,7,0,12.0,284,346,3,0,4.9,8.4,2020-07-11T11:30:00Z,69,19,0,0,0,0,44,0,5155,4,0,29.0,2,290,443,153,53,True,0
4,0,2,0.11576342582702637,85,AML,Watford,Norwich,2,1,2020-07-07,11981,2019,406235,0.08302363753318787,1,2,0,0.11576342582702637,0.18274328112602234,0.014437404461205006,1,0,15,0,21.9,284,339,2,0,6.5,21.8,2020-07-07T17:00:00Z,82,18,0,0,0,0,43,0,4814,1,2,21.0,5,96,184,88,53,False,0
5,0,4,0.25513869524002075,69,AML,Norwich,Brighton,0,1,2020-07-04,11969,2019,405068,0.07584618031978607,0,2,0,0.25513869524002075,0.2778845429420471,0.04144731163978577,0,0,9,0,23.0,284,327,1,0,7.4,2.8,2020-07-04T11:30:00Z,66,4,0,0,0,0,42,0,4702,1,0,48.0,2,39,107,68,53,True,0
6,0,1,0.01502138003706932,42,Sub,Arsenal,Norwich,4,0,2020-07-01,11953,2019,404433,0.014084350317716599,0,1,0,0.01502138003706932,0.03824955224990845,0.009143821895122528,0,0,5,0,10.9,284,311,2,0,1.9,7.2,2020-07-01T17:00:00Z,45,1,0,0,0,0,41,0,4637,0,4,1.0,1,-11,44,55,53,False,0
7,0,2,0.155985027551651,82,AML,Norwich,Everton,0,1,2020-06-24,11948,2019,402342,0.014606550335884094,0,1,0,0.155985027551651,0.1705915778875351,0,0,0,9,0,12.7,284,307,1,0,5.2,5.6,2020-06-24T17:00:00Z,79,8,0,0,0,0,40,0,4628,1,0,34.0,2,-22,58,80,53,True,0
8,0,1,0.014835641719400883,26,Sub,Norwich,Southampton,0,3,2020-06-19,11937,2019,400725,0,0,0,0,0.014835641719400883,0.2667689025402069,0.2667689025402069,0,0,5,0,1.3,284,297,1,0,1.5,3.2,2020-06-19T17:00:00Z,28,16,0,0,0,0,39,0,4609,3,0,10.0,1,94,272,178,53,True,0
9,0,0,0,2,Sub,Newcastle United,Norwich,0,0,2020-02-01,11889,2019,386632,0,0,0,0,0,0,0,0,0,2,0,0.8,284,247,0,0,0.5,0.2,2020-02-01T15:00:00Z,4,13,0,0,0,0,25,0,4958,0,0,4.0,1,-67,137,204,53,False,0
10,0,0,0,7,Sub,Tottenham,Norwich,2,1,2020-01-22,11880,2019,386497,0,0,0,0,0,0.047359220683574677,0.047359220683574677,0,0,3,0,0.5,284,240,0,0,0.3,0.0,2020-01-22T19:30:00Z,8,17,0,0,0,0,24,0,4970,1,2,2.0,1,-147,63,210,53,False,0
11,0,1,0.02862708456814289,24,Sub,Manchester United,Norwich,4,0,2020-01-11,11862,2019,385846,0,0,0,0,0.02862708456814289,0.02862708456814289,0,0,0,4,0,0.8,284,217,1,0,1.3,2.0,2020-01-11T15:00:00Z,25,12,0,0,0,0,22,0,5150,0,4,10.0,1,-216,136,352,53,False,0
12,0,0,0,11,Sub,Norwich,Crystal Palace,1,1,2020-01-01,11850,2019,385641,0,0,0,0,0,0,0,0,0,5,0,0.0,284,207,1,0,0.3,3.0,2020-01-01T17:30:00Z,12,7,0,0,0,0,21,0,5293,1,1,0.0,1,-123,177,300,53,True,0
13,0,1,0.04690750315785408,90,AML,Norwich,Tottenham,2,2,2019-12-28,11839,2019,372789,0,0,0,0,0.04690750315785408,0.04690750315785408,0,0,0,2,0,1.8,284,197,2,0,2.1,6.2,2019-12-28T17:30:00Z,90,17,0,0,0,0,20,0,5361,2,2,13.0,2,-172,87,259,53,True,0
14,0,1,0.0888463705778122,11,Sub,Aston Villa,Norwich,1,0,2019-12-26,11823,2019,372560,0,0,0,0,0.0888463705778122,0.0888463705778122,0,0,0,1,0,0.1,284,181,0,0,2.0,3.0,2019-12-26T15:00:00Z,14,2,0,0,0,0,19,0,5494,0,1,17.0,1,-216,196,412,53,False,0
15,0,0,0,2,Sub,Norwich,Wolverhampton Wanderers,1,2,2019-12-21,11819,2019,371519,0,0,0,0,0,0,0,0,0,5,0,0.3,284,177,0,0,0.2,2.0,2019-12-21T15:00:00Z,3,20,0,0,0,0,18,0,5658,2,1,0.0,1,-158,250,408,53,True,0
16,0,0,0,1,Sub,Leicester,Norwich,1,1,2019-12-14,11807,2019,369821,0.05935836210846901,0,1,0,0,0.05935836210846901,0,0,0,4,0,10.3,284,165,0,0,1.5,3.0,2019-12-14T15:00:00Z,5,9,0,0,0,0,17,0,5768,1,1,2.0,1,-352,211,563,53,False,0
17,0,1,0.022754700854420662,74,AML,Norwich,Sheffield United,1,2,2019-12-08,11799,2019,369003,0.03267153352499008,0,2,0,0.022754700854420662,0.055426232516765594,0,0,0,7,0,22.4,284,157,2,0,3.8,6.8,2019-12-08T14:00:00Z,71,15,0,0,0,0,16,0,6074,2,1,9.0,2,70,449,379,53,True,0
18,0,1,0.05333951860666275,90,AML,Southampton,Norwich,2,1,2019-12-04,11790,2019,367714,0.143374964594841,0,3,0,0.05333951860666275,0.21858566999435425,0.021871177479624748,0,0,4,0,31.9,284,150,2,0,6.2,8.2,2019-12-04T19:30:00Z,90,16,0,0,0,0,15,0,5967,1,2,22.0,2,440,701,261,53,False,0
19,0,0,0,90,AML,Norwich,Arsenal,2,2,2019-12-01,11781,2019,366792,0.09872549027204514,1,2,0,0,0.3409740924835205,0.24224859476089478,1,0,19,0,23.9,284,137,2,0,6.8,36.0,2019-12-01T14:00:00Z,90,1,0,0,0,0,14,0,5441,2,2,8.0,5,265,550,285,53,True,0
20,0,3,0.20559772849082947,90,AML,Everton,Norwich,0,2,2019-11-23,11768,2019,364815,0.12299156934022903,0,2,0,0.20559772849082947,0.4075425863265991,0.07895328849554062,0,0,18,1,12.9,284,126,0,0,9.1,20.0,2019-11-23T15:00:00Z,90,8,0,0,0,0,13,0,5097,2,0,58.0,3,18,525,507,53,False,0
21,0,1,0.06461130082607269,90,AML,Norwich,Watford,0,2,2019-11-08,11757,2019,362812,0.04339823126792908,0,1,0,0.06461130082607269,0.21912480890750885,0.15451350808143616,0,0,7,0,18.6,284,117,2,0,5.5,12.4,2019-11-08T20:00:00Z,90,18,0,0,0,0,12,0,5046,2,0,24.0,2,786,947,161,53,True,0
