,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,90,GK,Bologna,Napoli,3,2,2019-05-25,9948,2018,334798,0,0,0,0,0,0.03312130644917488,0.03312130644917488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,90,GK,Napoli,Inter,4,1,2019-05-19,9946,2018,334396,0,0,0,0,0,0.10776744782924652,0.10776744782924652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,90,GK,Napoli,Genoa,1,1,2019-04-07,9882,2018,323515,0,0,0,0,0,0.04585031792521477,0.04585031792521477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,90,GK,Napoli,Chievo,0,0,2018-11-25,9704,2018,280890,0,0,0,0,0,0.4274364113807678,0.4274364113807678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,90,GK,Napoli,Empoli,5,1,2018-11-02,9683,2018,280168,0,0,0,0,0,0.5725669860839844,0.5725669860839844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,90,GK,Udinese,Napoli,0,3,2018-10-20,9665,2018,279680,0,0,0,0,0,0.056060757488012314,0.056060757488012314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,90,GK,Napoli,Parma Calcio 1913,3,0,2018-09-26,9633,2018,252385,0,0,0,0,0,0.036097753793001175,0.036097753793001175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,90,GK,Napoli,Fiorentina,1,0,2018-09-15,9613,2018,248963,0,0,0,0,0,0.10790987312793732,0.10790987312793732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,90,GK,Lazio,Napoli,1,2,2018-08-18,9578,2018,243188,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,90,GK,Watford,Newcastle United,2,1,2018-05-05,7482,2017,237539,0,0,0,0,0,0,0,0.0,24.0,0.0,0.0,0.0,10.0,0.0,0.0,6.0,0.0,0.0,0.0,536.0,0.0,0.0,369.0,0.0,1.0,0.0,0.9,21655.0,9.2,0.0,2018-05-05T14:00:00Z,05 May 15:00,0.0,0.0,90.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,7.0,0.0,37.0,1.0,10519.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,-757.0,203.0,960.0,45.0,True,0.0,0.0
10,0,0,0,90,GK,Tottenham,Watford,2,0,2018-04-30,7477,2017,236969,0,0,0,0,0,0,0,0.0,31.0,0.0,0.0,0.0,8.0,0.0,0.0,14.0,0.0,0.0,0.0,536.0,1.0,0.0,359.0,0.0,2.0,0.0,0.2,20693.0,1.8,0.0,2018-04-30T19:00:00Z,30 Apr 20:00,0.0,0.0,90.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,9.0,0.0,36.0,1.0,11377.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,-757.0,161.0,918.0,45.0,False,0.0,0.0
11,0,0,0,90,GK,Watford,Crystal Palace,0,0,2018-04-21,7467,2017,234321,0,0,0,0,0,0,0,0.0,21.0,0.0,0.0,0.0,23.0,1.0,0.0,15.0,0.0,0.0,0.0,536.0,0.0,0.0,349.0,0.0,0.0,0.0,1.1,20081.0,11.0,0.0,2018-04-21T14:00:00Z,21 Apr 15:00,0.0,0.0,90.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,9.0,0.0,35.0,1.0,13424.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1205.0,1620.0,415.0,45.0,True,0.0,0.0
12,0,0,0,90,GK,Huddersfield,Watford,1,0,2018-04-14,7451,2017,232079,0,0,0,0,0,0,0,0.0,21.0,0.0,0.0,0.0,8.0,0.0,1.0,6.0,0.0,0.0,0.0,536.0,0.0,0.0,333.0,0.0,1.0,0.0,0.1,19611.0,1.2,0.0,2018-04-14T14:00:00Z,14 Apr 15:00,0.0,0.0,90.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,34.0,0.0,10565.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,-97.0,679.0,776.0,45.0,False,0.0,0.0
13,0,0,0,90,GK,Watford,Burnley,1,2,2018-04-07,7447,2017,230458,0,0,0,0,0,0,0,0.0,18.0,0.0,0.0,0.0,12.0,0.0,1.0,3.0,0.0,0.0,0.0,536.0,0.0,1.0,329.0,0.0,2.0,0.0,1.0,18768.0,9.6,0.0,2018-04-07T14:00:00Z,07 Apr 15:00,0.0,0.0,90.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,33.0,2.0,10981.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,505.0,1160.0,655.0,45.0,True,0.0,0.0
14,0,0,0,90,GK,Watford,Bournemouth,2,2,2018-03-31,7437,2017,226917,0,0,0,0,0,0,0,0.0,30.0,0.0,0.0,0.0,16.0,0.0,0.0,18.0,0.0,0.0,0.0,536.0,0.0,0.0,318.0,0.0,2.0,0.0,2.4,18131.0,23.8,0.0,2018-03-31T14:00:00Z,31 Mar 15:00,0.0,0.0,90.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,32.0,4.0,10447.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1505.0,2752.0,1247.0,45.0,True,0.0,0.0
15,0,0,0,90,GK,Liverpool,Watford,5,0,2018-03-17,7423,2017,224183,0,0,0,0,0,0,0,0.0,33.0,0.0,0.0,0.0,16.0,0.0,1.0,9.0,0.0,0.0,0.0,536.0,1.0,0.0,305.0,0.0,5.0,0.0,3.4,17549.0,33.8,0.0,2018-03-17T17:30:00Z,17 Mar 17:30,0.0,0.0,90.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,11.0,0.0,31.0,5.0,13977.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1356.0,1932.0,576.0,45.0,False,0.0,0.0
16,0,0,0,90,GK,Arsenal,Watford,3,0,2018-03-11,7409,2017,222969,0,0,0,0,0,0.06765589863061905,0.06765589863061905,0.0,24.0,0.0,0.0,0.0,16.0,0.0,1.0,15.0,0.0,0.0,0.0,536.0,0.0,0.0,291.0,0.0,3.0,0.0,3.1,17230.0,31.0,0.0,2018-03-11T13:30:00Z,11 Mar 13:30,0.0,0.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,30.0,4.0,7443.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1619.0,2482.0,863.0,45.0,False,0.0,0.0
17,0,0,0,90,GK,Watford,West Bromwich Albion,1,0,2018-03-03,7408,2017,221022,0,0,0,0,0,0,0,0.0,33.0,0.0,0.0,2.0,29.0,1.0,1.0,12.0,0.0,0.0,0.0,536.0,0.0,0.0,290.0,0.0,0.0,0.0,1.4,16597.0,13.6,0.0,2018-03-03T15:00:00Z,03 Mar 15:00,0.0,0.0,90.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,22.0,0.0,29.0,2.0,5873.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,3152.0,3501.0,349.0,45.0,True,0.0,0.0
18,0,0,0,90,GK,Watford,Everton,1,0,2018-02-24,7392,2017,219317,0,0,0,0,0,0,0,0.0,27.0,0.0,0.0,0.0,27.0,1.0,0.0,16.0,0.0,0.0,0.0,536.0,0.0,0.0,279.0,0.0,0.0,0.0,1.4,15967.0,14.4,0.0,2018-02-24T17:30:00Z,24 Feb 17:30,0.0,0.0,90.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,11.0,0.0,28.0,3.0,2329.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,176.0,414.0,238.0,45.0,True,0.0,0.0
