,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,2,0.09023279696702957,90,MC,Atletico Madrid,Girona,2,1,2022-10-08,19032,2022,554203,0.01975671388208866,0,1,0,0.09023279696702957,0.26099273562431335,0.15100322663784027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0.03397800028324127,90,MC,Girona,Real Sociedad,3,5,2022-10-02,19025,2022,553420,0,0,0,0,0.03397800028324127,0.36204081773757935,0.32806283235549927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,1,0.02569228783249855,90,MC,Real Betis,Girona,2,1,2022-09-18,19014,2022,551701,0.015272287651896477,0,1,0,0.02569228783249855,1.037835955619812,1.0225636959075928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,2,0.6034756898880005,90,MC,Girona,Real Valladolid,2,1,2022-09-09,19008,2022,548784,0.04909541457891464,0,2,1,0.6034756898880005,0.5361761450767517,0.4870806932449341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,90,MC,Mallorca,Girona,1,1,2022-09-03,19001,2022,546895,0,0,0,0,0,0,0,0.0,,,,0.0,0.0,0.0,,,0.0,,,402.0,,,60.0,,0.0,0.0,0.0,,0.0,,2022-09-03T14:00:00Z,,,,0.0,,,20.0,0.0,,0.0,0.0,,0.0,6.0,0.0,6094.0,,,,0.0,1.0,0.0,0.0,-1542.0,152.0,1694.0,48.0,False,,0.0
5,0,0,0,77,MC,Tottenham,Southampton,4,1,2022-08-06,18207,2022,539505,0,0,0,0,0,0,0,0.0,,,,0.0,9.0,0.0,,,3.8,,,402.0,,,8.0,,4.0,0.0,1.2,,6.2,,2022-08-06T14:00:00Z,,,,74.0,,,18.0,0.0,,0.0,0.0,,0.0,1.0,0.0,10319.0,,,,1.0,4.0,2.0,2.0,0.0,0.0,0.0,50.0,False,,0.0
6,0,0,0,90,MC,Leicester,Southampton,4,1,2022-05-22,16752,2021,537875,0,0,0,0,0,0.15944665670394897,0.15944665670394897,0.0,,,,0.0,12.0,0.0,,,0.0,,,335.0,,,377.0,,3.0,0.0,0.0,,0.0,,2022-05-22T15:00:00Z,,,,90.0,,,9.0,0.0,,0.0,0.0,,0.0,38.0,0.0,49817.0,,,,1.0,4.0,0.0,1.0,-14.0,2085.0,2099.0,45.0,False,,1.0
7,0,0,0,16,Sub,Southampton,Liverpool,1,2,2022-05-17,16740,2021,536757,0,0,0,0,0,0.016933586448431015,0.016933586448431015,0.0,,,,0.0,3.0,0.0,,,0.3,,,335.0,,,366.0,,0.0,0.0,0.3,,2.2,,2022-05-17T18:45:00Z,,,,19.0,,,11.0,0.0,,0.0,0.0,,0.0,37.0,0.0,49434.0,,,,2.0,1.0,0.0,1.0,-1896.0,1816.0,3712.0,45.0,True,,0.0
8,0,0,0,5,Sub,Brentford,Southampton,3,0,2022-05-07,16734,2021,534226,0.008481362834572792,0,1,0,0,0.008481362834572792,0,0.0,,,,0.0,3.0,0.0,,,11.1,,,335.0,,,352.0,,0.0,0.0,1.5,,2.2,,2022-05-07T14:00:00Z,,,,7.0,,,3.0,0.0,,0.0,0.0,,0.0,36.0,0.0,51671.0,,,,0.0,3.0,2.0,1.0,3102.0,5732.0,2630.0,45.0,False,,0.0
9,1,1,0.12368207424879074,90,MC,Southampton,Crystal Palace,1,2,2022-04-30,16720,2021,530531,0.32724225521087646,0,4,1,0.12368207424879074,0.32724225521087646,0,0.0,,,,3.0,34.0,0.0,,,41.8,,,335.0,,,346.0,,2.0,1.0,12.5,,56.0,,2022-04-30T14:00:00Z,,,,90.0,,,7.0,0.0,,0.0,0.0,,0.0,35.0,0.0,48336.0,,,,2.0,1.0,27.0,10.0,1055.0,2542.0,1487.0,45.0,True,,0.0
