,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,6,Sub,Chelsea,Tottenham,2,1,2016-11-26,2712,2016,129181,0,0,0,0,0,0,0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,84.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,7023.0,0.2,0.0,2016-11-26T17:30:00Z,26 Nov 17:30,0.0,0.0,8.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,27915.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,-307.0,107.0,414.0,72.0,True,0.0,0.0
1,0,0,0,1,Sub,Middlesbrough,Chelsea,0,1,2016-11-20,2705,2016,128451,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.3,0.0,0.0,84.0,0.0,0.0,114.0,0.0,0.0,0.0,0.1,6422.0,0.2,0.0,2016-11-20T16:00:00Z,20 Nov 16:00,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,28096.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-692.0,234.0,926.0,72.0,False,0.0,0.0
2,0,0,0,17,Sub,Chelsea,Everton,5,0,2016-11-05,2691,2016,127998,0.1654721349477768,0,2,0,0,0.13128671050071716,0,0.0,10.0,0.0,0.0,0.0,9.0,0.0,0.0,8.0,28.0,0.0,0.0,84.0,0.0,0.0,104.0,0.0,0.0,0.0,3.8,5823.0,8.4,2.0,2016-11-05T17:30:00Z,05 Nov 17:30,0.0,0.0,20.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,28496.0,2.0,3.0,0.0,0.0,5.0,2.0,1.0,-882.0,225.0,1107.0,72.0,True,0.0,0.0
3,0,1,0.04045351967215538,7,Sub,Hull,Chelsea,0,2,2016-10-01,524,2016,127124,0.02732565812766552,0,1,0,0.04045351967215538,0.6105522513389587,0.5427730679512024,0.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,11.3,0.0,0.0,84.0,0.0,0.0,63.0,0.0,0.0,0.0,3.0,3450.0,7.4,1.0,2016-10-01T14:00:00Z,01 Oct 15:00,0.0,0.0,10.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,36521.0,1.0,1.0,0.0,2.0,0.0,11.0,1.0,-5266.0,353.0,5619.0,73.0,False,0.0,0.0
4,0,1,0.0538969524204731,85,AMC,Chelsea,Liverpool,1,2,2016-09-16,501,2016,126253,0.08303958922624588,0,2,0,0.0538969524204731,0.8074592351913452,0.6705226898193359,0.0,28.0,0.0,0.0,0.0,10.0,0.0,3.0,25.0,22.4,1.0,0.0,84.0,0.0,0.0,41.0,1.0,2.0,0.0,5.4,2280.0,10.0,2.0,2016-09-16T19:00:00Z,16 Sep 20:00,0.0,0.0,83.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0,48169.0,3.0,1.0,0.0,2.0,1.0,22.0,2.0,-3070.0,2213.0,5283.0,75.0,True,0.0,0.0
5,0,6,0.20645873248577118,90,MC,Swansea,Chelsea,2,2,2016-09-11,499,2016,126210,0.1980893462896347,1,3,0,0.20645873248577118,0.46389833092689514,0.10697765648365021,1.0,33.0,0.0,0.0,0.0,21.0,0.0,3.0,28.0,36.6,0.0,0.0,84.0,0.0,0.0,39.0,0.0,2.0,0.0,10.8,1699.0,29.4,3.0,2016-09-11T15:00:00Z,11 Sep 16:00,0.0,0.0,87.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,50086.0,0.0,0.0,3.0,2.0,2.0,42.0,5.0,-11441.0,1932.0,13373.0,75.0,False,0.0,0.0
6,0,0,0,90,MC,Chelsea,Burnley,3,0,2016-08-27,485,2016,125696,0.5643321871757507,0,3,0,0,1.206304907798767,1.131734848022461,0.0,65.0,2.0,0.0,0.0,23.0,1.0,2.0,53.0,40.8,0.0,0.0,84.0,0.0,0.0,21.0,1.0,0.0,0.0,7.0,1149.0,15.6,3.0,2016-08-27T14:00:00Z,27 Aug 15:00,0.0,0.0,90.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,59683.0,3.0,4.0,0.0,0.0,3.0,14.0,2.0,-943.0,9043.0,9986.0,75.0,True,0.0,1.0
7,0,2,0.09724394232034683,74,MC,Watford,Chelsea,1,2,2016-08-20,476,2016,125626,0.028901496902108192,0,1,0,0.09724394232034683,0.06534712761640549,0.028108468279242516,0.0,45.0,0.0,0.0,0.0,10.0,0.0,0.0,38.0,19.5,0.0,0.0,84.0,0.0,0.0,17.0,0.0,1.0,0.0,3.4,609.0,3.8,1.0,2016-08-20T14:00:00Z,20 Aug 15:00,0.0,0.0,72.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,57018.0,2.0,0.0,1.0,2.0,1.0,11.0,2.0,753.0,6530.0,5777.0,75.0,False,0.0,0.0
8,0,2,0.09337997436523438,87,MC,Chelsea,West Ham,2,1,2016-08-15,470,2016,124956,0.1674705296754837,0,3,0,0.09337997436523438,0.15089569985866547,0.01675393432378769,0.0,56.0,0.0,0.0,0.0,20.0,0.0,1.0,46.0,38.5,0.0,0.0,84.0,0.0,0.0,10.0,3.0,1.0,0.0,8.7,84.0,22.4,3.0,2016-08-15T19:00:00Z,15 Aug 20:00,0.0,0.0,84.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,48345.0,4.0,6.0,0.0,1.0,2.0,26.0,2.0,0.0,0.0,0.0,75.0,True,0.0,0.0
9,0,0,0,7,Sub,Sunderland,Chelsea,3,2,2016-05-07,442,2015,62775,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
