,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,1,0.01738903298974037,90,DC,Hoffenheim,Werder Bremen,1,2,2022-10-07,19417,2022,553727,0,0,0,0,0.01738903298974037,0.1558038741350174,0.1558038741350174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,3,0.07242551445960999,90,DC,Hertha Berlin,Hoffenheim,1,1,2022-10-02,19411,2022,553185,0.5971096158027649,1,1,0,0.07242551445960999,0.6882302165031433,0.054683852940797806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,1,0.05958806350827217,90,DC,Hoffenheim,Freiburg,0,0,2022-09-18,19404,2022,551714,0,0,0,0,0.05958806350827217,0.5025211572647095,0.4429331123828888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,90,DC,Hoffenheim,Mainz 05,4,1,2022-09-10,19390,2022,548998,0.027156397700309753,0,1,0,0,1.0541119575500488,1.026955485343933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,1,0.015574272722005844,90,DC,Borussia Dortmund,Hoffenheim,1,0,2022-09-02,19378,2022,546743,0,0,0,0,0.015574272722005844,0.04317307099699974,0.04317307099699974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,2,0.1739591360092163,90,DC,Hoffenheim,Augsburg,1,0,2022-08-27,19372,2022,544277,0.043883297592401505,0,1,0,0.1739591360092163,0.5132765769958496,0.4693932831287384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,90,DC,Bayer Leverkusen,Hoffenheim,0,3,2022-08-20,19365,2022,542202,0,0,0,0,0,0.1015164777636528,0.1015164777636528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,2,0.0660225972533226,90,DC,Hoffenheim,Bochum,3,2,2022-08-13,19355,2022,540431,0,0,0,1,0.0660225972533226,0.25053566694259644,0.25053566694259644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,90,DC,Borussia M.Gladbach,Hoffenheim,3,1,2022-08-06,19344,2022,539290,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,90,DC,Leeds,Norwich,2,1,2022-03-13,16662,2021,520053,0,0,0,0,0,0.4889599084854126,0.4889599084854126,0.0,0.0,10.0,0.0,0.4,580.0,287.0,2.0,0.0,1.0,9.8,2022-03-13T14:00:00Z,90.0,10.0,0.0,0.0,0.0,0.0,29.0,0.0,4511.0,1.0,2.0,0.0,1.0,5.0,83.0,78.0,43.0,False,0.0
