,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,5,0.3675244152545929,71,AMC,Leeds,West Bromwich Albion,3,1,2021-05-23,14808,2020,473316,0.032446637749671936,0,1,0,0.3675244152545929,0.415982186794281,0.016011154279112816,1.0,0.0,19.0,1.0,13.4,193.0,372.0,0.0,0.0,8.4,9.8,2021-05-23T15:00:00Z,69.0,18.0,0.0,0.0,0.0,0.0,38.0,0.0,21259.0,1.0,3.0,61.0,6.0,1756.0,2011.0,255.0,57.0,True,0.0
1,0,0,0,10,Sub,Brighton,Leeds,2,0,2021-05-01,14765,2020,466969,0,0,0,0,0,0.007705395575612783,0.007705395575612783,0.0,0.0,5.0,0.0,0.8,193.0,329.0,1.0,0.0,0.4,3.2,2021-05-01T14:00:00Z,11.0,3.0,0.0,0.0,0.0,0.0,34.0,0.0,19232.0,0.0,2.0,0.0,1.0,102.0,249.0,147.0,57.0,False,0.0
2,0,0,0,3,Sub,Leeds,Liverpool,1,1,2021-04-19,14749,2020,463987,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,1.7,193.0,313.0,0.0,0.0,0.2,0.4,2021-04-19T19:00:00Z,4.0,11.0,0.0,0.0,0.0,0.0,32.0,0.0,18910.0,1.0,1.0,0.0,1.0,87.0,210.0,123.0,57.0,True,0.0
3,0,1,0.010345794260501862,18,Sub,Leeds,Aston Villa,0,1,2021-02-27,14691,2020,452510,0,0,0,0,0.010345794260501862,0.5636467337608337,0.5533009767532349,0.0,0.0,1.0,0.0,1.4,193.0,252.0,0.0,0.0,1.2,0.2,2021-02-27T17:30:00Z,19.0,2.0,0.0,0.0,0.0,0.0,26.0,0.0,19221.0,1.0,0.0,10.0,0.0,-386.0,245.0,631.0,57.0,True,1.0
4,0,1,0.10843190550804138,12,Sub,Leeds,Southampton,3,0,2021-02-23,14608,2020,451759,0,0,0,0,0.10843190550804138,0.2472962737083435,0.13886436820030212,0.0,0.0,3.0,0.0,0.1,193.0,172.0,0.0,0.0,0.3,0.0,2021-02-23T18:00:00Z,15.0,16.0,0.0,0.0,0.0,0.0,25.0,0.0,19543.0,0.0,3.0,4.0,1.0,358.0,823.0,465.0,57.0,True,0.0
5,0,0,0,24,Sub,Wolverhampton Wanderers,Leeds,1,0,2021-02-19,14684,2020,450399,0,0,0,0,0,0.05388607829809189,0.05388607829809189,0.0,0.0,3.0,0.0,0.7,193.0,248.0,0.0,0.0,0.1,0.6,2021-02-19T20:00:00Z,24.0,20.0,0.0,0.0,0.0,0.0,25.0,0.0,19543.0,0.0,1.0,0.0,1.0,358.0,823.0,465.0,57.0,False,0.0
6,0,0,0,10,Sub,Leeds,Everton,1,2,2021-02-03,14648,2020,447016,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,1.8,193.0,212.0,0.0,0.0,0.4,2.2,2021-02-03T19:30:00Z,12.0,7.0,0.0,0.0,0.0,0.0,22.0,0.0,19665.0,2.0,1.0,0.0,1.0,-219.0,150.0,369.0,57.0,True,0.0
7,0,0,0,21,Sub,Leeds,Brighton,0,1,2021-01-16,14618,2020,442310,0,0,0,0,0,0.029761726036667824,0.029761726036667824,0.0,0.0,4.0,0.0,2.8,193.0,182.0,0.0,0.0,0.6,3.0,2021-01-16T15:00:00Z,23.0,3.0,0.0,0.0,0.0,0.0,19.0,0.0,20323.0,1.0,0.0,0.0,1.0,-119.0,366.0,485.0,57.0,True,0.0
8,0,2,0.07541555911302567,24,Sub,Tottenham,Leeds,3,0,2021-01-02,14599,2020,438921,0.054060325026512146,0,2,0,0.07541555911302567,0.0939522236585617,0.023671692237257957,0.0,0.0,11.0,0.0,22.5,193.0,167.0,0.0,0.0,6.1,10.8,2021-01-02T12:30:00Z,25.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0,20660.0,0.0,3.0,28.0,1.0,-295.0,565.0,860.0,57.0,False,0.0
9,0,0,0,18,Sub,West Bromwich Albion,Leeds,0,5,2020-12-29,14590,2020,438483,0,0,0,0,0,0.4340297281742096,0.4340297281742096,0.0,0.0,4.0,0.0,1.6,193.0,158.0,0.0,0.0,0.5,1.4,2020-12-29T18:00:00Z,20.0,18.0,0.0,0.0,0.0,0.0,16.0,0.0,20845.0,5.0,0.0,2.0,1.0,-213.0,408.0,621.0,57.0,False,0.0
