,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,1,1,0.38431715965270996,90,DC,Monza,Spezia,2,0,2022-10-09,18666,2022,554864,0,0,0,1,0.38431715965270996,0.11979252845048904,0.11979252845048904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,90,DC,Sampdoria,Monza,0,3,2022-10-02,18660,2022,553089,0,0,0,0,0,0.11218014359474182,0.11218014359474182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,90,DC,Monza,Juventus,1,0,2022-09-18,18646,2022,551321,0,0,0,0,0,0.526432454586029,0.526432454586029,0.0,0.0,0.0,0.0,0.0,20.0,72.0,0.0,0.0,0.0,0.0,2022-09-18T11:00:00Z,0.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,2085.0,3.0,0.0,0.0,0.0,-33.0,0.0,33.0,45.0,False,0.0
3,0,0,0,90,DC,Lecce,Monza,1,1,2022-09-11,18638,2022,549758,0,0,0,0,0,0.034312598407268524,0.034312598407268524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,90,DC,Monza,Atalanta,0,2,2022-09-05,18629,2022,548364,0,0,0,0,0,0.07225383818149567,0.07225383818149567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,1,0.0072583528235554695,90,DC,Monza,Torino,1,2,2022-08-13,18584,2022,540977,0.01789993979036808,0,1,0,0.0072583528235554695,0.1226431205868721,0.11538476496934891,0.0,0.0,0.0,0.0,0.0,20.0,11.0,0.0,0.0,0.0,0.0,2022-08-13T14:00:00Z,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,4655.0,2.0,4.0,0.0,0.0,-1024.0,162.0,1186.0,45.0,True,0.0
6,1,3,0.2826445698738098,90,DC,Udinese,Spezia,2,3,2022-05-14,17125,2021,535569,0,0,0,1,0.2826445698738098,0.22691521048545837,0.10649783164262772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,1,0.11001560091972351,90,DC,Sassuolo,Udinese,1,1,2022-05-07,17112,2021,532777,0.5194078683853149,0,1,0,0.11001560091972351,0.34105709195137024,0.34105709195137024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,90,DC,Udinese,Inter,1,2,2022-05-01,17105,2021,531380,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8.0,349.0,0.0,0.0,0.0,0.0,2022-05-01T15:30:00Z,0.0,19.0,0.0,0.0,0.0,0.0,35.0,0.0,7844.0,2.0,1.0,0.0,0.0,-30.0,0.0,30.0,42.0,False,0.0
9,1,1,0.060645364224910736,90,DC,Fiorentina,Udinese,0,4,2022-04-27,16948,2021,529912,0.24922926723957062,0,1,1,0.060645364224910736,0.15406915545463562,0.09342379122972488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,1,0.11658167839050293,90,DC,Bologna,Udinese,2,2,2022-04-24,17086,2021,529224,0,0,0,0,0.11658167839050293,0.15521574020385742,0.15521574020385742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,0,0,90,DC,Udinese,Salernitana,0,1,2022-04-20,16944,2021,527620,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8.0,243.0,0.0,0.0,0.0,0.0,2022-04-20T18:45:00Z,0.0,6.0,0.0,0.0,0.0,0.0,33.0,0.0,7908.0,4.0,2.0,0.0,0.0,-22.0,0.0,22.0,42.0,False,0.0
12,0,0,0,90,DC,Udinese,Empoli,4,1,2022-04-16,17085,2021,526186,0.13602620363235474,0,1,0,0,0.41120126843452454,0.2751750648021698,0.0,0.0,0.0,0.0,0.0,8.0,326.0,0.0,0.0,0.0,0.0,2022-04-16T14:00:00Z,0.0,16.0,0.0,0.0,0.0,0.0,33.0,0.0,7908.0,0.0,1.0,0.0,0.0,-22.0,0.0,22.0,42.0,False,0.0
13,0,1,0.021146953105926514,90,DC,Venezia,Udinese,1,2,2022-04-10,17075,2021,525287,0.05712781101465225,0,1,0,0.021146953105926514,0.5721356272697449,0.5150077939033508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,1,0.019337087869644165,83,DC,Napoli,Udinese,2,1,2022-03-19,17052,2021,521125,0,0,0,0,0.019337087869644165,0.16000761091709137,0.16000761091709137,0.0,0.0,0.0,0.0,0.0,8.0,291.0,0.0,0.0,0.0,0.0,2022-03-19T12:30:00Z,0.0,2.0,0.0,0.0,0.0,0.0,30.0,0.0,7998.0,1.0,0.0,0.0,0.0,-37.0,0.0,37.0,42.0,False,0.0
15,0,2,0.03343052789568901,90,DC,Udinese,Roma,1,1,2022-03-13,17045,2021,520392,0,0,0,0,0.03343052789568901,0.11467108130455017,0.10294955223798752,0.0,0.0,0.0,0.0,0.0,8.0,281.0,0.0,0.0,0.0,0.0,2022-03-13T16:30:00Z,0.0,9.0,0.0,0.0,0.0,0.0,29.0,0.0,8030.0,0.0,2.0,0.0,0.0,-61.0,0.0,61.0,42.0,True,0.0
16,0,0,0,90,DC,Udinese,Sampdoria,2,1,2022-03-05,17034,2021,517313,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
