,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,2,0.3784918189048767,67,FW,Crystal Palace,Leeds,2,1,2022-10-09,18296,2022,554733,0,0,0,0,0.3784918189048767,0.3784918189048767,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0.050839196890592575,17,Sub,Leeds,Aston Villa,0,0,2022-10-02,18286,2022,553305,0.08471320569515228,0,1,0,0.050839196890592575,0.13555240631103516,0,0.0,,,,0.0,3.0,0.0,,,10.3,,,227.0,,,85.0,,0.0,0.0,3.4,,5.0,,2022-10-02T15:30:00Z,,,,22.0,,,2.0,0.0,,0.0,0.0,,0.0,9.0,0.0,45387.0,,,,0.0,0.0,19.0,1.0,686.0,3897.0,3211.0,73.0,True,,0.0
2,0,2,0.91208815574646,41,Sub,Brentford,Leeds,5,2,2022-09-03,18257,2022,547243,0,0,0,0,0.91208815574646,0.9838970899581909,0.07180891931056976,0.0,,,,0.0,-4.0,0.0,,,1.4,,,227.0,,,52.0,,3.0,0.0,1.5,,0.0,,2022-09-03T14:00:00Z,,,,45.0,,,4.0,0.0,,0.0,0.0,,0.0,6.0,0.0,50659.0,,,,2.0,5.0,17.0,1.0,2588.0,8719.0,6131.0,73.0,False,,0.0
3,0,1,0.10193037986755371,10,Sub,Leeds,Everton,1,1,2022-08-30,18245,2022,545989,0,0,0,0,0.10193037986755371,0.15754054486751556,0.055610157549381256,0.0,,,,0.0,2.0,0.0,,,1.0,,,227.0,,,45.0,,0.0,0.0,0.4,,0.0,,2022-08-30T19:00:00Z,,,,14.0,,,8.0,0.0,,0.0,0.0,,0.0,5.0,0.0,46210.0,,,,1.0,1.0,4.0,1.0,-9949.0,446.0,10395.0,73.0,True,,0.0
4,0,2,0.22256910800933838,27,FW,Southampton,Leeds,2,2,2022-08-13,18215,2022,540610,0,0,0,0,0.22256910800933838,0.22256910800933838,0,0.0,,,,0.0,1.0,0.0,,,1.0,,,227.0,,,19.0,,0.0,0.0,3.8,,0.0,,2022-08-13T14:00:00Z,,,,27.0,,,17.0,0.0,,0.0,0.0,,0.0,2.0,0.0,139007.0,,,,2.0,2.0,41.0,1.0,3126.0,21767.0,18641.0,75.0,False,,0.0
5,0,2,0.42691925168037415,86,FW,Leeds,Wolverhampton Wanderers,2,1,2022-08-06,18205,2022,539435,0,0,0,0,0.42691925168037415,0.42691925168037415,0,1.0,,,,0.0,8.0,0.0,,,1.2,,,227.0,,,5.0,,1.0,0.0,4.2,,6.4,,2022-08-06T14:00:00Z,,,,83.0,,,20.0,0.0,,0.0,0.0,,0.0,1.0,0.0,110859.0,,,,1.0,2.0,34.0,5.0,0.0,0.0,0.0,75.0,True,,0.0
6,0,1,0.0972406268119812,22,FW,Wolverhampton Wanderers,Leeds,2,3,2022-03-18,16675,2021,520953,0,0,0,0,0.0972406268119812,0.0972406268119812,0,0.0,,,,0.0,2.0,0.0,,,0.1,,,189.0,,,300.0,,0.0,0.0,0.1,,0.0,,2022-03-18T20:00:00Z,,,,22.0,,,20.0,0.0,,0.0,0.0,,0.0,30.0,0.0,303372.0,,,,3.0,2.0,4.0,1.0,14486.0,16631.0,2145.0,77.0,False,,0.0
7,0,2,0.3982040584087372,48,FW,Leeds,Norwich,2,1,2022-03-13,16662,2021,520047,0.5683650970458984,0,1,0,0.3982040584087372,0.966569185256958,0,0.0,,,,0.0,2.0,0.0,,,14.5,,,189.0,,,287.0,,0.0,0.0,2.1,,0.0,,2022-03-13T14:00:00Z,,,,45.0,,,15.0,0.0,,0.0,0.0,,0.0,29.0,0.0,269777.0,,,,1.0,2.0,8.0,1.0,6288.0,7813.0,1525.0,77.0,True,,0.0
8,0,1,0.08347341418266296,31,Sub,Leeds,Aston Villa,0,3,2022-03-10,16572,2021,518952,0.06402496993541718,0,1,0,0.08347341418266296,0.14749838411808014,0,0.0,,,,0.0,4.0,0.0,,,10.5,,,189.0,,,196.0,,2.0,0.0,1.6,,1.0,,2022-03-10T19:45:00Z,,,,32.0,,,2.0,0.0,,0.0,0.0,,0.0,28.0,0.0,262893.0,,,,3.0,0.0,4.0,1.0,-345.0,821.0,1166.0,77.0,True,,0.0
9,1,1,0.5719913840293884,19,Sub,Leeds,Brentford,2,2,2021-12-05,16518,2021,500491,0,0,0,1,0.5719913840293884,0,0,0.0,,,,0.0,22.0,0.0,,,0.1,,,189.0,,,143.0,,0.0,1.0,6.4,,31.0,,2021-12-05T14:00:00Z,,,,22.0,,,3.0,0.0,,0.0,0.0,,0.0,15.0,0.0,286962.0,,,,2.0,2.0,33.0,4.0,-967.0,2930.0,3897.0,77.0,True,,1.0
