,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,1,2,0.755308985710144,69,FW,Bournemouth,Leicester,2,1,2022-10-08,18293,2022,554081,0,0,0,1,0.755308985710144,0.7872877717018127,0.0319787934422493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,0.1451703906059265,27,Sub,Leicester,Nottingham Forest,4,0,2022-10-03,18287,2022,553612,0,0,0,1,0.1451703906059265,0.20663689076900482,0.06146650388836861,0.0,0.0,25.0,0.0,1.8,271.0,86.0,0.0,1.0,5.4,33.4,2022-10-03T19:00:00Z,28.0,16.0,0.0,0.0,0.0,0.0,9.0,0.0,75653.0,0.0,4.0,19.0,5.0,-2675.0,6887.0,9562.0,57.0,True,0.0
2,0,3,0.0826575979590416,76,FW,Tottenham,Leicester,6,2,2022-09-17,18278,2022,550912,0.2615037262439728,0,2,0,0.0826575979590416,0.49127864837646484,0.14711731672286987,0.0,0.0,9.0,0.0,21.8,271.0,79.0,4.0,0.0,6.8,9.8,2022-09-17T16:30:00Z,73.0,18.0,0.0,0.0,0.0,0.0,8.0,0.0,76971.0,2.0,6.0,36.0,1.0,-1988.0,2267.0,4255.0,57.0,False,1.0
3,1,3,0.37913551926612854,90,FW,Brighton,Leicester,5,2,2022-09-04,18259,2022,547899,0.5135366916656494,1,1,1,0.37913551926612854,0.8926722407341003,0,1.0,2.0,44.0,0.0,10.8,271.0,53.0,5.0,1.0,10.3,62.4,2022-09-04T13:00:00Z,90.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,71351.0,2.0,5.0,30.0,11.0,-10041.0,2615.0,12656.0,57.0,False,0.0
4,0,0,0,2,Sub,Leicester,Manchester United,0,1,2022-09-01,18251,2022,546682,0.05144013836979866,0,1,0,0,0.07227795571088791,0.020837821066379547,0.0,0.0,4.0,0.0,10.5,271.0,46.0,0.0,0.0,1.3,2.2,2022-09-01T19:00:00Z,3.0,14.0,0.0,0.0,0.0,0.0,5.0,0.0,79411.0,1.0,0.0,0.0,1.0,-10964.0,2646.0,13610.0,58.0,True,0.0
5,0,0,0,24,Sub,Leicester,Southampton,1,2,2022-08-20,18226,2022,542381,0,0,0,0,0,0,0,0.0,0.0,-2.0,0.0,0.3,271.0,26.0,2.0,0.0,0.0,0.0,2022-08-20T14:00:00Z,25.0,17.0,0.0,0.0,0.0,0.0,3.0,0.0,101732.0,2.0,1.0,0.0,0.0,-18438.0,7363.0,25801.0,59.0,True,1.0
6,0,1,0.07953464984893799,23,Sub,Arsenal,Leicester,4,2,2022-08-13,18217,2022,540672,0,0,0,0,0.07953464984893799,0.14278340339660645,0.06324876099824905,0.0,0.0,2.0,0.0,3.3,271.0,11.0,1.0,0.0,3.2,9.0,2022-08-13T14:00:00Z,27.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,112697.0,2.0,4.0,20.0,1.0,-18403.0,8046.0,26449.0,60.0,False,0.0
7,0,0,0,16,Sub,Leicester,Brentford,2,2,2022-08-07,18210,2022,539834,0,0,0,0,0,0,0,0.0,0.0,4.0,0.0,0.1,271.0,6.0,1.0,0.0,0.1,1.2,2022-08-07T13:00:00Z,17.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,113131.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,60.0,True,0.0
8,0,1,0.13373032212257385,5,Sub,Watford,Leicester,1,5,2022-05-15,16738,2021,536078,0,0,0,0,0.13373032212257385,0.35978570580482483,0.35978570580482483,0.0,0.0,5.0,0.0,0.3,455.0,368.0,0.0,0.0,2.3,5.2,2022-05-15T13:00:00Z,9.0,18.0,0.0,0.0,0.0,0.0,37.0,0.0,135893.0,5.0,1.0,17.0,1.0,13436.0,18105.0,4669.0,70.0,False,0.0
9,1,3,0.782158374786377,83,FW,Leicester,Everton,1,2,2022-05-08,16729,2021,533434,0.10530752688646317,0,2,1,0.782158374786377,0.8295779228210449,0.014089883305132389,0.0,3.0,26.0,0.0,21.3,455.0,357.0,2.0,1.0,9.6,34.0,2022-05-08T13:00:00Z,79.0,8.0,0.0,0.0,0.0,0.0,36.0,0.0,119717.0,2.0,1.0,41.0,9.0,1439.0,5821.0,4382.0,70.0,True,0.0
10,0,1,0.07085251808166504,68,FW,Tottenham,Leicester,3,1,2022-05-01,16719,2021,531039,0.03462459146976471,0,1,0,0.07085251808166504,0.10547710955142975,0,0.0,0.0,3.0,0.0,13.0,455.0,347.0,2.0,0.0,4.2,11.6,2022-05-01T13:00:00Z,66.0,17.0,0.0,0.0,0.0,0.0,35.0,0.0,117641.0,1.0,3.0,17.0,2.0,-4098.0,2492.0,6590.0,70.0,False,0.0
11,0,1,0.07394371926784515,73,FW,Leicester,Aston Villa,0,0,2022-04-23,16709,2021,528678,0,0,0,0,0.07394371926784515,0.07394371926784515,0,0.0,0.0,6.0,1.0,2.0,455.0,337.0,0.0,0.0,2.5,2.4,2022-04-23T14:00:00Z,70.0,2.0,0.0,0.0,0.0,0.0,34.0,0.0,121471.0,0.0,0.0,21.0,2.0,-4917.0,2974.0,7891.0,70.0,True,0.0
12,0,0,0,12,Sub,Everton,Leicester,1,1,2022-04-20,16547,2021,527883,0.21474412083625793,0,2,0,0,0.21474412083625793,0.10554301738739014,0.0,0.0,0.0,0.0,21.1,455.0,172.0,1.0,0.0,2.7,2.2,2022-04-20T18:45:00Z,13.0,8.0,0.0,0.0,0.0,0.0,33.0,0.0,127400.0,1.0,1.0,4.0,0.0,4924.0,9980.0,5056.0,70.0,False,1.0
13,0,0,0,83,FW,Newcastle United,Leicester,2,1,2022-04-17,16701,2021,527023,0,0,0,0,0,0,0,0.0,0.0,5.0,0.0,3.2,455.0,325.0,1.0,0.0,0.7,2.2,2022-04-17T13:15:00Z,77.0,14.0,0.0,0.0,0.0,0.0,33.0,0.0,127400.0,1.0,2.0,2.0,2.0,4924.0,9980.0,5056.0,70.0,False,0.0
14,0,1,0.018437964841723442,78,FW,Leicester,Crystal Palace,2,1,2022-04-10,16691,2021,525189,0,0,0,0,0.018437964841723442,0.0975475087761879,0.0791095420718193,0.0,0.0,5.0,0.0,1.1,455.0,315.0,1.0,0.0,1.5,0.0,2022-04-10T13:00:00Z,75.0,7.0,0.0,0.0,0.0,0.0,32.0,0.0,120842.0,1.0,2.0,14.0,2.0,-5090.0,1992.0,7082.0,70.0,True,0.0
15,0,0,0,1,Sub,Manchester United,Leicester,1,1,2022-04-02,16679,2021,523038,0,0,0,0,0,0,0,0.0,0.0,5.0,0.0,0.0,455.0,307.0,0.0,0.0,0.2,2.4,2022-04-02T16:30:00Z,1.0,13.0,0.0,0.0,0.0,0.0,31.0,0.0,125402.0,1.0,1.0,0.0,1.0,-12649.0,1619.0,14268.0,71.0,False,0.0
16,0,0,0,3,Sub,Leicester,Brentford,2,1,2022-03-20,16668,2021,521730,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,0.0,455.0,293.0,0.0,0.0,0.0,0.0,2022-03-20T14:00:00Z,4.0,3.0,0.0,0.0,0.0,0.0,30.0,0.0,141170.0,1.0,2.0,0.0,1.0,-2593.0,9847.0,12440.0,71.0,True,0.0
17,0,0,0,15,Sub,Arsenal,Leicester,2,0,2022-03-13,16656,2021,520357,0,0,0,0,0,0,0,0.0,0.0,-4.0,0.0,0.0,455.0,281.0,0.0,0.0,0.0,0.0,2022-03-13T16:30:00Z,16.0,1.0,0.0,0.0,0.0,0.0,29.0,0.0,137742.0,0.0,2.0,4.0,0.0,-21782.0,3791.0,25573.0,71.0,False,1.0
