,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,9,MC,Liverpool,Manchester United,4,0,2022-04-19,16669,2021,527545,0,0,0,0,0,0,0,0.0,,,,0.0,3.0,0.0,,,0.1,,,272.0,,,294.0,,1.0,0.0,0.0,,0.0,,2022-04-19T19:00:00Z,,,,9.0,,,11.0,0.0,,0.0,0.0,,0.0,33.0,0.0,616346.0,,,,0.0,4.0,0.0,1.0,2105.0,10006.0,7901.0,74.0,False,,0.0
1,0,0,0,77,MC,Manchester United,Norwich,3,2,2022-04-16,16702,2021,526373,0,0,0,0,0,0.3228200078010559,0.3228200078010559,0.0,,,,0.0,20.0,0.0,,,3.7,,,272.0,,,324.0,,2.0,0.0,2.5,,15.0,,2022-04-16T14:00:00Z,,,,73.0,,,15.0,0.0,,0.0,0.0,,0.0,33.0,0.0,616346.0,,,,2.0,3.0,6.0,2.0,2105.0,10006.0,7901.0,74.0,True,,0.0
2,0,1,0.0159932728856802,55,Sub,Everton,Manchester United,1,0,2022-04-09,16692,2021,524358,0,0,0,0,0.0159932728856802,0.0159932728856802,0,0.0,,,,0.0,6.0,0.0,,,4.4,,,272.0,,,314.0,,0.0,0.0,2.1,,9.8,,2022-04-09T11:30:00Z,,,,54.0,,,8.0,0.0,,0.0,0.0,,0.0,32.0,0.0,612932.0,,,,0.0,1.0,7.0,0.0,-2488.0,3929.0,6417.0,74.0,False,,1.0
3,0,1,0.041955217719078064,78,AMC,Manchester United,Leicester,1,1,2022-04-02,16679,2021,523020,0,0,0,0,0.041955217719078064,0.17642775177955627,0.1344725340604782,0.0,,,,0.0,7.0,0.0,,,5.8,,,272.0,,,307.0,,1.0,0.0,3.0,,5.6,,2022-04-02T16:30:00Z,,,,74.0,,,9.0,0.0,,0.0,0.0,,0.0,31.0,0.0,614735.0,,,,1.0,1.0,19.0,2.0,-6839.0,2171.0,9010.0,74.0,True,,0.0
4,0,1,0.04083935171365738,90,AMC,Manchester United,Tottenham,3,2,2022-03-12,16663,2021,519511,0,0,0,0,0.04083935171365738,0.7201685905456543,0.6793292164802551,0.0,,,,0.0,-2.0,0.0,,,4.9,,,272.0,,,288.0,,2.0,0.0,0.9,,0.6,,2022-03-12T17:30:00Z,,,,90.0,,,17.0,0.0,,0.0,0.0,,0.0,29.0,0.0,629953.0,,,,2.0,3.0,3.0,1.0,-23190.0,4023.0,27213.0,74.0,True,,1.0
5,0,0,0,67,AMC,Manchester City,Manchester United,4,1,2022-03-06,16650,2021,518466,0.04735324904322624,1,1,0,0,0.04735324904322624,0,1.0,,,,0.0,13.0,0.0,,,15.3,,,272.0,,,275.0,,2.0,0.0,3.2,,14.8,,2022-03-06T16:30:00Z,,,,63.0,,,12.0,0.0,,0.0,0.0,,0.0,28.0,0.0,646849.0,,,,1.0,4.0,2.0,5.0,-59116.0,3414.0,62530.0,74.0,False,,0.0
6,0,2,0.0550943948328495,90,AMC,Manchester United,Watford,0,0,2022-02-26,16643,2021,516055,0.8560959696769714,0,3,0,0.0550943948328495,1.0538721084594727,0.18860146403312683,0.0,,,,0.0,19.0,1.0,,,38.3,,,272.0,,,268.0,,0.0,0.0,7.5,,12.4,,2022-02-26T15:00:00Z,,,,90.0,,,18.0,0.0,,0.0,0.0,,0.0,27.0,0.0,711947.0,,,,0.0,0.0,24.0,3.0,-2069.0,18608.0,20677.0,74.0,True,,0.0
7,0,2,0.06948546320199966,73,DMC,Leeds,Manchester United,2,4,2022-02-20,16630,2021,514698,0.8160206079483032,0,2,0,0.06948546320199966,1.0123705863952637,0.15150336921215057,0.0,,,,0.0,13.0,0.0,,,25.2,,,272.0,,,255.0,,2.0,0.0,5.0,,13.2,,2022-02-20T14:00:00Z,,,,66.0,,,10.0,0.0,,0.0,0.0,,0.0,26.0,0.0,688613.0,,,,4.0,2.0,12.0,2.0,-49950.0,19954.0,69904.0,74.0,False,,0.0
8,0,1,0.05246089771389961,17,Sub,Manchester United,Brighton,2,0,2022-02-15,16549,2021,513768,0.4422554075717926,1,1,0,0.05246089771389961,0.12314565479755402,0.0706847533583641,1.0,,,,0.0,18.0,0.0,,,12.7,,,272.0,,,174.0,,0.0,0.0,4.2,,21.4,,2022-02-15T20:15:00Z,,,,17.0,,,4.0,0.0,,0.0,0.0,,0.0,25.0,0.0,770923.0,,,,0.0,2.0,8.0,4.0,162690.0,169674.0,6984.0,74.0,True,,0.0
9,0,2,0.17545214295387268,90,DMC,Manchester United,Southampton,1,1,2022-02-12,16621,2021,512408,0.06302126497030258,0,1,0,0.17545214295387268,0.5946655869483948,0.531644344329834,0.0,,,,0.0,13.0,0.0,,,13.2,,,272.0,,,246.0,,1.0,0.0,5.3,,18.6,,2022-02-12T12:30:00Z,,,,90.0,,,16.0,0.0,,0.0,0.0,,0.0,25.0,0.0,770923.0,,,,1.0,1.0,21.0,1.0,162690.0,169674.0,6984.0,74.0,True,,1.0
