,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,90,GK,Swansea,Burnley,3,2,2017-03-04,3405,2016,133232,0,0,0,0,0,0,0,0,33,0,0,0,18,0,2,12,0.0,0,0,472,0,0,266,0,3,0,3.4,16107,33.8,0,2017-03-04T15:00:00Z,04 Mar 15:00,0,0,90,0,0,16,0,0,0,0,5,0,27,5,109177,0,0,0,2,3,0.0,2,-346,820,1166,40,False,0,0
1,0,0,0,90,GK,Stoke,Burnley,2,0,2016-12-03,3107,2016,128740,0,0,0,0,0,0.05131080746650696,0.05131080746650696,0,27,0,0,0,12,0,0,13,0.0,0,0,472,0,0,136,0,2,0,1.4,8015,14.2,0,2016-12-03T15:00:00Z,03 Dec 15:00,0,0,90,0,0,14,0,0,0,0,8,0,14,2,103014,0,0,0,0,2,0.0,1,3250,3971,721,40,False,0,0
2,0,0,0,90,GK,Burnley,Manchester City,1,2,2016-11-26,2707,2016,129087,0,0,0,0,0,0,0,0,42,0,0,0,15,0,0,15,0.0,0,0,472,0,0,122,0,2,0,1.8,7411,18.2,0,2016-11-26T12:30:00Z,26 Nov 12:30,0,0,90,0,0,10,0,0,0,0,11,0,13,3,99291,0,0,0,2,1,0.0,2,-503,316,819,40,True,0,0
3,,,,,,,,,,2017-08-12,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,75,0,0,3,0,0,0,0.0,75,0.0,0,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,0,0,0,5,0,0,0,0,0,0,1,0,528,0,0,0,3,2,0.0,0,0,0,0,45,False,0,0
4,,,,,,,,,,2017-08-19,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,75,0,0,12,0,0,0,0.0,586,0.0,0,2017-08-19T14:00:00Z,19 Aug 15:00,0,0,0,0,0,19,0,0,0,0,0,0,2,0,494,0,0,0,1,0,0.0,0,-77,10,87,45,True,0,0
5,,,,,,,,,,2017-08-27,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,75,0,0,29,0,0,0,0.0,1102,0.0,0,2017-08-27T15:00:00Z,27 Aug 16:00,0,0,0,0,0,17,0,0,0,0,0,0,3,0,468,0,0,0,1,1,0.0,0,-34,4,38,45,False,0,0
6,,,,,,,,,,2017-09-10,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,75,0,0,38,0,0,0,0.0,1633,0.0,0,2017-09-10T12:30:00Z,10 Sep 13:30,0,0,0,0,0,6,0,0,0,0,0,0,4,0,446,0,0,0,0,1,0.0,0,-31,8,39,45,True,0,0
7,,,,,,,,,,2017-09-16,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,75,0,0,44,0,0,0,0.0,2177,0.0,0,2017-09-16T14:00:00Z,16 Sep 15:00,0,0,0,0,0,10,0,0,0,0,0,0,5,0,429,0,0,0,1,1,0.0,0,-19,4,23,45,False,0,0
8,,,,,,,,,,2017-09-23,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,75,0,0,51,0,0,0,0.0,2723,0.0,0,2017-09-23T14:00:00Z,23 Sep 15:00,0,0,0,0,0,8,0,0,0,0,0,0,6,0,423,0,0,0,0,0,0.0,0,-12,5,17,45,True,0,0
9,,,,,,,,,,2017-10-01,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,75,0,0,69,0,0,0,0.0,3273,0.0,0,2017-10-01T13:15:00Z,01 Oct 14:15,0,0,0,0,0,7,0,0,0,0,0,0,7,0,407,0,0,0,1,0,0.0,0,-18,4,22,45,False,0,0
10,,,,,,,,,,2017-10-14,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,75,0,0,72,0,0,0,0.0,3827,0.0,0,2017-10-14T14:00:00Z,14 Oct 15:00,0,0,0,0,0,20,0,0,0,0,0,0,8,0,404,0,0,0,1,1,0.0,0,-7,1,8,45,True,0,0
11,,,,,,,,,,2017-10-21,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,75,0,0,84,0,0,0,0.0,4384,0.0,0,2017-10-21T14:00:00Z,21 Oct 15:00,0,0,0,0,0,11,0,0,0,0,0,0,9,0,401,0,0,0,0,3,0.0,0,-6,1,7,45,False,0,0
12,,,,,,,,,,2017-10-30,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,75,0,0,94,0,0,0,0.0,4943,0.0,0,2017-10-30T20:00:00Z,30 Oct 20:00,0,0,0,0,0,13,0,0,0,0,0,0,10,0,389,0,0,0,0,1,0.0,0,-15,3,18,45,True,0,0
13,,,,,,,,,,2017-11-04,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,75,0,0,105,0,0,0,0.0,5506,0.0,0,2017-11-04T15:00:00Z,04 Nov 15:00,0,0,0,0,0,14,0,0,0,0,0,0,11,0,384,0,0,0,1,0,0.0,0,-5,2,7,45,False,0,0
14,,,,,,,,,,2017-11-18,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,75,0,0,114,0,0,0,0.0,6072,0.0,0,2017-11-18T15:00:00Z,18 Nov 15:00,0,0,0,0,0,16,0,0,0,0,0,0,12,0,379,0,0,0,0,2,0.0,0,-7,3,10,45,True,0,0
15,,,,,,,,,,2017-11-26,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,75,0,0,130,0,0,0,0.0,6641,0.0,0,2017-11-26T14:00:00Z,26 Nov 14:00,0,0,0,0,0,1,0,0,0,0,0,0,13,0,379,0,0,0,1,0,0.0,0,-3,4,7,45,True,0,0
16,,,,,,,,,,2017-11-29,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,75,0,0,136,0,0,0,0.0,7211,0.0,0,2017-11-29T19:45:00Z,29 Nov 19:45,0,0,0,0,0,2,0,0,0,0,0,0,14,0,375,0,0,0,2,1,0.0,0,-6,2,8,45,False,0,0
17,,,,,,,,,,2017-12-02,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,75,0,0,146,0,0,0,0.0,7782,0.0,0,2017-12-02T15:00:00Z,02 Dec 15:00,0,0,0,0,0,9,0,0,0,0,0,0,15,0,364,0,0,0,0,1,0.0,0,-11,2,13,45,False,0,0
18,,,,,,,,,,2017-12-09,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,75,0,0,151,0,0,0,0.0,8356,0.0,0,2017-12-09T15:00:00Z,09 Dec 15:00,0,0,0,0,0,18,0,0,0,0,0,0,16,0,363,0,0,0,0,1,0.0,0,-2,3,5,45,True,0,0
19,,,,,,,,,,2017-12-12,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,75,0,0,161,0,0,0,0.0,8933,0.0,0,2017-12-12T19:45:00Z,12 Dec 19:45,0,0,0,0,0,15,0,0,0,0,0,0,17,0,362,0,0,0,0,1,0.0,0,-2,2,4,45,True,0,0
20,,,,,,,,,,2017-12-16,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,75,0,0,173,0,0,0,0.0,9511,0.0,0,2017-12-16T15:00:00Z,16 Dec 15:00,0,0,0,0,0,3,0,0,0,0,0,0,18,0,357,0,0,0,0,0,0.0,0,-5,0,5,45,False,0,0
21,,,,,,,,,,2017-12-23,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,75,0,0,183,0,0,0,0.0,10091,0.0,0,2017-12-23T17:30:00Z,23 Dec 17:30,0,0,0,0,0,17,0,0,0,0,0,0,19,0,354,0,0,0,3,0,0.0,0,-5,3,8,45,True,0,0
22,,,,,,,,,,2017-12-26,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,75,0,0,196,0,0,0,0.0,10676,0.0,0,2017-12-26T15:00:00Z,26 Dec 15:00,0,0,0,0,0,12,0,0,0,0,0,0,20,0,352,0,0,0,2,2,0.0,0,-2,2,4,45,False,0,0
