,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,47,GK,Arsenal,Watford,2,0,2018-09-29,9263,2018,260319,0,0,0,0,0,0,0,0.0,18.0,0.0,0.0,0.0,6.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,61.0,0.0,0.0,0.0,1.7,3196.0,17.2,0.0,2018-09-29T14:00:00Z,29 Sep 15:00,0.0,0.0,45.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,1.0,138891.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,9392.0,13595.0,4203.0,50.0,True,0.0,0.0
1,0,0,0,90,GK,Arsenal,Everton,2,0,2018-09-23,9256,2018,260044,0,0,0,0,0,0,0,0.0,33.0,0.0,0.0,3.0,36.0,1.0,2.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,51.0,0.0,0.0,0.0,4.3,2658.0,43.4,0.0,2018-09-23T15:00:00Z,23 Sep 16:00,0.0,0.0,90.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,9.0,0.0,6.0,6.0,124787.0,0.0,1.0,0.0,0.0,2.0,0.0,11.0,-797.0,6593.0,7390.0,50.0,True,0.0,0.0
2,0,0,0,90,GK,Newcastle United,Arsenal,1,2,2018-09-15,9238,2018,259919,0,0,0,0,0,0.026955559849739075,0.026955559849739075,0.0,33.0,0.0,0.0,0.0,13.0,0.0,2.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,46.0,0.0,1.0,0.0,1.4,2121.0,14.2,0.0,2018-09-15T14:00:00Z,15 Sep 15:00,0.0,0.0,90.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,13.0,0.0,5.0,1.0,123310.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,-3297.0,8837.0,12134.0,50.0,False,0.0,0.0
3,0,0,0,90,GK,Cardiff,Arsenal,2,3,2018-09-02,9235,2018,259558,0,0,0,0,0,0,0,0.0,38.0,0.0,0.0,0.0,8.0,0.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,2.0,33.0,0.0,2.0,0.0,0.2,1584.0,2.4,0.0,2018-09-02T12:30:00Z,02 Sep 13:30,0.0,0.0,90.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,1.0,123566.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,9582.0,19332.0,9750.0,50.0,False,0.0,0.0
4,0,0,0,90,GK,Arsenal,West Ham,3,1,2018-08-25,9222,2018,259212,0,0,0,0,0,0.019927890971302986,0.019927890971302986,0.0,24.0,0.0,0.0,0.0,17.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,1.0,0.0,2.8,1053.0,27.8,0.0,2018-08-25T14:00:00Z,25 Aug 15:00,0.0,0.0,90.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,4.0,107301.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,8540.0,19550.0,11010.0,50.0,True,0.0,0.0
5,0,0,0,90,GK,Chelsea,Arsenal,3,2,2018-08-18,9212,2018,259031,0,0,0,0,0,0.4667409360408783,0.4667409360408783,0.0,35.0,0.0,0.0,0.0,26.0,0.0,1.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,3.0,0.0,5.3,526.0,53.0,0.0,2018-08-18T16:30:00Z,18 Aug 17:30,0.0,0.0,90.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,8.0,90038.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,188.0,6059.0,5871.0,50.0,False,0.0,0.0
6,0,0,0,90,GK,Arsenal,Manchester City,0,2,2018-08-12,9206,2018,258654,0,0,0,0,0,0.019882772117853165,0.019882772117853165,0.0,42.0,0.0,0.0,0.0,24.0,0.0,2.0,31.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,4.7,1.0,47.0,0.0,2018-08-12T15:00:00Z,12 Aug 16:00,0.0,0.0,90.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,6.0,70767.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,50.0,True,0.0,0.0
7,0,0,0,90,GK,Leicester,Arsenal,3,1,2018-05-09,7422,2017,238691,0,0,0,0,0,0.051554832607507706,0.051554832607507706,0.0,30.0,0.0,0.0,0.0,25.0,0.0,0.0,21.0,0.0,0.0,0.0,2.0,0.0,0.0,304.0,0.0,3.0,0.0,4.8,20804.0,48.2,0.0,2018-05-09T18:45:00Z,09 May 19:45,0.0,0.0,90.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,10.0,0.0,37.0,7.0,262253.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,-2673.0,2037.0,4710.0,53.0,False,0.0,0.0
8,0,0,0,90,GK,Arsenal,Burnley,5,0,2018-05-06,7487,2017,238348,0,0,0,0,0,0.17586763203144073,0.17586763203144073,0.0,25.0,0.0,0.0,0.0,26.0,1.0,2.0,18.0,0.0,0.0,0.0,2.0,0.0,0.0,361.0,0.0,0.0,0.0,1.7,20805.0,17.2,0.0,2018-05-06T15:30:00Z,06 May 16:30,0.0,0.0,90.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,11.0,0.0,37.0,2.0,262253.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,-2673.0,2037.0,4710.0,53.0,True,0.0,0.0
9,0,0,0,90,GK,Newcastle United,Arsenal,2,1,2018-04-15,7454,2017,232663,0,0,0,0,0,0.08084622770547867,0.08084622770547867,0.0,28.0,0.0,0.0,0.0,12.0,0.0,0.0,22.0,0.0,0.0,0.0,2.0,0.0,0.0,336.0,0.0,2.0,0.0,1.6,18875.0,16.2,0.0,2018-04-15T12:30:00Z,15 Apr 13:30,0.0,0.0,90.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,8.0,0.0,34.0,2.0,260963.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,-5394.0,1400.0,6794.0,53.0,False,0.0,0.0
