,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,1,1,0.10967488586902618,79,FW,Bournemouth,Leicester,2,1,2022-10-08,18293,2022,554066,0.058866772800683975,0,1,1,0.10967488586902618,0.7391657829284668,0.5706241130828857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0.04685598239302635,90,ML,Bournemouth,Brentford,0,0,2022-10-01,18283,2022,552399,0,0,0,0,0.04685598239302635,0,0,0.0,,,,0.0,2.0,1.0,,,2.2,,,70.0,,,82.0,,0.0,0.0,1.5,,7.6,,2022-10-01T14:00:00Z,,,,90.0,,,4.0,0.0,,0.0,0.0,,0.0,9.0,0.0,53997.0,,,,0.0,0.0,5.0,3.0,38103.0,45328.0,7225.0,53.0,True,,0.0
2,1,2,0.6139294505119324,90,AMC,Newcastle United,Bournemouth,1,1,2022-09-17,18275,2022,550696,0.07888854295015335,0,2,1,0.6139294505119324,0.7626767158508301,0.06985875219106674,0.0,,,,2.0,30.0,0.0,,,21.8,,,70.0,,,77.0,,1.0,1.0,11.2,,55.4,,2022-09-17T14:00:00Z,,,,90.0,,,15.0,0.0,,0.0,0.0,,0.0,8.0,0.0,12280.0,,,,1.0,1.0,35.0,9.0,1333.0,2105.0,772.0,53.0,False,,0.0
3,1,1,0.013155188411474228,90,AMC,Nottingham Forest,Bournemouth,2,3,2022-09-03,18254,2022,547147,0.1188063770532608,0,1,1,0.013155188411474228,0.2616288661956787,0.12966731190681458,0.0,,,,0.0,27.0,0.0,,,19.1,,,70.0,,,58.0,,2.0,1.0,6.7,,37.0,,2022-09-03T14:00:00Z,,,,89.0,,,16.0,0.0,,0.0,0.0,,0.0,6.0,0.0,8743.0,,,,3.0,2.0,11.0,7.0,-511.0,487.0,998.0,53.0,False,,0.0
4,0,0,0,80,FW,Bournemouth,Wolverhampton Wanderers,0,0,2022-08-31,18248,2022,546291,0.12054425477981567,0,2,0,0,0.12054425477981567,0.10749372094869614,0.0,,,,0.0,6.0,1.0,,,15.3,,,70.0,,,42.0,,0.0,0.0,2.4,,5.0,,2022-08-31T18:30:00Z,,,,76.0,,,20.0,0.0,,0.0,0.0,,0.0,5.0,0.0,9008.0,,,,0.0,0.0,4.0,3.0,-1290.0,165.0,1455.0,53.0,True,,0.0
5,0,0,0,42,Sub,Liverpool,Bournemouth,9,0,2022-08-27,18236,2022,544485,0,0,0,0,0,0,0,0.0,,,,0.0,4.0,0.0,,,1.0,,,70.0,,,36.0,,4.0,0.0,0.8,,6.8,,2022-08-27T14:00:00Z,,,,45.0,,,12.0,0.0,,0.0,0.0,,0.0,4.0,0.0,10099.0,,,,0.0,9.0,0.0,1.0,-1954.0,232.0,2186.0,54.0,False,,0.0
6,0,0,0,67,FW,Bournemouth,Arsenal,0,3,2022-08-20,18227,2022,542557,0,0,0,0,0,0,0,0.0,,,,0.0,7.0,0.0,,,0.5,,,70.0,,,21.0,,3.0,0.0,1.4,,13.2,,2022-08-20T16:30:00Z,,,,64.0,,,1.0,0.0,,0.0,0.0,,0.0,3.0,0.0,11771.0,,,,3.0,0.0,0.0,2.0,-2540.0,358.0,2898.0,54.0,True,,0.0
7,0,0,0,22,Sub,Manchester City,Bournemouth,4,0,2022-08-13,18214,2022,540582,0.02674887701869011,0,1,0,0,0.02674887701869011,0.02674887701869011,0.0,,,,0.0,4.0,0.0,,,10.3,,,70.0,,,17.0,,1.0,0.0,1.3,,2.4,,2022-08-13T14:00:00Z,,,,26.0,,,13.0,0.0,,0.0,0.0,,0.0,2.0,0.0,13851.0,,,,0.0,4.0,0.0,1.0,-1439.0,791.0,2230.0,55.0,False,,0.0
8,0,1,0.014949395321309566,90,MC,Bournemouth,Aston Villa,2,0,2022-08-06,18204,2022,539402,0,0,0,0,0.014949395321309566,0,0,0.0,,,,0.0,10.0,1.0,,,1.0,,,70.0,,,2.0,,0.0,0.0,2.7,,22.2,,2022-08-06T14:00:00Z,,,,90.0,,,2.0,0.0,,0.0,0.0,,0.0,1.0,0.0,13415.0,,,,0.0,2.0,4.0,2.0,0.0,0.0,0.0,55.0,True,,1.0
9,0,0,0,23,Sub,Everton,Bournemouth,1,3,2020-07-26,12019,2019,411347,0,0,0,0,0,0.0762220099568367,0.0762220099568367,0.0,,,,0.0,5.0,0.0,,,1.3,,,476.0,,,375.0,,0.0,0.0,1.1,,4.0,,2020-07-26T15:00:00Z,,,,26.0,,,8.0,0.0,,0.0,0.0,,0.0,47.0,0.0,12034.0,,,,3.0,1.0,6.0,1.0,-24.0,196.0,220.0,49.0,False,,0.0
