,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,1,0.02056143246591091,68,DC,Bournemouth,Brentford,0,0,2022-10-01,18283,2022,552405,0,0,0,0,0.02056143246591091,0.017681172117590904,0.017681172117590904,0.0,0.0,23.0,1.0,0.2,78.0,82.0,0.0,0.0,1.6,9.8,2022-10-01T14:00:00Z,63.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,102392.0,0.0,0.0,6.0,6.0,-2981.0,3229.0,6210.0,44.0,False,0.0
1,0,0,0,90,DC,Brentford,Arsenal,0,3,2022-09-18,18280,2022,551039,0,0,0,0,0,0.39997079968452454,0.39997079968452454,0.0,0.0,14.0,0.0,0.5,78.0,72.0,3.0,0.0,1.5,12.2,2022-09-18T11:00:00Z,90.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,103448.0,3.0,0.0,2.0,1.0,-3528.0,775.0,4303.0,44.0,True,0.0
2,0,0,0,90,DC,Brentford,Leeds,5,2,2022-09-03,18257,2022,547215,0,0,0,0,0,0,0,0.0,0.0,12.0,0.0,0.0,78.0,52.0,2.0,0.0,2.3,22.6,2022-09-03T14:00:00Z,90.0,11.0,0.0,0.0,0.0,0.0,6.0,0.0,111209.0,2.0,5.0,0.0,1.0,-22849.0,730.0,23579.0,44.0,True,0.0
3,0,0,0,90,DC,Fulham,Brentford,3,2,2022-08-20,18225,2022,542412,0,0,0,0,0,0.9361625909805298,0.9361625909805298,0.0,0.0,11.0,0.0,0.2,78.0,24.0,3.0,0.0,2.2,21.8,2022-08-20T14:00:00Z,90.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,189224.0,2.0,3.0,0.0,1.0,3761.0,17631.0,13870.0,45.0,False,0.0
4,0,0,0,90,DC,Brentford,Manchester United,4,0,2022-08-13,18218,2022,540796,0,0,0,0,0,0,0,0.0,0.0,22.0,1.0,0.0,78.0,13.0,0.0,0.0,1.5,12.6,2022-08-13T16:30:00Z,90.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,179674.0,0.0,4.0,2.0,6.0,-11769.0,2819.0,14588.0,45.0,True,0.0
5,0,0,0,90,DC,Leicester,Brentford,2,2,2022-08-07,18210,2022,539837,0,0,0,0,0,0,0,0.0,0.0,17.0,0.0,0.5,78.0,6.0,2.0,0.0,1.9,18.2,2022-08-07T13:00:00Z,90.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,186616.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,45.0,False,0.0
6,0,0,0,90,DC,Brentford,Leeds,1,2,2022-05-22,16747,2021,537691,0,0,0,0,0,0.15397436916828156,0.15397436916828156,0.0,0.0,13.0,0.0,0.0,76.0,372.0,2.0,0.0,0.0,0.0,2022-05-22T15:00:00Z,90.0,10.0,0.0,0.0,0.0,0.0,38.0,0.0,658854.0,2.0,1.0,0.0,1.0,46261.0,58168.0,11907.0,45.0,True,0.0
7,0,0,0,90,DC,Everton,Brentford,2,3,2022-05-15,16744,2021,536241,0,0,0,0,0,0.1750028282403946,0.1750028282403946,0.0,0.0,13.0,0.0,0.8,76.0,362.0,2.0,0.0,1.9,15.8,2022-05-15T15:30:00Z,90.0,8.0,0.0,0.0,0.0,0.0,37.0,0.0,614486.0,3.0,2.0,2.0,1.0,66345.0,76400.0,10055.0,44.0,False,0.0
8,1,2,0.6389588117599487,90,DC,Brentford,Southampton,3,0,2022-05-07,16734,2021,534203,0,0,0,1,0.6389588117599487,0.21135146915912628,0.0667455643415451,0.0,3.0,41.0,1.0,0.1,76.0,352.0,0.0,1.0,10.7,53.4,2022-05-07T14:00:00Z,90.0,16.0,0.0,0.0,0.0,0.0,36.0,0.0,528546.0,0.0,3.0,53.0,15.0,6049.0,23176.0,17127.0,44.0,True,0.0
9,0,0,0,90,DC,Manchester United,Brentford,3,0,2022-05-02,16722,2021,531707,0,0,0,0,0,0,0,0.0,0.0,10.0,0.0,0.3,76.0,344.0,3.0,0.0,1.1,8.8,2022-05-02T19:00:00Z,90.0,13.0,0.0,0.0,0.0,0.0,35.0,0.0,524350.0,0.0,3.0,2.0,1.0,11691.0,18799.0,7108.0,44.0,False,0.0
10,0,1,0.3008737862110138,90,DC,Brentford,Tottenham,0,0,2022-04-23,16714,2021,528878,0,0,0,0,0.3008737862110138,0.0824747234582901,0.0824747234582901,0.0,0.0,22.0,1.0,0.5,76.0,332.0,0.0,0.0,5.5,30.4,2022-04-23T16:30:00Z,90.0,17.0,0.0,0.0,0.0,0.0,34.0,0.0,512234.0,0.0,0.0,24.0,5.0,6725.0,13988.0,7263.0,44.0,True,1.0
11,1,2,0.8230924606323242,90,DC,Watford,Brentford,1,2,2022-04-16,16698,2021,526440,0.037541765719652176,0,1,1,0.8230924606323242,0.10977485030889511,0,0.0,2.0,31.0,0.0,10.6,76.0,328.0,1.0,1.0,12.1,58.0,2022-04-16T14:00:00Z,90.0,18.0,0.0,0.0,0.0,0.0,33.0,0.0,501267.0,2.0,1.0,52.0,10.0,-13634.0,7285.0,20919.0,44.0,False,0.0
