,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,1,0.132695734500885,90,GK,FC Cologne,Schalke 04,1,0,2021-05-22,15443,2020,472707,0.04956583306193352,0,2,0,0.132695734500885,0.04956583306193352,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,90,GK,Schalke 04,Eintracht Frankfurt,4,3,2021-05-15,15433,2020,470882,0,0,0,0,0,0.07670368999242783,0.07670368999242783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,90,GK,Schalke 04,Hertha Berlin,1,2,2021-05-12,15416,2020,470043,0,0,0,0,0,0.18071693181991577,0.18071693181991577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,90,GK,Hoffenheim,Schalke 04,4,2,2021-05-08,15421,2020,468612,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,90,GK,Arminia Bielefeld,Schalke 04,1,0,2021-04-20,15408,2020,464111,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,90,GK,Freiburg,Schalke 04,4,0,2021-04-17,15397,2020,462869,0,0,0,0,0,0.4970702528953552,0.4970702528953552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,90,GK,Schalke 04,Augsburg,1,0,2021-04-11,15387,2020,461898,0,0,0,0,0,0.18836335837841034,0.18836335837841034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,31,GK,Schalke 04,Borussia Dortmund,0,4,2021-02-20,15334,2020,450819,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,90,GK,Union Berlin,Schalke 04,0,0,2021-02-13,15326,2020,449154,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,35.0,230.0,0.0,0.0,0.0,0.0,2021-02-13T20:00:00Z,0.0,3.0,0.0,0.0,0.0,0.0,24.0,0.0,328972.0,0.0,0.0,0.0,0.0,-14617.0,0.0,14617.0,40.0,False,0.0
9,0,0,0,90,GK,Schalke 04,RasenBallsport Leipzig,0,3,2021-02-06,15316,2020,447513,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,35.0,219.0,0.0,0.0,0.0,0.0,2021-02-06T12:30:00Z,0.0,1.0,0.0,0.0,0.0,0.0,23.0,0.0,344343.0,0.0,1.0,0.0,0.0,-10108.0,0.0,10108.0,40.0,True,0.0
10,0,0,0,90,GK,Werder Bremen,Schalke 04,1,1,2021-01-30,15309,2020,445483,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,35.0,206.0,0.0,0.0,0.0,0.0,2021-01-30T20:00:00Z,0.0,16.0,0.0,0.0,0.0,0.0,21.0,0.0,363502.0,1.0,0.0,0.0,0.0,-12102.0,0.0,12102.0,40.0,False,0.0
11,0,0,0,90,GK,Schalke 04,Bayern Munich,0,4,2021-01-24,15298,2020,444652,0,0,0,0,0,0.5179659128189087,0.5179659128189087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,0,0,90,GK,Schalke 04,FC Cologne,1,2,2021-01-20,15289,2020,443358,0,0,0,0,0,0.025997722521424294,0.025997722521424294,0.0,0.0,0.0,0.0,0.0,35.0,380.0,0.0,0.0,0.0,0.0,2021-01-20T18:00:00Z,0.0,12.0,0.0,0.0,0.0,0.0,19.0,0.0,389810.0,0.0,2.0,0.0,0.0,-31797.0,67.0,31864.0,40.0,False,0.0
13,0,0,0,90,GK,Eintracht Frankfurt,Schalke 04,3,1,2021-01-17,15279,2020,442903,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,0,0,90,GK,Schalke 04,Hoffenheim,4,0,2021-01-09,15271,2020,440758,0,0,0,0,0,0.0280543752014637,0.0280543752014637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,0,0,90,GK,Hertha Berlin,Schalke 04,3,0,2021-01-02,15261,2020,439178,0,0,0,0,0,0.3624391257762909,0.3624391257762909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,0,0,90,GK,Schalke 04,Arminia Bielefeld,0,1,2020-12-19,15254,2020,435826,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,0,0,90,GK,Schalke 04,Freiburg,0,2,2020-12-16,15240,2020,434609,0,0,0,0,0,0.053522735834121704,0.053522735834121704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,0,0,90,GK,Augsburg,Schalke 04,2,2,2020-12-13,15238,2020,433800,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,0,0,47,GK,RasenBallsport Leipzig,Schalke 04,4,0,2020-10-03,15164,2020,419734,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,0,0,90,GK,Schalke 04,Werder Bremen,1,3,2020-09-26,14188,2020,417555,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,0,0,90,GK,Bayern Munich,Schalke 04,8,0,2020-09-18,14173,2020,416846,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,0,0,21,GK,Crystal Palace,Norwich,2,0,2019-09-28,11709,2019,354734,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,27.0,61.0,0.0,0.0,0.0,0.0,2019-09-28T14:00:00Z,0.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,11126.0,2.0,2.0,0.0,0.0,-330.0,193.0,523.0,44.0,True,0.0
23,0,0,0,90,GK,Schalke 04,Freiburg,0,0,2019-02-16,10534,2018,310849,0,0,0,0,0,0.013924576342105865,0.013924576342105865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,0,0,90,GK,Bayern Munich,Schalke 04,3,1,2019-02-09,10517,2018,308276,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,0,0,29,Sub,Schalke 04,Borussia M.Gladbach,0,2,2019-02-02,10516,2018,308051,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,0,0,90,GK,VfB Stuttgart,Schalke 04,1,3,2018-12-22,10486,2018,284975,0,0,0,0,0,0.03912688419222832,0.03912688419222832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,0,0,90,GK,Schalke 04,Bayer Leverkusen,1,2,2018-12-19,10473,2018,284767,0,0,0,0,0,0.01906478777527809,0.01906478777527809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,0,0,90,GK,Augsburg,Schalke 04,1,1,2018-12-15,10468,2018,284114,0,0,0,0,0,0.03023074008524418,0.03023074008524418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,0,0,90,GK,Schalke 04,Borussia Dortmund,1,2,2018-12-08,10455,2018,284267,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,0,0,90,GK,Hoffenheim,Schalke 04,1,1,2018-12-01,10445,2018,284030,0,0,0,0,0,0.48988544940948486,0.48988544940948486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,0,0,90,GK,Schalke 04,Nuernberg,5,2,2018-11-24,10437,2018,283820,0,0,0,0,0,0.028011001646518707,0.028011001646518707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,0,0,90,GK,Eintracht Frankfurt,Schalke 04,3,0,2018-11-11,10430,2018,283640,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,0,0,90,GK,Fortuna Duesseldorf,Schalke 04,0,2,2018-10-06,10399,2018,282527,0,0,0,0,0,0.09792108833789825,0.09792108833789825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,0,0,90,GK,Schalke 04,Mainz 05,1,0,2018-09-29,10384,2018,253331,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,0,0,90,GK,Freiburg,Schalke 04,1,0,2018-09-25,10375,2018,292151,0,0,0,0,0,0.0355793796479702,0.0355793796479702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,0,0,90,GK,Schalke 04,Bayern Munich,0,2,2018-09-22,10370,2018,250773,0,0,0,0,0,0.03800227493047714,0.03800227493047714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0,0,0,90,GK,Borussia M.Gladbach,Schalke 04,2,1,2018-09-15,10361,2018,249033,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0,0,0,90,GK,Schalke 04,Hertha Berlin,0,2,2018-09-02,10354,2018,247545,0,0,0,0,0,0.08952179551124573,0.08952179551124573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0,0,0,90,GK,Wolfsburg,Schalke 04,2,1,2018-08-25,10338,2018,245049,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0,0,0,47,GK,Schalke 04,Eintracht Frankfurt,1,0,2018-05-12,8560,2017,238977,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0,0,0,90,GK,Augsburg,Schalke 04,1,2,2018-05-05,8547,2017,237245,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0,0,0,90,GK,Schalke 04,Borussia M.Gladbach,1,1,2018-04-28,8543,2017,235654,0,0,0,0,0,0.03518066555261612,0.03518066555261612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0,0,0,90,GK,FC Cologne,Schalke 04,2,2,2018-04-22,8531,2017,235167,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,0,0,90,GK,Schalke 04,Borussia Dortmund,2,0,2018-04-15,8524,2017,232816,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0,0,0,90,GK,Hamburger SV,Schalke 04,3,2,2018-04-07,8518,2017,230884,0,0,0,0,0,0.0914800837635994,0.0914800837635994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,0,0,90,GK,Schalke 04,Freiburg,2,0,2018-03-31,8503,2017,227555,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0,0,0,90,GK,Wolfsburg,Schalke 04,0,1,2018-03-17,8499,2017,224211,0,0,0,0,0,0.013650573790073395,0.013650573790073395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0,0,0,90,GK,Mainz 05,Schalke 04,0,1,2018-03-09,8487,2017,221972,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0,0,0,90,GK,Schalke 04,Hertha Berlin,1,0,2018-03-03,8479,2017,220744,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0,0,0,90,GK,Bayer Leverkusen,Schalke 04,0,2,2018-02-25,8474,2017,219853,0,0,0,0,0,0.14443841576576233,0.14443841576576233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0,0,0,90,GK,Schalke 04,Hoffenheim,2,1,2018-02-17,8461,2017,218040,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
