,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,1,0.02669377438724041,11,Sub,Sheffield United,Leicester,1,2,2019-08-24,11665,2019,344019,0,0,0,0,0.02669377438724041,0,0,0.0,0.0,0.0,0.0,0.6,456.0,27.0,0.0,0.0,0.2,0.0,2019-08-24T14:00:00Z,12.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,9962.0,2.0,1.0,4.0,1.0,-1874.0,341.0,2215.0,49.0,True,0.0
1,0,0,0,7,Sub,Sampdoria,Lazio,2,1,2016-04-24,894,2015,112547,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,1,Sub,Lazio,Torino,3,0,2015-10-25,638,2015,108377,0,0,0,0,0,0.07814447581768036,0.07814447581768036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,6,Sub,Lazio,Genoa,2,0,2015-09-23,592,2015,105368,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,42,Sub,Chievo,Lazio,4,0,2015-08-30,568,2015,104155,0.056311722844839096,0,1,0,0,0.12016977369785309,0.06385805457830429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,31,Sub,West Ham,Southampton,1,3,2014-08-30,4774,2014,17841,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,2019-08-10,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,456.0,2.0,0.0,0.0,0.0,0.0,2019-08-10T14:00:00Z,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,12567.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,False,0.0
7,,,,,,,,,,2019-08-18,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,456.0,18.0,0.0,0.0,0.0,0.0,2019-08-18T13:00:00Z,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,11585.0,0.0,1.0,0.0,0.0,-1728.0,203.0,1931.0,50.0,True,0.0
8,,,,,,,,,,2019-08-31,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,456.0,33.0,0.0,0.0,0.0,0.0,2019-08-31T14:00:00Z,0.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,9236.0,2.0,2.0,0.0,0.0,-954.0,353.0,1307.0,49.0,False,0.0
9,,,,,,,,,,2019-09-14,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,456.0,47.0,0.0,0.0,0.0,0.0,2019-09-14T14:00:00Z,0.0,16.0,0.0,0.0,0.0,0.0,5.0,0.0,8553.0,1.0,0.0,0.0,0.0,-861.0,260.0,1121.0,49.0,True,0.0
10,,,,,,,,,,2019-09-21,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,456.0,55.0,0.0,0.0,0.0,0.0,2019-09-21T14:00:00Z,0.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,7933.0,2.0,0.0,0.0,0.0,-697.0,81.0,778.0,48.0,False,0.0
11,,,,,,,,,,2019-09-28,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,456.0,68.0,0.0,0.0,0.0,0.0,2019-09-28T11:30:00Z,0.0,10.0,0.0,0.0,0.0,0.0,7.0,0.0,7378.0,1.0,0.0,0.0,0.0,-642.0,103.0,745.0,48.0,True,0.0
12,,,,,,,,,,2019-10-05,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,456.0,79.0,0.0,0.0,0.0,0.0,2019-10-05T14:00:00Z,0.0,18.0,0.0,0.0,0.0,0.0,8.0,0.0,6931.0,0.0,0.0,0.0,0.0,-502.0,94.0,596.0,48.0,False,0.0
13,,,,,,,,,,2019-10-21,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,456.0,88.0,0.0,0.0,0.0,0.0,2019-10-21T19:00:00Z,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,6669.0,0.0,1.0,0.0,0.0,-323.0,107.0,430.0,47.0,True,0.0
14,,,,,,,,,,2019-10-26,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,456.0,100.0,0.0,0.0,0.0,0.0,2019-10-26T14:00:00Z,0.0,19.0,0.0,0.0,0.0,0.0,10.0,0.0,6580.0,1.0,1.0,0.0,0.0,-159.0,80.0,239.0,47.0,False,0.0
15,,,,,,,,,,2019-11-02,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,456.0,108.0,0.0,0.0,0.0,0.0,2019-11-02T15:00:00Z,0.0,5.0,0.0,0.0,0.0,0.0,11.0,0.0,6426.0,0.0,3.0,0.0,0.0,-230.0,138.0,368.0,47.0,True,0.0
16,,,,,,,,,,2019-11-09,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,456.0,119.0,0.0,0.0,0.0,0.0,2019-11-09T15:00:00Z,0.0,17.0,0.0,0.0,0.0,0.0,12.0,0.0,6329.0,1.0,1.0,0.0,0.0,-156.0,145.0,301.0,47.0,False,0.0
17,,,,,,,,,,2019-11-24,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,456.0,128.0,0.0,0.0,0.0,0.0,2019-11-24T16:30:00Z,0.0,12.0,0.0,0.0,0.0,0.0,13.0,0.0,6303.0,3.0,3.0,0.0,0.0,-119.0,221.0,340.0,47.0,True,0.0
18,,,,,,,,,,2019-12-01,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,456.0,140.0,0.0,0.0,0.0,0.0,2019-12-01T14:00:00Z,0.0,20.0,0.0,0.0,0.0,0.0,14.0,0.0,6304.0,1.0,1.0,0.0,0.0,-45.0,203.0,248.0,47.0,False,0.0
19,,,,,,,,,,2019-12-05,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,456.0,145.0,0.0,0.0,0.0,0.0,2019-12-05T19:30:00Z,0.0,13.0,0.0,0.0,0.0,0.0,15.0,0.0,6249.0,2.0,0.0,0.0,0.0,-81.0,101.0,182.0,47.0,True,0.0
20,,,,,,,,,,2019-12-08,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,456.0,157.0,0.0,0.0,0.0,0.0,2019-12-08T14:00:00Z,0.0,14.0,0.0,0.0,0.0,0.0,16.0,0.0,6161.0,2.0,1.0,0.0,0.0,-119.0,91.0,210.0,47.0,False,0.0
21,,,,,,,,,,2019-12-14,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,456.0,168.0,0.0,0.0,0.0,0.0,2019-12-14T15:00:00Z,0.0,2.0,0.0,0.0,0.0,0.0,17.0,0.0,6164.0,0.0,2.0,0.0,0.0,-59.0,172.0,231.0,46.0,True,0.0
22,,,,,,,,,,2019-12-21,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,456.0,173.0,0.0,0.0,0.0,0.0,2019-12-21T15:00:00Z,0.0,4.0,0.0,0.0,0.0,0.0,18.0,0.0,6237.0,1.0,0.0,0.0,0.0,7.0,209.0,202.0,46.0,False,0.0
23,,,,,,,,,,2019-12-26,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,456.0,188.0,0.0,0.0,0.0,0.0,2019-12-26T15:00:00Z,0.0,18.0,0.0,0.0,0.0,0.0,19.0,0.0,6284.0,1.0,1.0,0.0,0.0,11.0,211.0,200.0,46.0,True,0.0
24,,,,,,,,,,2019-12-29,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,456.0,195.0,0.0,0.0,0.0,0.0,2019-12-29T18:00:00Z,0.0,11.0,0.0,0.0,0.0,0.0,20.0,0.0,6361.0,0.0,2.0,0.0,0.0,44.0,211.0,167.0,46.0,False,0.0
25,,,,,,,,,,2020-01-02,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,456.0,204.0,0.0,0.0,0.0,0.0,2020-01-02T20:00:00Z,0.0,10.0,0.0,0.0,0.0,0.0,21.0,0.0,6426.0,0.0,2.0,0.0,0.0,7.0,260.0,253.0,46.0,False,0.0
26,,,,,,,,,,2020-01-10,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,456.0,218.0,0.0,0.0,0.0,0.0,2020-01-10T20:00:00Z,0.0,19.0,0.0,0.0,0.0,0.0,22.0,0.0,6400.0,0.0,1.0,0.0,0.0,-79.0,217.0,296.0,46.0,True,0.0
27,,,,,,,,,,2020-01-18,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,456.0,221.0,0.0,0.0,0.0,0.0,2020-01-18T15:00:00Z,0.0,1.0,0.0,0.0,0.0,0.0,23.0,0.0,6382.0,1.0,1.0,0.0,0.0,-47.0,196.0,243.0,46.0,False,0.0
28,,,,,,,,,,2020-01-21,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,456.0,236.0,0.0,0.0,0.0,0.0,2020-01-21T19:30:00Z,0.0,11.0,0.0,0.0,0.0,0.0,24.0,0.0,6328.0,1.0,0.0,0.0,0.0,-80.0,103.0,183.0,46.0,True,0.0
29,,,,,,,,,,2020-02-01,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,456.0,243.0,0.0,0.0,0.0,0.0,2020-02-01T15:00:00Z,0.0,7.0,0.0,0.0,0.0,0.0,25.0,0.0,6230.0,1.0,0.0,0.0,0.0,-131.0,141.0,272.0,46.0,False,0.0
30,,,,,,,,,,2020-02-09,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,456.0,258.0,0.0,0.0,0.0,0.0,2020-02-09T14:00:00Z,0.0,3.0,0.0,0.0,0.0,0.0,26.0,0.0,5905.0,1.0,2.0,0.0,0.0,-322.0,11.0,333.0,46.0,True,0.0
31,,,,,,,,,,2020-02-22,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,456.0,268.0,0.0,0.0,0.0,0.0,2020-02-22T15:00:00Z,0.0,4.0,0.0,0.0,0.0,0.0,27.0,0.0,5676.0,1.0,1.0,0.0,0.0,-240.0,8.0,248.0,46.0,True,0.0
32,,,,,,,,,,2020-03-07,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,456.0,288.0,0.0,0.0,0.0,0.0,2020-03-07T15:00:00Z,0.0,14.0,0.0,0.0,0.0,0.0,29.0,0.0,5484.0,0.0,1.0,0.0,0.0,-82.0,9.0,91.0,46.0,True,0.0
33,,,,,,,,,,2020-06-17,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,456.0,271.0,0.0,0.0,0.0,0.0,2020-06-17T17:00:00Z,0.0,2.0,0.0,0.0,0.0,0.0,39.0,0.0,5290.0,0.0,0.0,0.0,0.0,-154.0,25.0,179.0,45.0,False,0.0
34,,,,,,,,,,2020-06-21,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,456.0,296.0,0.0,0.0,0.0,0.0,2020-06-21T13:00:00Z,0.0,13.0,0.0,0.0,0.0,0.0,39.0,0.0,5290.0,0.0,3.0,0.0,0.0,-154.0,25.0,179.0,45.0,False,0.0
35,,,,,,,,,,2020-06-24,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,456.0,305.0,0.0,0.0,0.0,0.0,2020-06-24T17:00:00Z,0.0,12.0,0.0,0.0,0.0,0.0,40.0,0.0,5249.0,0.0,3.0,0.0,0.0,-48.0,7.0,55.0,45.0,False,0.0
