,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,15,Sub,Chelsea,Wolverhampton Wanderers,3,0,2022-10-08,18295,2022,554176,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0.05358166620135307,90,DML,West Ham,Wolverhampton Wanderers,2,0,2022-10-01,18291,2022,552627,0.012067534029483795,0,1,0,0.05358166620135307,0.3262839913368225,0.26063477993011475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,84,DL,Wolverhampton Wanderers,Manchester City,0,3,2022-09-17,18274,2022,550431,0.05430077016353607,0,1,0,0,0.07642704248428345,0.022126276046037674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,1,0.044659312814474106,90,DL,Wolverhampton Wanderers,Southampton,1,0,2022-09-03,18256,2022,547187,0,0,0,0,0.044659312814474106,0.1249496340751648,0.08029031753540039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,1,0.051372505724430084,27,Sub,Bournemouth,Wolverhampton Wanderers,0,0,2022-08-31,18248,2022,546307,0,0,0,0,0.051372505724430084,0.23814967274665833,0.18677717447280884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,1,0.08239235728979111,73,DML,Tottenham,Wolverhampton Wanderers,1,0,2022-08-20,18222,2022,542140,0,0,0,0,0.08239235728979111,0.10820835828781128,0.025816000998020172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,90,DL,Wolverhampton Wanderers,Fulham,0,0,2022-08-13,18216,2022,540619,0.41953930258750916,0,1,0,0,0.41953930258750916,0.41953930258750916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,90,DL,Leeds,Wolverhampton Wanderers,2,1,2022-08-06,18205,2022,539444,0.15398873388767242,0,3,0,0,0.15398873388767242,0.15398873388767242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,1,0.03484245017170906,90,DML,Liverpool,Wolverhampton Wanderers,3,1,2022-05-22,16753,2021,537903,0,0,0,0,0.03484245017170906,0.07589991390705109,0.07589991390705109,0.0,0.0,12.0,0.0,0.0,470.0,378.0,3.0,0.0,0.0,0.0,2022-05-22T15:00:00Z,90.0,11.0,0.0,0.0,0.0,0.0,38.0,0.0,121750.0,1.0,3.0,0.0,1.0,3068.0,9648.0,6580.0,41.0,False,0.0
9,1,2,0.06415870040655136,90,DML,Wolverhampton Wanderers,Norwich,1,1,2022-05-15,16736,2021,536030,0.0243083443492651,0,1,1,0.06415870040655136,0.06583704054355621,0.04218536987900734,0.0,3.0,26.0,0.0,19.5,470.0,370.0,1.0,1.0,8.8,42.0,2022-05-15T13:00:00Z,90.0,15.0,0.0,0.0,0.0,0.0,37.0,0.0,122708.0,1.0,1.0,26.0,11.0,4911.0,9895.0,4984.0,41.0,True,0.0
10,0,0,0,90,DML,Wolverhampton Wanderers,Manchester City,1,5,2022-05-11,16696,2021,534890,0.047839630395174026,0,1,0,0,0.11913794279098511,0.07129831612110138,0.0,0.0,10.0,0.0,15.4,470.0,330.0,5.0,0.0,2.9,13.2,2022-05-11T19:15:00Z,90.0,12.0,0.0,0.0,0.0,0.0,36.0,0.0,111001.0,5.0,1.0,0.0,0.0,-2798.0,8890.0,11688.0,41.0,True,0.0
11,0,2,0.08496534824371338,90,DML,Chelsea,Wolverhampton Wanderers,2,2,2022-05-07,16731,2021,534274,0,0,0,0,0.08496534824371338,0.7439872622489929,0.6590219140052795,0.0,0.0,16.0,0.0,9.4,470.0,355.0,2.0,0.0,3.4,19.2,2022-05-07T14:00:00Z,90.0,6.0,0.0,0.0,0.0,0.0,36.0,0.0,111001.0,2.0,2.0,5.0,1.0,-2798.0,8890.0,11688.0,41.0,False,0.0
12,0,0,0,90,DML,Wolverhampton Wanderers,Brighton,0,3,2022-04-30,16716,2021,530477,0,0,0,0,0,0.10082125663757324,0.10082125663757324,0.0,0.0,10.0,0.0,1.8,470.0,350.0,3.0,0.0,2.2,14.0,2022-04-30T14:00:00Z,90.0,4.0,0.0,0.0,0.0,0.0,35.0,0.0,114672.0,3.0,0.0,6.0,1.0,-7326.0,2734.0,10060.0,42.0,True,0.0
13,0,0,0,1,Sub,Newcastle United,Wolverhampton Wanderers,1,0,2022-04-08,16689,2021,524210,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.7,470.0,317.0,0.0,0.0,0.1,0.0,2022-04-08T19:00:00Z,4.0,14.0,0.0,0.0,0.0,0.0,32.0,0.0,148614.0,0.0,1.0,0.0,1.0,-16649.0,1542.0,18191.0,43.0,False,0.0
14,0,0,0,90,DML,Wolverhampton Wanderers,Leeds,2,3,2022-03-18,16675,2021,520933,0.012037040665745735,0,1,0,0,0.024919800460338593,0.012882760725915432,0.0,0.0,8.0,0.0,15.9,470.0,300.0,3.0,0.0,3.7,10.6,2022-03-18T20:00:00Z,90.0,10.0,0.0,0.0,0.0,0.0,30.0,0.0,170369.0,3.0,2.0,10.0,1.0,3727.0,11035.0,7308.0,44.0,True,0.0
15,0,0,0,90,DML,Wolverhampton Wanderers,Watford,4,0,2022-03-10,16565,2021,518888,0.09917672723531723,0,1,0,0,0.296284019947052,0.296284019947052,1.0,1.0,32.0,1.0,22.7,470.0,190.0,0.0,0.0,3.3,6.0,2022-03-10T19:30:00Z,90.0,18.0,0.0,0.0,0.0,0.0,28.0,0.0,173206.0,0.0,4.0,4.0,9.0,487.0,23717.0,23230.0,44.0,True,1.0
16,0,0,0,90,DML,Arsenal,Wolverhampton Wanderers,2,1,2022-02-24,16566,2021,515415,0.08431968092918396,0,1,0,0,0.38249942660331726,0.38249942660331726,0.0,0.0,16.0,0.0,11.3,470.0,191.0,2.0,0.0,3.3,19.8,2022-02-24T19:45:00Z,90.0,1.0,0.0,0.0,0.0,0.0,26.0,0.0,178910.0,1.0,2.0,2.0,1.0,17557.0,26663.0,9106.0,44.0,False,0.0
17,0,1,0.06271303445100784,90,DML,Wolverhampton Wanderers,Leicester,2,1,2022-02-20,16635,2021,514960,0.024641670286655426,0,1,0,0.06271303445100784,0.027766792103648186,0.027766792103648186,0.0,0.0,3.0,0.0,19.2,470.0,260.0,1.0,0.0,3.6,8.8,2022-02-20T16:30:00Z,87.0,9.0,0.0,0.0,0.0,0.0,26.0,0.0,178910.0,1.0,2.0,8.0,1.0,17557.0,26663.0,9106.0,44.0,True,1.0
18,0,1,0.07818049192428589,90,DML,Tottenham,Wolverhampton Wanderers,0,2,2022-02-13,16624,2021,513320,0.05028414726257324,0,1,0,0.07818049192428589,0.12846463918685913,0.05028414726257324,0.0,0.0,13.0,1.0,16.4,470.0,249.0,0.0,0.0,4.1,18.8,2022-02-13T14:00:00Z,90.0,17.0,0.0,0.0,0.0,0.0,25.0,0.0,150952.0,2.0,0.0,6.0,5.0,2465.0,14217.0,11752.0,44.0,False,1.0
19,0,0,0,24,Sub,Wolverhampton Wanderers,Arsenal,0,1,2022-02-10,16611,2021,512263,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,1.0,470.0,236.0,0.0,0.0,0.3,2.4,2022-02-10T19:45:00Z,27.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,149033.0,1.0,0.0,0.0,1.0,38467.0,54785.0,16318.0,43.0,True,0.0
20,0,0,0,90,DML,Brentford,Wolverhampton Wanderers,1,2,2022-01-22,16597,2021,509804,0,0,0,0,0,0.14950676262378693,0.14950676262378693,0.0,0.0,10.0,0.0,7.0,470.0,222.0,1.0,0.0,2.8,20.6,2022-01-22T15:00:00Z,90.0,3.0,0.0,0.0,0.0,0.0,23.0,0.0,111321.0,2.0,1.0,0.0,2.0,50993.0,55982.0,4989.0,43.0,False,0.0
21,0,0,0,90,DML,Wolverhampton Wanderers,Southampton,3,1,2022-01-15,16595,2021,508141,0.512742817401886,1,2,0,0,0.4666510224342346,0.05822613090276718,2.0,3.0,40.0,0.0,28.9,470.0,220.0,1.0,0.0,6.6,31.2,2022-01-15T15:00:00Z,90.0,16.0,0.0,0.0,0.0,0.0,22.0,0.0,54746.0,1.0,3.0,6.0,11.0,-2357.0,4180.0,6537.0,43.0,True,0.0
22,0,0,0,90,DML,Manchester City,Wolverhampton Wanderers,1,0,2021-12-11,16534,2021,501388,0.010703875683248043,0,1,0,0,0.06557999551296234,0.06557999551296234,0.0,0.0,15.0,0.0,14.3,470.0,159.0,1.0,0.0,3.9,25.0,2021-12-11T12:30:00Z,90.0,12.0,0.0,0.0,0.0,0.0,16.0,0.0,58637.0,0.0,1.0,0.0,2.0,8263.0,14115.0,5852.0,43.0,False,0.0
23,0,1,0.02950463257730007,90,DML,Wolverhampton Wanderers,Liverpool,0,1,2021-12-04,16525,2021,499919,0,0,0,0,0.02950463257730007,0.02950463257730007,0.02950463257730007,0.0,0.0,26.0,1.0,1.5,470.0,150.0,0.0,0.0,2.8,20.0,2021-12-04T15:00:00Z,90.0,11.0,0.0,0.0,0.0,0.0,15.0,0.0,49713.0,1.0,0.0,6.0,6.0,2837.0,8381.0,5544.0,43.0,True,0.0
24,0,2,0.0665135607123375,90,DML,Wolverhampton Wanderers,Burnley,0,0,2021-12-01,16511,2021,498977,0,0,0,0,0.0665135607123375,0.1924683153629303,0.1568225920200348,0.0,0.0,21.0,1.0,14.0,470.0,137.0,0.0,0.0,5.8,11.6,2021-12-01T19:30:00Z,90.0,5.0,0.0,0.0,0.0,0.0,14.0,0.0,46421.0,0.0,0.0,32.0,6.0,4851.0,7699.0,2848.0,43.0,True,0.0
25,0,1,0.037922151386737823,90,DML,Norwich,Wolverhampton Wanderers,0,0,2021-11-27,16505,2021,497392,0.10019060969352722,0,1,0,0.037922151386737823,0.13811276853084564,0,0.0,0.0,19.0,1.0,21.1,470.0,130.0,0.0,0.0,6.2,19.8,2021-11-27T15:00:00Z,90.0,15.0,0.0,0.0,0.0,0.0,13.0,0.0,41808.0,0.0,0.0,21.0,6.0,17254.0,18858.0,1604.0,43.0,False,0.0
26,0,0,0,90,DML,Wolverhampton Wanderers,West Ham,1,0,2021-11-20,16495,2021,495762,0.49169960618019104,0,4,0,0,0.3814932107925415,0.3814932107925415,0.0,3.0,38.0,1.0,58.6,470.0,120.0,0.0,0.0,8.2,21.6,2021-11-20T15:00:00Z,90.0,19.0,0.0,0.0,0.0,0.0,12.0,0.0,23057.0,0.0,1.0,2.0,9.0,839.0,2349.0,1510.0,43.0,True,0.0
27,0,0,0,90,DML,Crystal Palace,Wolverhampton Wanderers,2,0,2021-11-06,16480,2021,494040,0,0,0,0,0,0,0,0.0,0.0,7.0,0.0,6.3,470.0,105.0,2.0,0.0,3.0,17.2,2021-11-06T15:00:00Z,90.0,7.0,0.0,0.0,0.0,0.0,11.0,0.0,22096.0,0.0,2.0,6.0,1.0,3654.0,4557.0,903.0,43.0,False,0.0
28,0,0,0,90,DML,Wolverhampton Wanderers,Everton,2,1,2021-11-01,16475,2021,493487,0.18767058849334717,1,2,0,0,0.9851096868515015,0.8963580131530762,1.0,0.0,17.0,0.0,34.3,470.0,100.0,1.0,0.0,6.1,26.4,2021-11-01T20:00:00Z,90.0,8.0,0.0,0.0,0.0,0.0,10.0,0.0,18136.0,1.0,2.0,0.0,4.0,1610.0,2399.0,789.0,43.0,True,1.0
29,0,1,0.06242487579584122,84,DML,Leeds,Wolverhampton Wanderers,1,1,2021-10-23,16462,2021,490011,0,0,0,0,0.06242487579584122,0.06242487579584122,0,0.0,0.0,18.0,1.0,1.4,470.0,87.0,0.0,0.0,4.1,20.6,2021-10-23T14:00:00Z,82.0,10.0,0.0,0.0,0.0,0.0,9.0,0.0,15985.0,1.0,1.0,19.0,6.0,-734.0,152.0,886.0,43.0,False,0.0
30,0,1,0.024839917197823524,1,Sub,Wolverhampton Wanderers,Tottenham,0,1,2021-08-22,16393,2021,477570,0,0,0,0,0.024839917197823524,0.024839917197823524,0.024839917197823524,0.0,0.0,5.0,0.0,0.1,470.0,17.0,0.0,0.0,1.0,2.2,2021-08-22T13:00:00Z,6.0,17.0,0.0,0.0,0.0,0.0,2.0,0.0,40898.0,1.0,0.0,8.0,1.0,-5149.0,727.0,5876.0,45.0,True,0.0
